season,date,round,stage,home_team,away_team,home_goals,away_goals,venue,referee,fixture_id,league_id,league_name
2022/23,2022-08-20,Regular Season - 1,Ligat Ha'al,Hapoel Haifa,Hapoel Tel Aviv,2,0,Sammy Ofer Stadium,O. Grinfeeld,865835,383,Ligat Ha'al
2022/23,2022-08-20,Regular Season - 1,Ligat Ha'al,Hapoel Katamon,Hapoel Hadera,1,1,HaMoshava Stadium,A. Shiloach,865840,383,Ligat Ha'al
2022/23,2022-08-20,Regular Season - 1,Ligat Ha'al,Maccabi Netanya,Beitar Jerusalem,4,1,Netanya Stadium,R. Reinshreiber,865837,383,Ligat Ha'al
2022/23,2022-08-21,Regular Season - 1,Ligat Ha'al,Maccabi Tel Aviv,Maccabi Bnei Raina,5,0,Bloomfield Stadium,I. Frid,865841,383,Ligat Ha'al
2022/23,2022-08-22,Regular Season - 1,Ligat Ha'al,Sektzia Nes Tziona,Ironi Kiryat Shmona,0,2,HaMoshava Stadium,Y. Mizrahi,865839,383,Ligat Ha'al
2022/23,2022-08-27,Regular Season - 2,Ligat Ha'al,Ironi Kiryat Shmona,Hapoel Katamon,1,1,Kiryat-Shmona Municipal Stadium,O. Na'al,865844,383,Ligat Ha'al
2022/23,2022-08-27,Regular Season - 2,Ligat Ha'al,Hapoel Tel Aviv,Bnei Sakhnin,0,2,Bloomfield Stadium,R. Reinshreiber,865848,383,Ligat Ha'al
2022/23,2022-08-27,Regular Season - 2,Ligat Ha'al,Maccabi Haifa,Maccabi Netanya,4,1,Sammy Ofer Stadium,S. Levi,865847,383,Ligat Ha'al
2022/23,2022-08-27,Regular Season - 2,Ligat Ha'al,Ashdod,Sektzia Nes Tziona,1,0,Yud-Alef Stadium,O. Asulin,865845,383,Ligat Ha'al
2022/23,2022-08-28,Regular Season - 2,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Haifa,1,1,Green Stadium,S. Ben Avraham,865842,383,Ligat Ha'al
2022/23,2022-08-28,Regular Season - 2,Ligat Ha'al,Beitar Jerusalem,Hapoel Beer Sheva,0,5,HaMoshava Stadium,O. Grinfeeld,865846,383,Ligat Ha'al
2022/23,2022-08-29,Regular Season - 2,Ligat Ha'al,Hapoel Hadera,Maccabi Tel Aviv,0,6,Netanya Stadium,I. Layba,865843,383,Ligat Ha'al
2022/23,2022-08-30,Regular Season - 1,Ligat Ha'al,Bnei Sakhnin,Maccabi Haifa,0,1,Doha Stadium,G. Laibuvitz,865836,383,Ligat Ha'al
2022/23,2022-08-31,Regular Season - 1,Ligat Ha'al,Hapoel Beer Sheva,Ashdod,1,2,Yaakov Turner Toto Stadium,D. Fuxman,865838,383,Ligat Ha'al
2022/23,2022-09-03,Regular Season - 3,Ligat Ha'al,Maccabi Tel Aviv,Ironi Kiryat Shmona,3,1,Bloomfield Stadium,S. Levi,865854,383,Ligat Ha'al
2022/23,2022-09-03,Regular Season - 3,Ligat Ha'al,Hapoel Katamon,Ashdod,3,0,HaMoshava Stadium,N. Steif,865853,383,Ligat Ha'al
2022/23,2022-09-03,Regular Season - 3,Ligat Ha'al,Hapoel Haifa,Bnei Sakhnin,1,2,Sammy Ofer Stadium,A. Shiloach,865849,383,Ligat Ha'al
2022/23,2022-09-03,Regular Season - 3,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Haifa,1,2,Yaakov Turner Toto Stadium,I. Frid,865851,383,Ligat Ha'al
2022/23,2022-09-04,Regular Season - 3,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Hadera,1,2,Green Stadium,G. Levi,865855,383,Ligat Ha'al
2022/23,2022-09-04,Regular Season - 3,Ligat Ha'al,Sektzia Nes Tziona,Beitar Jerusalem,0,3,HaMoshava Stadium,I. Layba,865852,383,Ligat Ha'al
2022/23,2022-09-05,Regular Season - 3,Ligat Ha'al,Maccabi Netanya,Hapoel Tel Aviv,0,2,Netanya Stadium,E. Shmuelevich,865850,383,Ligat Ha'al
2022/23,2022-09-10,Regular Season - 4,Ligat Ha'al,Maccabi Haifa,Sektzia Nes Tziona,3,1,Sammy Ofer Stadium,E. Papir,865860,383,Ligat Ha'al
2022/23,2022-09-10,Regular Season - 4,Ligat Ha'al,Bnei Sakhnin,Maccabi Netanya,0,0,Doha Stadium,S. Ben Avraham,865862,383,Ligat Ha'al
2022/23,2022-09-10,Regular Season - 4,Ligat Ha'al,Hapoel Hadera,Hapoel Haifa,1,1,Netanya Stadium,O. Na'al,865856,383,Ligat Ha'al
2022/23,2022-09-10,Regular Season - 4,Ligat Ha'al,Ashdod,Maccabi Tel Aviv,0,0,Yud-Alef Stadium,O. Grinfeeld,865858,383,Ligat Ha'al
2022/23,2022-09-11,Regular Season - 4,Ligat Ha'al,Ironi Kiryat Shmona,Maccabi Bnei Raina,1,1,Kiryat-Shmona Municipal Stadium,O. Asulin,865857,383,Ligat Ha'al
2022/23,2022-09-11,Regular Season - 4,Ligat Ha'al,Hapoel Tel Aviv,Hapoel Beer Sheva,2,3,Bloomfield Stadium,G. Laibuvitz,865861,383,Ligat Ha'al
2022/23,2022-09-12,Regular Season - 4,Ligat Ha'al,Beitar Jerusalem,Hapoel Katamon,0,1,Teddi Malcha Stadium,E. Shmuelevich,865859,383,Ligat Ha'al
2022/23,2022-09-17,Regular Season - 5,Ligat Ha'al,Sektzia Nes Tziona,Hapoel Tel Aviv,4,3,HaMoshava Stadium,S. Levi,865865,383,Ligat Ha'al
2022/23,2022-09-17,Regular Season - 5,Ligat Ha'al,Maccabi Bnei Raina,Ashdod,1,1,Green Stadium,Y. Mizrahi,865868,383,Ligat Ha'al
2022/23,2022-09-17,Regular Season - 5,Ligat Ha'al,Hapoel Haifa,Maccabi Netanya,0,0,Sammy Ofer Stadium,I. Frid,865863,383,Ligat Ha'al
2022/23,2022-09-17,Regular Season - 5,Ligat Ha'al,Maccabi Tel Aviv,Beitar Jerusalem,4,0,Bloomfield Stadium,R. Reinshreiber,865867,383,Ligat Ha'al
2022/23,2022-09-18,Regular Season - 5,Ligat Ha'al,Hapoel Hadera,Ironi Kiryat Shmona,1,1,Netanya Stadium,N. Steif,865869,383,Ligat Ha'al
2022/23,2022-09-18,Regular Season - 5,Ligat Ha'al,Hapoel Beer Sheva,Bnei Sakhnin,1,0,Yaakov Turner Toto Stadium,I. Layba,865864,383,Ligat Ha'al
2022/23,2022-09-18,Regular Season - 5,Ligat Ha'al,Hapoel Katamon,Maccabi Haifa,3,0,Teddi Malcha Stadium,A. Shiloach,865866,383,Ligat Ha'al
2022/23,2022-10-01,Regular Season - 6,Ligat Ha'al,Ironi Kiryat Shmona,Hapoel Haifa,1,1,Kiryat-Shmona Municipal Stadium,D. Fuxman,865870,383,Ligat Ha'al
2022/23,2022-10-01,Regular Season - 6,Ligat Ha'al,Ashdod,Hapoel Hadera,1,1,Yud-Alef Stadium,G. Laibuvitz,865871,383,Ligat Ha'al
2022/23,2022-10-01,Regular Season - 6,Ligat Ha'al,Maccabi Netanya,Hapoel Beer Sheva,1,2,Netanya Stadium,R. Reinshreiber,865876,383,Ligat Ha'al
2022/23,2022-10-01,Regular Season - 6,Ligat Ha'al,Maccabi Haifa,Maccabi Tel Aviv,2,0,Sammy Ofer Stadium,E. Shmuelevich,865873,383,Ligat Ha'al
2022/23,2022-10-02,Regular Season - 6,Ligat Ha'al,Bnei Sakhnin,Sektzia Nes Tziona,2,0,Doha Stadium,G. Levi,865875,383,Ligat Ha'al
2022/23,2022-10-02,Regular Season - 6,Ligat Ha'al,Hapoel Tel Aviv,Hapoel Katamon,1,3,Bloomfield Stadium,N. Steif,865874,383,Ligat Ha'al
2022/23,2022-10-03,Regular Season - 6,Ligat Ha'al,Beitar Jerusalem,Maccabi Bnei Raina,2,3,Bloomfield Stadium,E. Papir,865872,383,Ligat Ha'al
2022/23,2022-10-08,Regular Season - 7,Ligat Ha'al,Sektzia Nes Tziona,Maccabi Netanya,1,1,HaMoshava Stadium,O. Grinfeeld,865878,383,Ligat Ha'al
2022/23,2022-10-08,Regular Season - 7,Ligat Ha'al,Hapoel Katamon,Bnei Sakhnin,1,2,Teddi Malcha Stadium,S. Levi,865879,383,Ligat Ha'al
2022/23,2022-10-08,Regular Season - 7,Ligat Ha'al,Hapoel Hadera,Beitar Jerusalem,2,1,Netanya Stadium,I. Frid,865882,383,Ligat Ha'al
2022/23,2022-10-08,Regular Season - 7,Ligat Ha'al,Maccabi Bnei Raina,Maccabi Haifa,1,0,Green Stadium,I. Layba,865881,383,Ligat Ha'al
2022/23,2022-10-10,Regular Season - 7,Ligat Ha'al,Ironi Kiryat Shmona,Ashdod,1,1,Kiryat-Shmona Municipal Stadium,S. Ben Avraham,865883,383,Ligat Ha'al
