Season,Date,Matchday,HomeTeam,AwayTeam,Attendance
2011/12,13/09/11,1,FC Ashdod,Hapoel Ramat haSharon,1000
2011/12,20/08/11,1,Hapoel Acre,Bnei Yehuda Tel Aviv,3000
2011/12,20/08/11,1,Hapoel Haifa,Ironi Kiryat Shmona,4000
2011/12,20/08/11,1,Hapoel Rishon leZion,Ihud Bnei Sakhnin,800
2011/12,20/08/11,1,Maccabi Netanya,Maccabi Haifa,4000
2011/12,21/08/11,1,Hapoel Petah Tikva,Maccabi Tel Aviv,5000
2011/12,22/08/11,1,Hapoel Tel Aviv,Maccabi Petah Tikva,8000
2011/12,30/08/11,1,Hapoel Beer Sheva,Beitar Jerusalem,5000
2011/12,27/08/11,2,Beitar Jerusalem,Hapoel Acre,2200
2011/12,27/08/11,2,Hapoel Ramat haSharon,Hapoel Rishon leZion,250
2011/12,27/08/11,2,Ihud Bnei Sakhnin,Hapoel Beer Sheva,0
2011/12,27/08/11,2,Ironi Kiryat Shmona,Maccabi Netanya,1500
2011/12,27/08/11,2,Maccabi Haifa,Hapoel Petah Tikva,0
2011/12,28/08/11,2,Bnei Yehuda Tel Aviv,Hapoel Tel Aviv,5500
2011/12,28/08/11,2,Maccabi Petah Tikva,Hapoel Haifa,700
2011/12,29/08/11,2,Maccabi Tel Aviv,FC Ashdod,9000
2011/12,10/09/11,3,FC Ashdod,Maccabi Haifa,4000
2011/12,10/09/11,3,Hapoel Haifa,Bnei Yehuda Tel Aviv,3500
2011/12,10/09/11,3,Hapoel Petah Tikva,Ironi Kiryat Shmona,1000
2011/12,10/09/11,3,Hapoel Rishon leZion,Maccabi Tel Aviv,6000
2011/12,10/09/11,3,Ihud Bnei Sakhnin,Hapoel Ramat haSharon,3500
2011/12,10/09/11,3,Maccabi Netanya,Maccabi Petah Tikva,1200
2011/12,11/09/11,3,Hapoel Tel Aviv,Beitar Jerusalem,12500
2011/12,12/09/11,3,Hapoel Acre,Hapoel Beer Sheva,2000
2011/12,17/09/11,4,Beitar Jerusalem,Hapoel Haifa,3500
2011/12,17/09/11,4,Bnei Yehuda Tel Aviv,Maccabi Netanya,2000
2011/12,17/09/11,4,Hapoel Beer Sheva,Hapoel Ramat haSharon,2000
2011/12,17/09/11,4,Ironi Kiryat Shmona,FC Ashdod,1200
2011/12,17/09/11,4,Maccabi Petah Tikva,Hapoel Petah Tikva,3000
2011/12,18/09/11,4,Hapoel Acre,Hapoel Tel Aviv,2000
2011/12,18/09/11,4,Maccabi Haifa,Hapoel Rishon leZion,7000
2011/12,18/09/11,4,Maccabi Tel Aviv,Ihud Bnei Sakhnin,9700
2011/12,21/09/11,5,FC Ashdod,Maccabi Petah Tikva,600
2011/12,21/09/11,5,Hapoel Haifa,Hapoel Acre,1200
2011/12,21/09/11,5,Hapoel Petah Tikva,Bnei Yehuda Tel Aviv,800
2011/12,21/09/11,5,Hapoel Ramat haSharon,Maccabi Tel Aviv,4000
2011/12,21/09/11,5,Hapoel Rishon leZion,Ironi Kiryat Shmona,1000
2011/12,21/09/11,5,Hapoel Tel Aviv,Hapoel Beer Sheva,7500
2011/12,21/09/11,5,Ihud Bnei Sakhnin,Maccabi Haifa,2500
2011/12,21/09/11,5,Maccabi Netanya,Beitar Jerusalem,2000
2011/12,24/09/11,6,Beitar Jerusalem,Hapoel Petah Tikva,4000
2011/12,24/09/11,6,Hapoel Acre,Maccabi Netanya,1000
2011/12,24/09/11,6,Hapoel Tel Aviv,Hapoel Haifa,9500
2011/12,24/09/11,6,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,1000
2011/12,24/09/11,6,Maccabi Haifa,Hapoel Ramat haSharon,7500
2011/12,25/09/11,6,Hapoel Beer Sheva,Maccabi Tel Aviv,4000
2011/12,26/09/11,6,Bnei Yehuda Tel Aviv,FC Ashdod,2000
2011/12,26/09/11,6,Maccabi Petah Tikva,Hapoel Rishon leZion,380
2011/12,01/10/11,7,FC Ashdod,Beitar Jerusalem,3600
2011/12,01/10/11,7,Hapoel Haifa,Hapoel Beer Sheva,3000
2011/12,01/10/11,7,Hapoel Petah Tikva,Hapoel Acre,1000
2011/12,01/10/11,7,Hapoel Ramat haSharon,Ironi Kiryat Shmona,600
2011/12,01/10/11,7,Hapoel Rishon leZion,Bnei Yehuda Tel Aviv,2000
2011/12,02/10/11,7,Ihud Bnei Sakhnin,Maccabi Petah Tikva,3500
2011/12,03/10/11,7,Maccabi Netanya,Hapoel Tel Aviv,3000
2011/12,03/10/11,7,Maccabi Tel Aviv,Maccabi Haifa,15000
2011/12,15/10/11,8,Bnei Yehuda Tel Aviv,Ihud Bnei Sakhnin,2500
2011/12,15/10/11,8,Hapoel Acre,FC Ashdod,1000
2011/12,15/10/11,8,Hapoel Beer Sheva,Maccabi Haifa,6000
2011/12,15/10/11,8,Hapoel Haifa,Maccabi Netanya,3000
2011/12,15/10/11,8,Hapoel Tel Aviv,Hapoel Petah Tikva,9000
2011/12,15/10/11,8,Maccabi Petah Tikva,Hapoel Ramat haSharon,500
2011/12,16/10/11,8,Ironi Kiryat Shmona,Maccabi Tel Aviv,3500
2011/12,17/10/11,8,Beitar Jerusalem,Hapoel Rishon leZion,4000
2011/12,22/10/11,9,Hapoel Petah Tikva,Hapoel Haifa,1500
2011/12,22/10/11,9,Hapoel Ramat haSharon,Bnei Yehuda Tel Aviv,1000
2011/12,22/10/11,9,Hapoel Rishon leZion,Hapoel Acre,1200
2011/12,22/10/11,9,Maccabi Netanya,Hapoel Beer Sheva,2500
2011/12,23/10/11,9,FC Ashdod,Hapoel Tel Aviv,3000
2011/12,23/10/11,9,Maccabi Haifa,Ironi Kiryat Shmona,8000
2011/12,23/10/11,9,Maccabi Tel Aviv,Maccabi Petah Tikva,8500
2011/12,24/10/11,9,Ihud Bnei Sakhnin,Beitar Jerusalem,5000
2011/12,29/10/11,10,Hapoel Acre,Ihud Bnei Sakhnin,4500
2011/12,29/10/11,10,Hapoel Beer Sheva,Ironi Kiryat Shmona,0
