team,Pts,W,D,L,GF,GA,GD,Team
Maccabi Haifa,67,19,10,4,49,24,25,M. Haifa
Hapoel Tel Aviv,61,17,10,6,49,28,21,H. Tel Aviv
B. Jerusalem,60,16,12,5,47,28,19,B. Jerusalem
Maccabi Netanya,54,14,12,7,40,32,8,M. Netanya
Bnei Yehuda,49,14,7,12,38,31,7,Bnei Yehuda
M. Tel Aviv,44,11,11,11,36,35,1,M. Tel Aviv
M. Petah Tikva,39,8,15,10,26,33,-7,M. Petah Tikva
FC Ashdod,38,10,8,15,41,48,-7,FC Ashdod
Bnei Sakhnin,33,7,12,14,26,41,-15,Bnei Sakhnin
H. Petah Tikva,31,8,7,18,30,42,-12,H. Petah Tikva
Hakoah Amidar,29,6,11,16,26,46,-20,Hakoah Amidar
Kiryat Shmona,27,6,9,18,24,44,-20,Kiryat Shmona
