season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2011/12,1,1,Hapoel Tel Aviv,1,1,0,0,4,1,3,3
2011/12,1,2,Maccabi Haifa,1,1,0,0,4,1,3,3
2011/12,1,3,H Rishon leZion,1,1,0,0,4,2,2,3
2011/12,1,4,M. Tel Aviv,1,1,0,0,3,1,2,3
2011/12,1,5,FC Ashdod,1,1,0,0,2,0,2,3
2011/12,1,6,Hapoel Acre,1,1,0,0,2,0,2,3
2011/12,1,7,B. Jerusalem,1,1,0,0,1,0,1,3
2011/12,1,8,Kiryat Shmona,1,1,0,0,1,0,1,3
2011/12,1,9,H. Beer Sheva,1,0,0,1,0,1,-1,0
2011/12,1,10,Hapoel Haifa,1,0,0,1,0,1,-1,0
2011/12,1,11,Bnei Sakhnin,1,0,0,1,2,4,-2,0
2011/12,1,12,H. Petah Tikva,1,0,0,1,1,3,-2,0
2011/12,1,13,Bnei Yehuda,1,0,0,1,0,2,-2,0
2011/12,1,14,Ramat haSharon,1,0,0,1,0,2,-2,0
2011/12,1,15,M. Petah Tikva,1,0,0,1,1,4,-3,0
2011/12,1,16,Maccabi Netanya,1,0,0,1,1,4,-3,0
2011/12,2,1,M. Tel Aviv,2,2,0,0,7,1,6,6
2011/12,2,2,H Rishon leZion,2,2,0,0,6,3,3,6
2011/12,2,3,B. Jerusalem,2,2,0,0,4,1,3,6
2011/12,2,4,Maccabi Haifa,2,1,1,0,6,3,3,4
2011/12,2,5,Hapoel Tel Aviv,2,1,1,0,5,2,3,4
2011/12,2,6,Hapoel Acre,2,1,0,1,3,3,0,3
2011/12,2,7,Bnei Sakhnin,2,1,0,1,6,7,-1,3
2011/12,2,8,Maccabi Netanya,2,1,0,1,4,5,-1,3
2011/12,2,9,Kiryat Shmona,2,1,0,1,2,3,-1,3
2011/12,2,10,M. Petah Tikva,2,1,0,1,3,5,-2,3
2011/12,2,11,FC Ashdod,2,1,0,1,2,4,-2,3
2011/12,2,12,H. Petah Tikva,2,0,1,1,3,5,-2,1
2011/12,2,13,Bnei Yehuda,2,0,1,1,1,3,-2,1
2011/12,2,14,H. Beer Sheva,2,0,0,2,3,5,-2,0
2011/12,2,15,Hapoel Haifa,2,0,0,2,1,3,-2,0
2011/12,2,16,Ramat haSharon,2,0,0,2,1,4,-3,0
2011/12,3,1,M. Tel Aviv,3,3,0,0,9,1,8,9
2011/12,3,2,Hapoel Tel Aviv,3,2,1,0,6,2,4,7
2011/12,3,3,Bnei Sakhnin,3,2,0,1,9,7,2,6
2011/12,3,4,Hapoel Acre,3,2,0,1,5,3,2,6
2011/12,3,5,B. Jerusalem,3,2,0,1,4,2,2,6
2011/12,3,6,H Rishon leZion,3,2,0,1,6,5,1,6
2011/12,3,7,M. Petah Tikva,3,2,0,1,4,5,-1,6
2011/12,3,8,FC Ashdod,3,2,0,1,3,4,-1,6
2011/12,3,9,Maccabi Haifa,3,1,1,1,6,4,2,4
2011/12,3,10,Bnei Yehuda,3,1,1,1,3,3,0,4
2011/12,3,11,Kiryat Shmona,3,1,1,1,3,4,-1,4
2011/12,3,12,Maccabi Netanya,3,1,0,2,4,6,-2,3
2011/12,3,13,H. Petah Tikva,3,0,2,1,4,6,-2,2
2011/12,3,14,H. Beer Sheva,3,0,0,3,3,7,-4,0
2011/12,3,15,Hapoel Haifa,3,0,0,3,1,5,-4,0
2011/12,3,16,Ramat haSharon,3,0,0,3,1,7,-6,0
