season,season_year,round,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2020/21,2020,28.0,championship,Maccabi Haifa,Maccabi Tel Aviv,1,1,0,D,1,1
2020/21,2020,,championship,Maccabi Haifa,F.C. Ashdod,2,0,2,H,3,0
2020/21,2020,,championship,Maccabi Haifa,Hapoel Be'er Sheva,3,2,1,H,3,0
2020/21,2020,27.0,championship,Maccabi Haifa,Maccabi Petah Tikva,1,1,0,D,1,1
2020/21,2020,30.0,championship,Maccabi Haifa,Ironi Kiryat Shmona,4,0,4,H,3,0
2020/21,2020,33.0,championship,Maccabi Tel Aviv,Maccabi Haifa,2,2,0,D,1,1
2020/21,2020,,championship,Maccabi Tel Aviv,F.C. Ashdod,1,1,0,D,1,1
2020/21,2020,,championship,Maccabi Tel Aviv,Hapoel Be'er Sheva,2,1,1,H,3,0
2020/21,2020,29.0,championship,Maccabi Tel Aviv,Maccabi Petah Tikva,3,1,2,H,3,0
2020/21,2020,36.0,championship,Maccabi Tel Aviv,Ironi Kiryat Shmona,2,2,0,D,1,1
2020/21,2020,,championship,F.C. Ashdod,Maccabi Haifa,0,3,-3,A,0,3
2020/21,2020,,championship,F.C. Ashdod,Maccabi Tel Aviv,1,2,-1,A,0,3
2020/21,2020,,championship,F.C. Ashdod,Hapoel Be'er Sheva,2,2,0,D,1,1
2020/21,2020,,championship,F.C. Ashdod,Maccabi Petah Tikva,0,0,0,D,1,1
2020/21,2020,,championship,F.C. Ashdod,Ironi Kiryat Shmona,1,1,0,D,1,1
2020/21,2020,,championship,Hapoel Be'er Sheva,Maccabi Haifa,1,1,0,D,1,1
2020/21,2020,,championship,Hapoel Be'er Sheva,Maccabi Tel Aviv,1,1,0,D,1,1
2020/21,2020,,championship,Hapoel Be'er Sheva,F.C. Ashdod,1,2,-1,A,0,3
2020/21,2020,,championship,Hapoel Be'er Sheva,Maccabi Petah Tikva,2,0,2,H,3,0
2020/21,2020,,championship,Hapoel Be'er Sheva,Ironi Kiryat Shmona,3,2,1,H,3,0
2020/21,2020,32.0,championship,Maccabi Petah Tikva,Maccabi Haifa,1,2,-1,A,0,3
2020/21,2020,34.0,championship,Maccabi Petah Tikva,Maccabi Tel Aviv,0,3,-3,A,0,3
2020/21,2020,,championship,Maccabi Petah Tikva,F.C. Ashdod,1,3,-2,A,0,3
2020/21,2020,,championship,Maccabi Petah Tikva,Hapoel Be'er Sheva,0,0,0,D,1,1
2020/21,2020,28.0,championship,Maccabi Petah Tikva,Ironi Kiryat Shmona,2,0,2,H,3,0
2020/21,2020,35.0,championship,Ironi Kiryat Shmona,Maccabi Haifa,1,1,0,D,1,1
2020/21,2020,31.0,championship,Ironi Kiryat Shmona,Maccabi Tel Aviv,2,0,2,H,3,0
2020/21,2020,,championship,Ironi Kiryat Shmona,F.C. Ashdod,1,1,0,D,1,1
2020/21,2020,,championship,Ironi Kiryat Shmona,Hapoel Be'er Sheva,1,1,0,D,1,1
2020/21,2020,33.0,championship,Ironi Kiryat Shmona,Maccabi Petah Tikva,1,2,-1,A,0,3
