season,season_year,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2023/24,2023,relegation,Hapoel Jerusalem,Maccabi Petah Tikva,2,0,2,H,3,0
2023/24,2023,relegation,Hapoel Jerusalem,Beitar Jerusalem,3,0,3,H,3,0
2023/24,2023,relegation,Hapoel Jerusalem,Hapoel Hadera,2,1,1,H,3,0
2023/24,2023,relegation,Hapoel Jerusalem,Hapoel Tel Aviv,2,0,2,H,3,0
2023/24,2023,relegation,Maccabi Petah Tikva,Maccabi Netanya,0,2,-2,A,0,3
2023/24,2023,relegation,Maccabi Petah Tikva,F.C. Ashdod,0,1,-1,A,0,3
2023/24,2023,relegation,Maccabi Petah Tikva,Hapoel Tel Aviv,4,2,2,H,3,0
2023/24,2023,relegation,Maccabi Petah Tikva,Hapoel Petah Tikva,4,1,3,H,3,0
2023/24,2023,relegation,Maccabi Netanya,Hapoel Jerusalem,1,0,1,H,3,0
2023/24,2023,relegation,Maccabi Netanya,Beitar Jerusalem,0,3,-3,A,0,3
2023/24,2023,relegation,Maccabi Netanya,Hapoel Hadera,1,2,-1,A,0,3
2023/24,2023,relegation,Maccabi Netanya,Hapoel Tel Aviv,0,1,-1,A,0,3
2023/24,2023,relegation,F.C. Ashdod,Hapoel Jerusalem,3,1,2,H,3,0
2023/24,2023,relegation,F.C. Ashdod,Maccabi Netanya,0,0,0,D,1,1
2023/24,2023,relegation,F.C. Ashdod,Hapoel Petah Tikva,1,0,1,H,3,0
2023/24,2023,relegation,Beitar Jerusalem,Maccabi Petah Tikva,1,1,0,D,1,1
2023/24,2023,relegation,Beitar Jerusalem,F.C. Ashdod,0,0,0,D,1,1
2023/24,2023,relegation,Beitar Jerusalem,Hapoel Hadera,0,1,-1,A,0,3
2023/24,2023,relegation,Hapoel Hadera,Maccabi Petah Tikva,0,4,-4,A,0,3
2023/24,2023,relegation,Hapoel Hadera,F.C. Ashdod,2,2,0,D,1,1
2023/24,2023,relegation,Hapoel Hadera,Hapoel Tel Aviv,0,1,-1,A,0,3
2023/24,2023,relegation,Hapoel Hadera,Hapoel Petah Tikva,1,1,0,D,1,1
2023/24,2023,relegation,Hapoel Tel Aviv,F.C. Ashdod,0,2,-2,A,0,3
2023/24,2023,relegation,Hapoel Tel Aviv,Beitar Jerusalem,1,5,-4,A,0,3
2023/24,2023,relegation,Hapoel Tel Aviv,Hapoel Petah Tikva,1,1,0,D,1,1
2023/24,2023,relegation,Hapoel Petah Tikva,Hapoel Jerusalem,1,0,1,H,3,0
2023/24,2023,relegation,Hapoel Petah Tikva,Maccabi Netanya,1,3,-2,A,0,3
2023/24,2023,relegation,Hapoel Petah Tikva,Beitar Jerusalem,0,2,-2,A,0,3
