season,season_year,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2023/24,2023,Maccabi Tel Aviv,MHA,0,1,-1,A,0,3
2023/24,2023,Maccabi Tel Aviv,HHA,3,1,2,H,3,0
2023/24,2023,Maccabi Tel Aviv,HBS,1,0,1,H,3,0
2023/24,2023,Maccabi Tel Aviv,MBR,1,1,0,D,1,1
2023/24,2023,Maccabi Tel Aviv,BnS,1,1,0,D,1,1
2023/24,2023,Maccabi Tel Aviv,MPT,4,0,4,H,3,0
2023/24,2023,Maccabi Tel Aviv,HJE,2,1,1,H,3,0
2023/24,2023,Maccabi Tel Aviv,MNE,2,1,1,H,3,0
2023/24,2023,Maccabi Tel Aviv,HTA,4,2,2,H,3,0
2023/24,2023,Maccabi Tel Aviv,HAH,1,1,0,D,1,1
2023/24,2023,Maccabi Tel Aviv,BEI,1,0,1,H,3,0
2023/24,2023,Maccabi Tel Aviv,ASH,4,1,3,H,3,0
2023/24,2023,Maccabi Tel Aviv,HPT,2,0,2,H,3,0
2023/24,2023,Maccabi Haifa,MTA,2,0,2,H,3,0
2023/24,2023,Maccabi Haifa,HHA,1,1,0,D,1,1
2023/24,2023,Maccabi Haifa,HBS,1,0,1,H,3,0
2023/24,2023,Maccabi Haifa,MBR,1,0,1,H,3,0
2023/24,2023,Maccabi Haifa,BnS,1,1,0,D,1,1
2023/24,2023,Maccabi Haifa,MPT,5,0,5,H,3,0
2023/24,2023,Maccabi Haifa,HJE,2,1,1,H,3,0
2023/24,2023,Maccabi Haifa,MNE,4,0,4,H,3,0
2023/24,2023,Maccabi Haifa,HTA,0,0,0,D,1,1
2023/24,2023,Maccabi Haifa,HAH,1,0,1,H,3,0
2023/24,2023,Maccabi Haifa,BEI,1,1,0,D,1,1
2023/24,2023,Maccabi Haifa,ASH,4,0,4,H,3,0
2023/24,2023,Maccabi Haifa,HPT,2,1,1,H,3,0
2023/24,2023,Hapoel Haifa,MTA,0,1,-1,A,0,3
