season,team,stadium,capacity,total_spectators,average_attendance
2016/17,Maccabi Haifa,Unknown,30780,284587,21891
2016/17,Hapoel Beer Sheva,Unknown,16126,188072,14467
2016/17,Maccabi Tel Aviv,Unknown,29150,123871,9529
2016/17,Beitar Jerusalem,Unknown,33500,106500,8192
2016/17,Hapoel Tel Aviv,Unknown,29150,102700,7900
2016/17,Hapoel Haifa,Unknown,30820,63700,4900
2016/17,Maccabi Petah Tikva,Unknown,11500,44850,3450
2016/17,Bnei Yehuda Tel Aviv,Unknown,6020,43050,3312
2016/17,Ihud Bnei Sakhnin,Unknown,8500,42000,3231
2016/17,Hapoel Ashkelon,Unknown,10000,36210,2785
2016/17,FC Ashdod,Unknown,8200,32000,2462
2016/17,Hapoel Kfar Saba,Unknown,5800,29920,2302
2016/17,Hapoel Raanana,Unknown,5800,22550,1735
2016/17,Ironi Kiryat Shmona,Unknown,13800,19390,1492
