season,stage,round,team,points,position,goal_diff
2024/25,championship_playoff,27,H. Beer Sheva,61,1,36
2024/25,championship_playoff,27,M. Tel Aviv,60,2,32
2024/25,championship_playoff,27,Maccabi Haifa,48,3,22
2024/25,championship_playoff,27,B. Jerusalem,47,4,14
2024/25,championship_playoff,27,Hapoel Haifa,41,5,5
2024/25,championship_playoff,27,Maccabi Netanya,37,6,0
2024/25,championship_playoff,28,M. Tel Aviv,63,1,34
2024/25,championship_playoff,28,H. Beer Sheva,61,2,34
2024/25,championship_playoff,28,Maccabi Haifa,51,3,24
2024/25,championship_playoff,28,B. Jerusalem,50,4,15
2024/25,championship_playoff,28,Hapoel Haifa,41,5,3
2024/25,championship_playoff,28,Maccabi Netanya,37,6,-1
2024/25,championship_playoff,29,M. Tel Aviv,66,1,37
2024/25,championship_playoff,29,H. Beer Sheva,64,2,37
2024/25,championship_playoff,29,Maccabi Haifa,51,3,21
2024/25,championship_playoff,29,B. Jerusalem,50,4,14
2024/25,championship_playoff,29,Hapoel Haifa,44,5,4
2024/25,championship_playoff,29,Maccabi Netanya,37,6,-4
2024/25,championship_playoff,30,H. Beer Sheva,67,1,39
2024/25,championship_playoff,30,M. Tel Aviv,67,2,37
2024/25,championship_playoff,30,Maccabi Haifa,52,3,21
2024/25,championship_playoff,30,B. Jerusalem,50,4,12
2024/25,championship_playoff,30,Hapoel Haifa,45,5,4
2024/25,championship_playoff,30,Maccabi Netanya,38,6,-4
2024/25,championship_playoff,31,H. Beer Sheva,70,1,40
2024/25,championship_playoff,31,M. Tel Aviv,67,2,35
2024/25,championship_playoff,31,Maccabi Haifa,55,3,22
2024/25,championship_playoff,31,B. Jerusalem,53,4,14
2024/25,championship_playoff,31,Hapoel Haifa,45,5,3
2024/25,championship_playoff,31,Maccabi Netanya,38,6,-5
2024/25,championship_playoff,32,H. Beer Sheva,70,1,39
2024/25,championship_playoff,32,M. Tel Aviv,70,2,37
2024/25,championship_playoff,32,Maccabi Haifa,58,3,23
2024/25,championship_playoff,32,B. Jerusalem,53,4,13
2024/25,championship_playoff,32,Hapoel Haifa,45,5,1
2024/25,championship_playoff,32,Maccabi Netanya,41,6,-4
2024/25,championship_playoff,33,H. Beer Sheva,71,1,39
2024/25,championship_playoff,33,M. Tel Aviv,71,2,37
2024/25,championship_playoff,33,Maccabi Haifa,58,3,19
2024/25,championship_playoff,33,B. Jerusalem,53,4,10
2024/25,championship_playoff,33,Hapoel Haifa,48,5,5
2024/25,championship_playoff,33,Maccabi Netanya,44,6,-1
2024/25,championship_playoff,34,M. Tel Aviv,74,1,42
2024/25,championship_playoff,34,H. Beer Sheva,74,2,42
2024/25,championship_playoff,34,Maccabi Haifa,58,3,16
2024/25,championship_playoff,34,B. Jerusalem,53,4,9
2024/25,championship_playoff,34,Hapoel Haifa,51,5,6
2024/25,championship_playoff,34,Maccabi Netanya,44,6,-6
2024/25,championship_playoff,35,M. Tel Aviv,77,1,45
2024/25,championship_playoff,35,H. Beer Sheva,75,2,42
2024/25,championship_playoff,35,Maccabi Haifa,58,3,13
2024/25,championship_playoff,35,B. Jerusalem,54,4,9
2024/25,championship_playoff,35,Hapoel Haifa,52,5,6
2024/25,championship_playoff,35,Maccabi Netanya,45,6,-6
2024/25,championship_playoff,36,M. Tel Aviv,80,1,50
2024/25,championship_playoff,36,H. Beer Sheva,78,2,47
2024/25,championship_playoff,36,Maccabi Haifa,61,3,14
2024/25,championship_playoff,36,B. Jerusalem,54,4,4
2024/25,championship_playoff,36,Hapoel Haifa,52,5,1
2024/25,championship_playoff,36,Maccabi Netanya,45,6,-7
