season,season_year,population_reference_year,population_year,population_year_used,team_raw,club_name,city_he,city_en,settlement_code,population_total,district_he,subdistrict_he,municipal_status_he,team_attendance_raw,stadium,capacity,total_spectators,average_attendance,attendance_per_1000_residents,total_spectators_per_resident,average_attendance_pct_of_population,stadium_capacity_utilization_pct,team_budget_raw,budget_min_million_nis,budget_max_million_nis,budget_mid_million_nis,budget_min_nis,budget_max_nis,budget_mid_nis,data_source,source_note,budget_nis_per_resident,budget_million_nis_per_100k_residents,attendance_per_budget_million,total_spectators_per_budget_million,predicted_population_model,residual_population_model,residual_pct_population_model,predicted_budget_model,residual_budget_model,residual_pct_budget_model,predicted_market_budget_model,residual_market_budget_model,residual_pct_market_budget_model
2006/07,2006,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,2500,2500,10.937951190486608,0.010937951190486607,1.0937951190486608,30.48780487804878,,,,,,,,,,,,,,5087.074805634067,-2587.074805634067,-50.85584357377279,,,,,,
2006/07,2006,2024,2024,2024,Maccabi Herzlya,Maccabi Herzliya,הרצלייה,Herzliya,6400,110885.0,תל אביב,תל אביב,עירייה,Maccabi Herzliya,Unknown,13800,1000,1000,9.018352347026198,0.009018352347026198,0.9018352347026198,7.246376811594203,,,,,,,,,,,,,,4150.673754684624,-3150.6737546846243,-75.90752588368676,,,,,,
2006/07,2006,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,7700,3850,12.959341328854226,0.025918682657708452,1.2959341328854226,12.508122157244964,Maccabi Haifa,40.0,60.0,50.0,40000000.0,60000000.0,50000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",168.30313414096398,16.8303134140964,77.0,154.0,5632.3226995479745,-1782.3226995479745,-31.64454159721736,8364.900360731146,-4514.900360731146,-53.974347165284286,8187.542282034441,-4337.542282034441,-52.97734207189521
2006/07,2006,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,10000,10000,9.522440106232342,0.009522440106232342,0.9522440106232343,29.850746268656714,Beitar Jerusalem,120.0,150.0,135.0,120000000.0,150000000.0,135000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",128.5529414341366,12.85529414341366,74.07407407407408,74.07407407407408,11624.773787155538,-1624.7737871555382,-13.976820684035896,16637.52464202012,-6637.524642020118,-39.89490495032075,17244.823750843072,-7244.823750843072,-42.01158478345645
2006/07,2006,2024,2024,2024,H. Kfar Saba,Hapoel Kfar Saba,כפר סבא,Kfar Saba,6900,99410.0,המרכז,פתח תקווה,עירייה,Hapoel Kfar Saba,Unknown,5800,4500,2250,22.633537873453374,0.04526707574690675,2.2633537873453373,38.793103448275865,,,,,,,,,,,,,,4059.3627758217635,-1809.3627758217635,-44.572581356823484,,,,,,
2006/07,2006,2024,2024,2024,Maccabi Netanya,Maccabi Netanya,נתניה,Netanya,7400,234812.0,המרכז,השרון,עירייה,Maccabi Netanya,Unknown,13610,9250,3083,13.12965265829685,0.03939321670102039,1.3129652658296849,22.652461425422484,,,,,,,,,,,,,,5136.808454252184,-2053.8084542521838,-39.98218879569215,,,,,,
2006/07,2006,2024,2024,2024,H. Petah Tikva,Hapoel Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Hapoel Petah Tikva,Unknown,11500,10250,2050,7.581276834946358,0.037906384174731786,0.7581276834946358,17.82608695652174,,,,,,,,,,,,,,5420.019700326961,-3370.0197003269614,-62.17725924729878,,,,,,
2006/07,2006,2024,2024,2024,M. Petah Tikva,Maccabi Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Maccabi Petah Tikva,Unknown,11500,2000,2000,7.396367643850105,0.007396367643850105,0.7396367643850105,17.391304347826086,,,,,,,,,,,,,,5420.019700326961,-3420.0197003269614,-63.09976511931589,,,,,,
2006/07,2006,2024,2024,2024,Hakoah Amidar,Hakoah Amidar Ramat Gan,רמת גן,Ramat Gan,8600,172242.0,תל אביב,,עירייה,Hakoah Amidar Ramat Gan,Unknown,8000,6250,1250,7.257231105073094,0.036286155525365474,0.7257231105073094,15.625,,,,,,,,,,,,,,4638.914951206501,-3388.9149512065014,-73.05404360399199,,,,,,
2006/07,2006,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,49000,3063,6.189129116993333,0.09900990099009901,0.6189129116993333,50.88039867109635,,,,,,,,,,,,,,7206.428486538347,-4143.428486538347,-57.496282579897894,,,,,,
2006/07,2006,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,16000,5333,10.77591432612649,0.03232976358860376,1.077591432612649,18.295025728987994,Hapoel Tel Aviv,25.0,40.0,32.5,25000000.0,40000000.0,32500000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",65.66983228935139,6.566983228935138,164.09230769230768,492.3076923076923,7206.428486538347,-1873.428486538347,-25.99662912131749,6661.713008701065,-1328.7130087010646,-19.94551561986523,6750.690699458544,-1417.6906994585443,-21.000676265204294
2006/07,2006,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,1250,1250,2.5257627803596687,0.002525762780359669,0.2525762780359669,4.288164665523156,Maccabi Tel Aviv,30.0,50.0,40.0,30000000.0,50000000.0,40000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",80.8244089715094,8.082440897150938,31.25,31.25,7206.428486538347,-5956.428486538347,-82.65437584879933,7391.650445285386,-6141.650445285386,-83.08902714958218,7469.287937435481,-6219.287937435481,-83.26480368048072
2007/08,2007,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,14250,4750,20.782107261924555,0.062346321785773665,2.0782107261924554,57.92682926829268,,,,,,,,,,,,,,5087.074805634067,-337.07480563406716,-6.626102790168292,,,,,,
2007/08,2007,2024,2024,2024,Maccabi Herzlya,Maccabi Herzliya,הרצלייה,Herzliya,6400,110885.0,תל אביב,תל אביב,עירייה,Maccabi Herzliya,Unknown,13800,4500,2250,20.29129278080895,0.040582585561617895,2.029129278080895,16.304347826086957,,,,,,,,,,,,,,4150.673754684624,-1900.6737546846243,-45.791933238295215,,,,,,
2007/08,2007,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,137000,8059,27.127099160840572,0.4611505875462413,2.7127099160840573,26.182586094866796,Maccabi Haifa,40.0,60.0,50.0,40000000.0,60000000.0,50000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",168.30313414096398,16.8303134140964,161.18,2740.0,5632.3226995479745,2426.6773004520255,43.08484136831826,8364.900360731146,-305.90036073114607,-3.6569516376690996,8187.542282034441,-128.5422820344411,-1.5699739629619462
2007/08,2007,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,29000,14500,13.807538154036896,0.02761507630807379,1.3807538154036896,43.28358208955223,Beitar Jerusalem,120.0,150.0,135.0,120000000.0,150000000.0,135000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",128.5529414341366,12.85529414341366,107.4074074074074,214.8148148148148,11624.773787155538,2875.2262128444618,24.733610008147952,16637.52464202012,-2137.5246420201183,-12.847612177965084,17244.823750843072,-2744.823750843072,-15.916797936011854
2007/08,2007,2024,2024,2024,H. Kfar Saba,Hapoel Kfar Saba,כפר סבא,Kfar Saba,6900,99410.0,המרכז,פתח תקווה,עירייה,Hapoel Kfar Saba,Unknown,5800,9000,3000,30.178050497937836,0.0905341514938135,3.0178050497937834,51.724137931034484,,,,,,,,,,,,,,4059.3627758217635,-1059.3627758217635,-26.096775142431305,,,,,,
2007/08,2007,2024,2024,2024,Maccabi Netanya,Maccabi Netanya,נתניה,Netanya,7400,234812.0,המרכז,השרון,עירייה,Maccabi Netanya,Unknown,13610,18000,4500,19.16426758428019,0.07665707033712076,1.9164267584280188,33.06392358559883,,,,,,,,,,,,,,5136.808454252184,-636.8084542521838,-12.396967103670022,,,,,,
2007/08,2007,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,13750,3438,101.93915673367728,0.40769732550554466,10.193915673367728,40.44705882352942,,,,,,,,,,,,,,3536.6899796885923,-98.6899796885923,-2.790461710112403,,,,,,
2007/08,2007,2024,2024,2024,M. Petah Tikva,Maccabi Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Maccabi Petah Tikva,Unknown,11500,8750,2917,10.787602208555379,0.03235910844184421,1.0787602208555378,25.365217391304345,,,,,,,,,,,,,,5420.019700326961,-2503.0197003269614,-46.18100742652222,,,,,,
2007/08,2007,2024,2024,2024,Kiryat Shmona,Ironi Kiryat Shmona,קריית שמונה,Kiryat Shmona,2800,24437.0,הצפון,צפת,עירייה,Ironi Kiryat Shmona,Unknown,13800,6500,2167,88.67700617915456,0.2659900969840815,8.867700617915455,15.702898550724637,,,,,,,,,,,,,,3462.7738417664036,-1295.7738417664036,-37.4201117652377,,,,,,
2007/08,2007,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,62350,3897,7.874318044049303,0.12598504748434028,0.7874318044049302,64.734219269103,,,,,,,,,,,,,,7206.428486538347,-3309.428486538347,-45.923282146216806,,,,,,
2007/08,2007,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,41500,10375,20.96383107698525,0.083855324307941,2.096383107698525,35.59176672384219,Hapoel Tel Aviv,25.0,40.0,32.5,25000000.0,40000000.0,32500000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",65.66983228935139,6.566983228935138,319.2307692307692,1276.923076923077,7206.428486538347,3168.571513461653,43.96868045496551,6661.713008701065,3713.2869912989354,55.740722940914736,6750.690699458544,3624.3093005414557,53.687977451435486
2007/08,2007,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,18000,9000,18.185492018589613,0.03637098403717923,1.8185492018589613,30.874785591766724,Maccabi Tel Aviv,30.0,50.0,40.0,30000000.0,50000000.0,40000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",80.8244089715094,8.082440897150938,225.0,450.0,7206.428486538347,1793.571513461653,24.88849388864478,7391.650445285386,1608.349554714614,21.75900452300835,7469.287937435481,1530.7120625645193,20.493413500538807
2008/09,2008,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,5087.074805634067,-5087.074805634067,-100.0,,,,,,
2008/09,2008,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,0,0,0.0,0.0,0.0,0.0,Maccabi Haifa,40.0,60.0,50.0,40000000.0,60000000.0,50000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",168.30313414096398,16.8303134140964,0.0,0.0,5632.3226995479745,-5632.3226995479745,-100.0,8364.900360731146,-8364.900360731146,-100.0,8187.542282034441,-8187.542282034441,-100.0
2008/09,2008,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,0,0,0.0,0.0,0.0,0.0,Beitar Jerusalem,100.0,120.0,110.0,100000000.0,120000000.0,110000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",104.74684116855576,10.474684116855576,0.0,0.0,11624.773787155538,-11624.773787155538,-100.0,14204.399853405714,-14204.399853405714,-100.0,14849.499624253285,-14849.499624253285,-100.0
2008/09,2008,2024,2024,2024,Maccabi Netanya,Maccabi Netanya,נתניה,Netanya,7400,234812.0,המרכז,השרון,עירייה,Maccabi Netanya,Unknown,13610,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,5136.808454252184,-5136.808454252184,-100.0,,,,,,
2008/09,2008,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,3536.6899796885923,-3536.6899796885923,-100.0,,,,,,
2008/09,2008,2024,2024,2024,H. Petah Tikva,Hapoel Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Hapoel Petah Tikva,Unknown,11500,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,5420.019700326961,-5420.019700326961,-100.0,,,,,,
2008/09,2008,2024,2024,2024,M. Petah Tikva,Maccabi Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Maccabi Petah Tikva,Unknown,11500,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,5420.019700326961,-5420.019700326961,-100.0,,,,,,
2008/09,2008,2024,2024,2024,Kiryat Shmona,Ironi Kiryat Shmona,קריית שמונה,Kiryat Shmona,2800,24437.0,הצפון,צפת,עירייה,Ironi Kiryat Shmona,Unknown,13800,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,3462.7738417664036,-3462.7738417664036,-100.0,,,,,,
2008/09,2008,2024,2024,2024,Hakoah Amidar,Hakoah Amidar Ramat Gan,רמת גן,Ramat Gan,8600,172242.0,תל אביב,,עירייה,Hakoah Amidar Ramat Gan,Unknown,8000,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,4638.914951206501,-4638.914951206501,-100.0,,,,,,
2008/09,2008,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,7206.428486538347,-7206.428486538347,-100.0,,,,,,
2008/09,2008,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,0,0,0.0,0.0,0.0,0.0,Hapoel Tel Aviv,25.0,40.0,32.5,25000000.0,40000000.0,32500000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",65.66983228935139,6.566983228935138,0.0,0.0,7206.428486538347,-7206.428486538347,-100.0,6661.713008701065,-6661.713008701065,-100.0,6750.690699458544,-6750.690699458544,-100.0
2008/09,2008,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,0,0,0.0,0.0,0.0,0.0,Maccabi Tel Aviv,40.0,40.0,40.0,40000000.0,40000000.0,40000000.0,Gemini AI Estimate (2006-2024),"Gemini AI estimated range from media-based table (approximate, in million NIS)",80.8244089715094,8.082440897150938,0.0,0.0,7206.428486538347,-7206.428486538347,-100.0,7391.650445285386,-7391.650445285386,-100.0,7469.287937435481,-7469.287937435481,-100.0
2009/10,2009,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,28900,1927,8.430972777627078,0.12644271576202518,0.8430972777627077,23.5,,,,,,,,,,,,,,5087.074805634067,-3160.074805634067,-62.11968422666406,,,,,,
2009/10,2009,2024,2024,2024,H. Beer Sheva,Hapoel Beer Sheva,באר שבע,Beer Sheva,9000,223587.0,הדרום,באר שבע,עירייה,Hapoel Beer Sheva,Unknown,16126,68000,4533,20.27398730695434,0.3041321722640404,2.027398730695434,28.109884658315764,,,,,,,,,,,,,,5047.486821334047,-514.4868213340469,-10.192930453220448,,,,,,
