season,season_year,player_name,position,nationality,club,market_value_millions
2017/18,2017,,Unknown,Brazil,Beitar Jerusalem,0.0
2017/18,2017,,Unknown,Nigeria,Hapoel Acre,0.0
2017/18,2017,,Unknown,Serbia,Maccabi Tel Aviv,0.0
2017/18,2017,,Unknown,Croatia,Hapoel Ironi Ashkelon,0.0
2017/18,2017,,Unknown,Palestine,Ihud Bnei Sakhnin,0.0
2017/18,2017,,Unknown,Spain,Ironi Kiryat Shmona,0.0
2017/18,2017,,Unknown,Guinea,Hapoel Raanana,0.0
2017/18,2017,,Unknown,France,2 Clubs,0.0
2017/18,2017,,Unknown,Lithuania,Bnei Yehuda Tel Aviv,0.0
2017/18,2017,,Unknown,Slovakia,Beitar Jerusalem,0.0
2017/18,2017,,Unknown,Cote d'Ivoire,Ironi Kiryat Shmona,0.0
2017/18,2017,,Unknown,Czech Republic,Maccabi Petah Tikva,0.0
2017/18,2017,,Unknown,Romania,Hapoel Haifa,0.0
2017/18,2017,,Unknown,Zambia,Hapoel Raanana,0.0
2017/18,2017,,Unknown,Belgium,Hapoel Acre,0.0
2017/18,2017,,Unknown,Greece,Maccabi Haifa,0.0
2017/18,2017,,Unknown,Azerbaijan,Hapoel Raanana,0.0
2017/18,2017,,Unknown,Germany,Maccabi Netanya,0.0
2017/18,2017,,Unknown,Bulgaria,FC Ashdod,0.0
2017/18,2017,,Unknown,Montenegro,Hapoel Raanana,0.0
2017/18,2017,,Unknown,Martinique,Maccabi Tel Aviv,0.0
2017/18,2017,,Unknown,United States,Maccabi Netanya,0.0
2017/18,2017,,Unknown,Hungary,Hapoel Beer Sheva,0.0
2017/18,2017,,Unknown,Australia,Maccabi Haifa,0.0
2017/18,2017,,Unknown,Togo,Maccabi Netanya,0.0
2017/18,2017,,Unknown,Suriname,Ironi Kiryat Shmona,0.0
2017/18,2017,,Unknown,Barbados,Maccabi Tel Aviv,0.0
2017/18,2017,,Unknown,Belarus,2 Clubs,0.0
2017/18,2017,,Unknown,Sweden,Hapoel Haifa,0.0
2017/18,2017,,Unknown,Cameroon,Maccabi Haifa,0.0
2017/18,2017,,Unknown,Russia,Hapoel Beer Sheva,0.0
2017/18,2017,,Unknown,Central African Republic,Hapoel Ironi Ashkelon,0.0
2017/18,2017,,Unknown,Portugal,Ironi Kiryat Shmona,0.0
2017/18,2017,,Unknown,Niger,Maccabi Netanya,0.0
2017/18,2017,,Unknown,Netherlands,Maccabi Haifa,0.0
2017/18,2017,,Unknown,Moldova,Hapoel Haifa,0.0
2017/18,2017,,Unknown,North Macedonia,Hapoel Haifa,0.0
2017/18,2017,,Unknown,Argentina,Maccabi Netanya,0.0
2017/18,2017,,Unknown,Congo,Bnei Yehuda Tel Aviv,0.0
2017/18,2017,,Unknown,Italy,Maccabi Tel Aviv,0.0
2017/18,2017,,Unknown,Iceland,Maccabi Tel Aviv,0.0
2017/18,2017,,Unknown,Bolivia,Hapoel Raanana,0.0
2017/18,2017,,Unknown,Georgia,Hapoel Ironi Ashkelon,0.0
2017/18,2017,,Unknown,Bosnia-Herzegovina,Maccabi Tel Aviv,0.0
2017/18,2017,,Unknown,Denmark,Beitar Jerusalem,0.0
