season,season_year,player_name,position,nationality,club,market_value_millions
2014/15,2014,,Unknown,Nigeria,Hapoel Beer Sheva,0.0
2014/15,2014,,Unknown,Brazil,Hapoel Beer Sheva,0.0
2014/15,2014,,Unknown,Serbia,Maccabi Haifa,0.0
2014/15,2014,,Unknown,Spain,2 Clubs,0.0
2014/15,2014,,Unknown,Palestine,Ihud Bnei Sakhnin,0.0
2014/15,2014,,Unknown,Romania,Hapoel Beer Sheva,0.0
2014/15,2014,,Unknown,Croatia,Hapoel Petah Tikva,0.0
2014/15,2014,,Unknown,Zambia,Ironi Kiryat Shmona,0.0
2014/15,2014,,Unknown,Lithuania,Hapoel Haifa,0.0
2014/15,2014,,Unknown,Cameroon,Maccabi Haifa,0.0
2014/15,2014,,Unknown,Bulgaria,Maccabi Petah Tikva,0.0
2014/15,2014,,Unknown,Bosnia-Herzegovina,Hapoel Acre,0.0
2014/15,2014,,Unknown,United States,Maccabi Petah Tikva,0.0
2014/15,2014,,Unknown,Czech Republic,Hapoel Haifa,0.0
2014/15,2014,,Unknown,Suriname,Ironi Kiryat Shmona,0.0
2014/15,2014,,Unknown,Slovenia,Ihud Bnei Sakhnin,0.0
2014/15,2014,,Unknown,Sierra Leone,Maccabi Haifa,0.0
2014/15,2014,,Unknown,Senegal,Hapoel Raanana,0.0
2014/15,2014,,Unknown,DR Congo,FC Ashdod,0.0
2014/15,2014,,Unknown,Sweden,Maccabi Tel Aviv,0.0
2014/15,2014,,Unknown,Montenegro,2 Clubs,0.0
2014/15,2014,,Unknown,Netherlands,Hapoel Tel Aviv,0.0
2014/15,2014,,Unknown,Central African Republic,Ironi Kiryat Shmona,0.0
2014/15,2014,,Unknown,Albania,2 Clubs,0.0
2014/15,2014,,Unknown,Canada,Hapoel Haifa,0.0
2014/15,2014,,Unknown,Guinea-Bissau,Hapoel Tel Aviv,0.0
2014/15,2014,,Unknown,Guinea,Hapoel Petah Tikva,0.0
2014/15,2014,,Unknown,Greece,2 Clubs,0.0
2014/15,2014,,Unknown,Ghana,Hapoel Haifa,0.0
2014/15,2014,,Unknown,France,Hapoel Haifa,0.0
2014/15,2014,,Unknown,Belgium,Maccabi Petah Tikva,0.0
2014/15,2014,,Unknown,Azerbaijan,Hapoel Raanana,0.0
2014/15,2014,,Unknown,Armenia,Hapoel Tel Aviv,0.0
2014/15,2014,,Unknown,Argentina,2 Clubs,0.0
