season,season_year,player_name,position,nationality,club,market_value_millions
2021/22,2021,,Unknown,Czech Republic,Hapoel Jerusalem,0.0
2022/23,2022,,Unknown,Cote d'Ivoire,Hapoel Jerusalem,0.0
2022/23,2022,,Unknown,DR Congo,Hapoel Jerusalem,0.0
2022/23,2022,,Unknown,Czech Republic,Hapoel Jerusalem,0.0
2023/24,2023,,Unknown,Angola,Hapoel Jerusalem,0.0
2023/24,2023,,Unknown,Czech Republic,Hapoel Jerusalem,0.0
2024/25,2024,,Unknown,Cote d'Ivoire,Hapoel Jerusalem,0.0
2024/25,2024,,Unknown,North Macedonia,Hapoel Jerusalem,0.0
2025/26,2025,,Unknown,Cote d'Ivoire,Hapoel Jerusalem,1.6
2025/26,2025,,Unknown,Kosovo,Hapoel Jerusalem,0.25
