season,season_year,player_name,position,nationality,club,market_value_millions
2006/07,2006,,Unknown,Brazil,Maccabi Haifa,0.0
2007/08,2007,,Unknown,Argentina,Maccabi Haifa,0.0
2007/08,2007,,Unknown,South Africa,Maccabi Haifa,0.0
2008/09,2008,,Unknown,Brazil,Maccabi Haifa,0.0
2008/09,2008,,Unknown,Colombia,Maccabi Haifa,0.0
2008/09,2008,,Unknown,United States,Maccabi Haifa,0.0
2009/10,2009,,Unknown,Georgia,Maccabi Haifa,0.0
2009/10,2009,,Unknown,Portugal,Maccabi Haifa,0.0
2010/11,2010,,Unknown,Georgia,Maccabi Haifa,0.0
2010/11,2010,,Unknown,Colombia,Maccabi Haifa,0.0
2011/12,2011,,Unknown,Georgia,Maccabi Haifa,0.0
2011/12,2011,,Unknown,Ecuador,Maccabi Haifa,0.0
2012/13,2012,,Unknown,South Africa,Maccabi Haifa,0.0
2012/13,2012,,Unknown,Ukraine,Maccabi Haifa,0.0
2013/14,2013,,Unknown,Ukraine,Maccabi Haifa,0.0
2013/14,2013,,Unknown,South Africa,Maccabi Haifa,0.0
2014/15,2014,,Unknown,Serbia,Maccabi Haifa,0.0
2014/15,2014,,Unknown,Cameroon,Maccabi Haifa,0.0
2014/15,2014,,Unknown,Sierra Leone,Maccabi Haifa,0.0
2015/16,2015,,Unknown,Palestine,Maccabi Haifa,0.0
2015/16,2015,,Unknown,Netherlands,Maccabi Haifa,0.0
2015/16,2015,,Unknown,Poland,Maccabi Haifa,0.0
2016/17,2016,,Unknown,Kosovo,Maccabi Haifa,0.0
2016/17,2016,,Unknown,Czech Republic,Maccabi Haifa,0.0
2016/17,2016,,Unknown,Uruguay,Maccabi Haifa,0.0
2016/17,2016,,Unknown,Norway,Maccabi Haifa,0.0
2016/17,2016,,Unknown,Australia,Maccabi Haifa,0.0
2017/18,2017,,Unknown,Greece,Maccabi Haifa,0.0
2017/18,2017,,Unknown,Australia,Maccabi Haifa,0.0
2017/18,2017,,Unknown,Cameroon,Maccabi Haifa,0.0
2017/18,2017,,Unknown,Netherlands,Maccabi Haifa,0.0
2018/19,2018,,Unknown,Cameroon,Maccabi Haifa,0.0
2018/19,2018,,Unknown,Netherlands,Maccabi Haifa,0.0
2018/19,2018,,Unknown,Türkiye,Maccabi Haifa,0.0
2018/19,2018,,Unknown,Australia,Maccabi Haifa,0.0
2018/19,2018,,Unknown,Chile,Maccabi Haifa,0.0
2019/20,2019,,Unknown,Suriname,Maccabi Haifa,0.0
2019/20,2019,,Unknown,United States,Maccabi Haifa,0.0
2019/20,2019,,Unknown,Australia,Maccabi Haifa,0.0
2019/20,2019,,Unknown,Cameroon,Maccabi Haifa,0.0
2020/21,2020,,Unknown,Serbia,Maccabi Haifa,0.0
2020/21,2020,,Unknown,Suriname,Maccabi Haifa,0.0
2020/21,2020,,Unknown,Australia,Maccabi Haifa,0.0
2021/22,2021,,Unknown,Spain,Maccabi Haifa,0.0
2021/22,2021,,Unknown,Suriname,Maccabi Haifa,0.0
2021/22,2021,,Unknown,United States,Maccabi Haifa,0.0
2021/22,2021,,Unknown,Guadeloupe,Maccabi Haifa,0.0
2021/22,2021,,Unknown,Niger,Maccabi Haifa,0.0
2021/22,2021,,Unknown,Congo,Maccabi Haifa,0.0
2022/23,2022,,Unknown,Sweden,Maccabi Haifa,0.0
2022/23,2022,,Unknown,Suriname,Maccabi Haifa,0.0
2022/23,2022,,Unknown,Haiti,Maccabi Haifa,0.0
2022/23,2022,,Unknown,United States,Maccabi Haifa,0.0
2022/23,2022,,Unknown,Australia,Maccabi Haifa,0.0
2022/23,2022,,Unknown,Senegal,Maccabi Haifa,0.0
2022/23,2022,,Unknown,Congo,Maccabi Haifa,0.0
2022/23,2022,,Unknown,Niger,Maccabi Haifa,0.0
2023/24,2023,,Unknown,France,Maccabi Haifa,0.0
2023/24,2023,,Unknown,United States,Maccabi Haifa,0.0
2023/24,2023,,Unknown,Sweden,Maccabi Haifa,0.0
2023/24,2023,,Unknown,Senegal,Maccabi Haifa,0.0
2023/24,2023,,Unknown,Haiti,Maccabi Haifa,0.0
2023/24,2023,,Unknown,Croatia,Maccabi Haifa,0.0
2023/24,2023,,Unknown,Suriname,Maccabi Haifa,0.0
2023/24,2023,,Unknown,Niger,Maccabi Haifa,0.0
2024/25,2024,,Unknown,Senegal,Maccabi Haifa,0.0
2024/25,2024,,Unknown,United States,Maccabi Haifa,0.0
2024/25,2024,,Unknown,Spain,Maccabi Haifa,0.0
2024/25,2024,,Unknown,Curacao,Maccabi Haifa,0.0
2024/25,2024,,Unknown,Niger,Maccabi Haifa,0.0
2024/25,2024,,Unknown,Haiti,Maccabi Haifa,0.0
2024/25,2024,,Unknown,Germany,Maccabi Haifa,0.0
2025/26,2025,,Unknown,Nigeria,Maccabi Haifa,1.0
2025/26,2025,,Unknown,Brazil,Maccabi Haifa,1.4
2025/26,2025,,Unknown,Senegal,Maccabi Haifa,0.5
2025/26,2025,,Unknown,Ukraine,Maccabi Haifa,2.5
2025/26,2025,,Unknown,Belgium,Maccabi Haifa,2.5
2025/26,2025,,Unknown,Jamaica,Maccabi Haifa,1.0
2025/26,2025,,Unknown,France,Maccabi Haifa,0.8
2025/26,2025,,Unknown,Curacao,Maccabi Haifa,0.75
2025/26,2025,,Unknown,Niger,Maccabi Haifa,1.6
2025/26,2025,,Unknown,Spain,Maccabi Haifa,1.2
