season,team_english,team_hebrew,budget_min_million_nis,budget_max_million_nis,source_note,budget_mid_million_nis
2024/25,Maccabi Tel Aviv,"מכבי ת""א",120.0,120.0,Sport5 'ליגת הכסף' 24.8.2024,120.0
2024/25,Maccabi Haifa,מכבי חיפה,105.0,110.0,Range 105–110; Sport5,107.5
2024/25,Hapoel Be'er Sheva,"הפועל ב""ש",70.0,70.0,Sport5,70.0
2024/25,Beitar Jerusalem,"בית""ר ירושלים",51.0,51.0,Includes past debts; Sport5,51.0
2024/25,Hapoel Jerusalem,הפועל ירושלים,33.0,33.0,Includes women & youth; Sport5,33.0
2024/25,Maccabi Netanya,מכבי נתניה,31.0,31.0,Sport5,31.0
2024/25,Hapoel Haifa,הפועל חיפה,29.0,29.0,Includes youth department; Sport5,29.0
2024/25,Maccabi Petah Tikva,"מכבי פ""ת",26.0,26.0,Includes youth department; Sport5,26.0
2024/25,Hapoel Hadera,הפועל חדרה,22.0,22.0,Sport5,22.0
2024/25,Bnei Sakhnin,בני סכנין,20.5,20.5,Sport5,20.5
2024/25,Ironi Kiryat Shmona,"עירוני ק""ש",20.0,20.0,Sport5,20.0
2024/25,MS Ashdod,מ.ס. אשדוד,18.0,18.0,Sport5,18.0
2024/25,Bnei Reineh,בני ריינה,17.0,17.0,Sport5,17.0
2024/25,Ironi Tiberias,עירוני טבריה,16.0,16.0,Sport5,16.0
2023/24,Maccabi Tel Aviv,"מכבי ת""א",120.0,120.0,Sport5 'כסף מדבר' 26.8.2023,120.0
2023/24,Maccabi Haifa,מכבי חיפה,100.0,100.0,Sport5,100.0
2023/24,Hapoel Be'er Sheva,"הפועל ב""ש",65.0,65.0,Sport5,65.0
2023/24,Beitar Jerusalem,"בית""ר ירושלים",51.0,51.0,Includes 15M debts; Sport5,51.0
2023/24,Maccabi Netanya,מכבי נתניה,30.0,30.0,Sport5,30.0
2023/24,Hapoel Tel Aviv,"הפועל ת""א",30.0,30.0,Sport5,30.0
2023/24,Bnei Sakhnin,בני סכנין,19.0,19.0,Sport5,19.0
2023/24,Hapoel Haifa,הפועל חיפה,22.0,22.0,Sport5 (club claimed higher),22.0
2023/24,Hapoel Jerusalem,הפועל ירושלים,22.0,22.0,Sport5,22.0
2023/24,Hapoel Hadera,הפועל חדרה,18.0,18.0,Sport5,18.0
2023/24,MS Ashdod,מ.ס. אשדוד,25.0,25.0,Sport5,25.0
2023/24,Bnei Reineh,בני ריינה,13.5,13.5,Sport5,13.5
2023/24,Maccabi Petah Tikva,"מכבי פ""ת",28.0,28.0,Includes youth department; Sport5,28.0
2023/24,Hapoel Petah Tikva,"הפועל פ""ת",22.0,22.0,Sport5,22.0
2022/23,Maccabi Tel Aviv,"מכבי ת""א",110.0,110.0,Sport5 'כסף קונה תארים?' 20.8.2022,110.0
2022/23,Maccabi Haifa,מכבי חיפה,105.0,105.0,Sport5,105.0
2022/23,Hapoel Be'er Sheva,"הפועל ב""ש",65.0,65.0,Sport5,65.0
2022/23,Beitar Jerusalem,"בית""ר ירושלים",37.0,37.0,Includes debts; Sport5,37.0
2022/23,Hapoel Tel Aviv,"הפועל ת""א",33.0,33.0,Sport5,33.0
2022/23,Maccabi Netanya,מכבי נתניה,28.0,28.0,Sport5,28.0
2022/23,Hapoel Haifa,הפועל חיפה,25.0,25.0,Sport5,25.0
2022/23,Ironi Kiryat Shmona,"עירוני ק""ש",24.0,24.0,Sport5,24.0
2022/23,Hapoel Jerusalem,הפועל ירושלים,20.0,20.0,6.5M of this is player wages; Sport5,20.0
2022/23,Bnei Sakhnin,בני סכנין,20.0,20.0,Sport5,20.0
2022/23,MS Ashdod,מ.ס. אשדוד,20.0,20.0,Sport5,20.0
2022/23,Sektzia Ness Ziona,סקציה נס ציונה,16.0,16.0,Sport5,16.0
2022/23,Hapoel Hadera,הפועל חדרה,14.0,14.0,Sport5,14.0
2022/23,Bnei Reineh,בני ריינה,12.0,12.0,Sport5,12.0
2021/22,Hapoel Nof HaGalil,הפועל נוף הגליל,14.0,14.0,Sport5 'מאני טיים' 3.9.2021,14.0
2021/22,Hapoel Hadera,הפועל חדרה,14.0,14.0,Sport5,14.0
2021/22,MS Ashdod,מ.ס אשדוד,17.0,17.0,Sport5,17.0
2021/22,Bnei Sakhnin,בני סכנין,18.0,18.0,Sport5,18.0
2021/22,Hapoel Jerusalem,הפועל ירושלים,20.0,20.0,Sport5,20.0
2021/22,Hapoel Haifa,הפועל חיפה,20.0,20.0,Sport5,20.0
2021/22,Maccabi Netanya,מכבי נתניה,23.0,23.0,Sport5,23.0
2021/22,Hapoel Kiryat Shmona,הפועל קריית שמונה,23.0,23.0,Sport5,23.0
2021/22,Maccabi Petah Tikva,מכבי פתח תקווה,26.0,26.0,Sport5,26.0
2021/22,Hapoel Tel Aviv,הפועל תל אביב,30.0,30.0,Sport5,30.0
2021/22,Beitar Jerusalem,"בית""ר ירושלים",50.0,50.0,Sport5,50.0
2021/22,Hapoel Be'er Sheva,הפועל באר שבע,65.0,70.0,Range 65–70; Sport5,67.5
2021/22,Maccabi Haifa,מכבי חיפה,90.0,90.0,Sport5,90.0
2021/22,Maccabi Tel Aviv,מכבי תל אביב,100.0,100.0,Sport5,100.0
