season,season_start_year,club,squad_size,avg_age,foreigners,avg_value_millions,total_value_millions
2019/20,2019,Maccabi Tel Aviv,32,26.7,9,0.493,15.78
2019/20,2019,Maccabi Haifa,36,25.5,11,0.434,15.63
2019/20,2019,Hapoel Beer Sheva,40,25.7,7,0.334,13.35
2019/20,2019,Beitar Jerusalem,29,26.1,5,0.359,10.43
2019/20,2019,Maccabi Netanya,37,24.7,8,0.225,8.33
2019/20,2019,Ironi Kiryat Shmona,36,24.8,9,0.226,8.15
2019/20,2019,Bnei Yehuda Tel Aviv,36,24.4,7,0.217,7.83
2019/20,2019,Hapoel Tel Aviv,37,24.4,8,0.211,7.8
2019/20,2019,Hapoel Raanana,32,25.2,7,0.221,7.08
2019/20,2019,Hapoel Haifa,33,27.4,6,0.211,6.95
2019/20,2019,FC Ashdod,37,23.4,7,0.184,6.8
2019/20,2019,Sekzia Ness Ziona,33,25.8,8,0.198,6.53
2019/20,2019,Hapoel Kfar Saba,35,25.7,9,0.168,5.88
2019/20,2019,Hapoel Hadera,35,24.2,7,0.156,5.48
