season,season_year,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2006/07,2006,H. Kfar Saba,H. Petah Tikva,4,1,3,H,3,0
2006/07,2006,M. Petah Tikva,Hakoah Amidar,0,0,0,D,1,1
2006/07,2006,FC Ashdod,Maccabi Herzlya,1,0,1,H,3,0
2006/07,2006,Maccabi Netanya,Maccabi Haifa,3,1,2,H,3,0
2006/07,2006,M. Tel Aviv,B. Jerusalem,1,2,-1,A,0,3
2006/07,2006,Bnei Yehuda,Hapoel Tel Aviv,1,1,0,D,1,1
2006/07,2006,Hakoah Amidar,Bnei Yehuda,3,2,1,H,3,0
2006/07,2006,Maccabi Herzlya,M. Petah Tikva,0,3,-3,A,0,3
2006/07,2006,Maccabi Haifa,FC Ashdod,1,0,1,H,3,0
2006/07,2006,H. Petah Tikva,Maccabi Netanya,0,0,0,D,1,1
2006/07,2006,M. Tel Aviv,H. Kfar Saba,0,2,-2,A,0,3
2006/07,2006,B. Jerusalem,Hapoel Tel Aviv,2,1,1,H,3,0
2006/07,2006,Maccabi Netanya,M. Tel Aviv,1,1,0,D,1,1
2006/07,2006,FC Ashdod,H. Petah Tikva,2,1,1,H,3,0
2006/07,2006,Bnei Yehuda,Maccabi Herzlya,2,1,1,H,3,0
2006/07,2006,H. Kfar Saba,B. Jerusalem,2,3,-1,A,0,3
2006/07,2006,M. Petah Tikva,Maccabi Haifa,0,1,-1,A,0,3
2006/07,2006,Hapoel Tel Aviv,Hakoah Amidar,4,1,3,H,3,0
2006/07,2006,B. Jerusalem,Hakoah Amidar,0,0,0,D,1,1
2006/07,2006,H. Petah Tikva,M. Petah Tikva,0,1,-1,A,0,3
2006/07,2006,M. Tel Aviv,FC Ashdod,1,0,1,H,3,0
2006/07,2006,H. Kfar Saba,Maccabi Netanya,1,1,0,D,1,1
2006/07,2006,Maccabi Haifa,Bnei Yehuda,2,0,2,H,3,0
2006/07,2006,Maccabi Herzlya,Hapoel Tel Aviv,2,2,0,D,1,1
2006/07,2006,M. Petah Tikva,M. Tel Aviv,2,1,1,H,3,0
2006/07,2006,Bnei Yehuda,H. Petah Tikva,3,1,2,H,3,0
2006/07,2006,Hakoah Amidar,Maccabi Herzlya,1,2,-1,A,0,3
2006/07,2006,FC Ashdod,H. Kfar Saba,3,0,3,H,3,0
2006/07,2006,Maccabi Netanya,B. Jerusalem,3,1,2,H,3,0
2006/07,2006,Hapoel Tel Aviv,Maccabi Haifa,2,0,2,H,3,0
2006/07,2006,M. Tel Aviv,Bnei Yehuda,4,0,4,H,3,0
2006/07,2006,Maccabi Netanya,FC Ashdod,1,3,-2,A,0,3
2006/07,2006,H. Kfar Saba,M. Petah Tikva,3,0,3,H,3,0
2006/07,2006,B. Jerusalem,Maccabi Herzlya,3,0,3,H,3,0
2006/07,2006,H. Petah Tikva,Hapoel Tel Aviv,0,2,-2,A,0,3
2006/07,2006,Maccabi Haifa,Hakoah Amidar,3,3,0,D,1,1
2006/07,2006,Bnei Yehuda,H. Kfar Saba,2,2,0,D,1,1
2006/07,2006,M. Petah Tikva,Maccabi Netanya,0,1,-1,A,0,3
2006/07,2006,Maccabi Herzlya,Maccabi Haifa,2,2,0,D,1,1
2006/07,2006,Hakoah Amidar,H. Petah Tikva,0,3,-3,A,0,3
2006/07,2006,FC Ashdod,B. Jerusalem,1,4,-3,A,0,3
2006/07,2006,Hapoel Tel Aviv,M. Tel Aviv,1,3,-2,A,0,3
2006/07,2006,Maccabi Netanya,Bnei Yehuda,0,0,0,D,1,1
2006/07,2006,H. Petah Tikva,Maccabi Herzlya,1,1,0,D,1,1
2006/07,2006,FC Ashdod,M. Petah Tikva,1,2,-1,A,0,3
2006/07,2006,M. Tel Aviv,Hakoah Amidar,1,0,1,H,3,0
2006/07,2006,B. Jerusalem,Maccabi Haifa,1,1,0,D,1,1
2006/07,2006,H. Kfar Saba,Hapoel Tel Aviv,0,1,-1,A,0,3
2006/07,2006,Hakoah Amidar,H. Kfar Saba,0,0,0,D,1,1
2006/07,2006,Bnei Yehuda,FC Ashdod,2,3,-1,A,0,3
2006/07,2006,Hapoel Tel Aviv,Maccabi Netanya,2,1,1,H,3,0
2006/07,2006,Maccabi Herzlya,M. Tel Aviv,0,2,-2,A,0,3
2006/07,2006,Maccabi Haifa,H. Petah Tikva,2,1,1,H,3,0
2006/07,2006,M. Petah Tikva,B. Jerusalem,3,1,2,H,3,0
2006/07,2006,Maccabi Netanya,Hakoah Amidar,1,0,1,H,3,0
2006/07,2006,M. Petah Tikva,Bnei Yehuda,1,0,1,H,3,0
2006/07,2006,H. Kfar Saba,Maccabi Herzlya,2,1,1,H,3,0
2006/07,2006,B. Jerusalem,H. Petah Tikva,2,0,2,H,3,0
2006/07,2006,M. Tel Aviv,Maccabi Haifa,1,1,0,D,1,1
2006/07,2006,FC Ashdod,Hapoel Tel Aviv,2,1,1,H,3,0
2006/07,2006,H. Petah Tikva,M. Tel Aviv,1,2,-1,A,0,3
2006/07,2006,Maccabi Herzlya,Maccabi Netanya,1,0,1,H,3,0
2006/07,2006,Hakoah Amidar,FC Ashdod,0,1,-1,A,0,3
2006/07,2006,Hapoel Tel Aviv,M. Petah Tikva,0,1,-1,A,0,3
2006/07,2006,Bnei Yehuda,B. Jerusalem,0,2,-2,A,0,3
2006/07,2006,Maccabi Haifa,H. Kfar Saba,3,3,0,D,1,1
2006/07,2006,Hapoel Tel Aviv,Bnei Yehuda,3,1,2,H,3,0
2006/07,2006,Maccabi Herzlya,FC Ashdod,1,2,-1,A,0,3
2006/07,2006,Hakoah Amidar,M. Petah Tikva,0,0,0,D,1,1
2006/07,2006,H. Petah Tikva,H. Kfar Saba,0,0,0,D,1,1
2006/07,2006,Maccabi Haifa,Maccabi Netanya,1,0,1,H,3,0
2006/07,2006,B. Jerusalem,M. Tel Aviv,0,0,0,D,1,1
2006/07,2006,H. Kfar Saba,M. Tel Aviv,1,1,0,D,1,1
2006/07,2006,Bnei Yehuda,Hakoah Amidar,0,0,0,D,1,1
2006/07,2006,M. Petah Tikva,Maccabi Herzlya,2,2,0,D,1,1
2006/07,2006,Maccabi Netanya,H. Petah Tikva,1,1,0,D,1,1
2006/07,2006,FC Ashdod,Maccabi Haifa,1,1,0,D,1,1
2006/07,2006,Hapoel Tel Aviv,B. Jerusalem,1,1,0,D,1,1
2006/07,2006,Hakoah Amidar,Hapoel Tel Aviv,3,4,-1,A,0,3
2006/07,2006,H. Petah Tikva,FC Ashdod,2,3,-1,A,0,3
2006/07,2006,Maccabi Herzlya,Bnei Yehuda,0,0,0,D,1,1
2006/07,2006,Maccabi Haifa,M. Petah Tikva,1,0,1,H,3,0
2006/07,2006,M. Tel Aviv,Maccabi Netanya,0,0,0,D,1,1
2006/07,2006,B. Jerusalem,H. Kfar Saba,2,0,2,H,3,0
2006/07,2006,Hapoel Tel Aviv,Maccabi Herzlya,2,0,2,H,3,0
2006/07,2006,FC Ashdod,M. Tel Aviv,2,2,0,D,1,1
2006/07,2006,M. Petah Tikva,H. Petah Tikva,1,0,1,H,3,0
2006/07,2006,Maccabi Netanya,H. Kfar Saba,1,0,1,H,3,0
2006/07,2006,Bnei Yehuda,Maccabi Haifa,2,1,1,H,3,0
2006/07,2006,Hakoah Amidar,B. Jerusalem,0,2,-2,A,0,3
