team,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36
Hapoel Be'er Sheva,2,7,3,2,7,3,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1.0,1.0,1.0
Maccabi Tel Aviv,3,2,2,4,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2.0,2.0,2.0
Beitar Jerusalem,8,10,9,12,10,5,7,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0
Maccabi Haifa,14,14,14,14,14,14,14,12,11,13,11,8,6,6,6,6,6,6,5,6,5,5,5,6,6,4,4,6,6,5,5,5,5,4.0,4.0,4.0
Bnei Sakhnin,10,13,13,9,6,9,6,7,8,9,10,7,7,10,12,13,12,11,12,10,10,9,7,5,5,5,6,5,4,4,4,4,4,5.0,5.0,5.0
Hapoel Ra'anana,7,3,6,3,4,8,5,3,5,5,4,5,5,5,4,4,5,5,6,4,4,4,4,4,4,6,5,4,5,6,6,6,6,6.0,6.0,6.0
Maccabi Petah Tikva,5,1,1,1,1,2,4,6,6,7,5,4,4,4,5,5,4,4,4,5,6,7,9,8,8,8,8,7,7,8,8,7,7,,,
Bnei Yehuda,1,6,10,5,11,12,8,8,7,6,7,9,9,7,7,7,8,10,8,8,8,6,6,7,7,7,7,8,8,7,7,8,8,,,
Hapoel Tel Aviv,9,12,12,8,5,6,9,10,13,10,12,10,10,8,11,11,11,9,11,12,12,12,11,11,12,12,10,9,9,9,9,9,9,,,
Hapoel Kfar Saba,6,4,7,10,12,13,11,9,12,12,8,11,11,11,9,12,13,12,10,9,9,10,8,9,9,9,11,12,12,10,10,10,10,,,
Ironi Kiryat Shmona,13,5,5,7,9,4,3,4,4,4,6,6,8,9,8,8,7,7,7,7,7,8,10,10,10,10,12,11,11,11,12,11,11,,,
Hapoel Haifa,4,9,8,11,8,10,12,13,9,11,13,13,13,12,10,9,9,8,9,11,11,11,13,13,13,13,13,13,13,12,11,12,12,,,
Hapoel Acre,11,8,4,6,3,7,10,11,10,8,9,12,12,13,13,10,10,13,13,13,13,13,12,12,11,11,9,10,10,13,13,13,13,,,
Maccabi Netanya,12,11,11,13,13,11,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,
