season,round,leader_points,num_contenders,contender_teams
2006/07,1,3,12,"H. Kfar Saba, Maccabi Netanya, B. Jerusalem, FC Ashdod, Hapoel Tel Aviv, Bnei Yehuda, M. Petah Tikva, Hakoah Amidar, Maccabi Herzlya, Maccabi Haifa, M. Tel Aviv, H. Petah Tikva"
2006/07,2,6,10,"H. Kfar Saba, B. Jerusalem, M. Petah Tikva, Maccabi Netanya, Hakoah Amidar, FC Ashdod, Maccabi Haifa, Bnei Yehuda, Hapoel Tel Aviv, Maccabi Herzlya"
2006/07,3,9,9,"B. Jerusalem, H. Kfar Saba, FC Ashdod, Maccabi Haifa, Maccabi Netanya, Hapoel Tel Aviv, M. Petah Tikva, Bnei Yehuda, Hakoah Amidar"
2006/07,4,10,9,"B. Jerusalem, Maccabi Haifa, H. Kfar Saba, M. Petah Tikva, Maccabi Netanya, FC Ashdod, Hapoel Tel Aviv, Hakoah Amidar, Bnei Yehuda"
2006/07,5,10,10,"M. Petah Tikva, B. Jerusalem, Maccabi Netanya, FC Ashdod, Maccabi Haifa, Hapoel Tel Aviv, H. Kfar Saba, Bnei Yehuda, Hakoah Amidar, Maccabi Herzlya"
2006/07,6,13,8,"B. Jerusalem, FC Ashdod, Hapoel Tel Aviv, H. Kfar Saba, M. Petah Tikva, Maccabi Haifa, Maccabi Netanya, Bnei Yehuda"
2006/07,7,16,7,"B. Jerusalem, Maccabi Netanya, FC Ashdod, H. Kfar Saba, Hapoel Tel Aviv, Maccabi Haifa, M. Petah Tikva"
2006/07,8,17,8,"B. Jerusalem, Hapoel Tel Aviv, Maccabi Netanya, M. Petah Tikva, FC Ashdod, Maccabi Haifa, M. Tel Aviv, H. Kfar Saba"
2006/07,9,17,8,"Hapoel Tel Aviv, B. Jerusalem, M. Petah Tikva, FC Ashdod, Maccabi Haifa, M. Tel Aviv, Maccabi Netanya, H. Kfar Saba"
2006/07,10,20,8,"B. Jerusalem, M. Petah Tikva, FC Ashdod, Hapoel Tel Aviv, Maccabi Netanya, Maccabi Haifa, M. Tel Aviv, H. Kfar Saba"
2006/07,11,23,6,"B. Jerusalem, M. Petah Tikva, FC Ashdod, M. Tel Aviv, Hapoel Tel Aviv, Maccabi Haifa"
2006/07,12,24,6,"B. Jerusalem, FC Ashdod, M. Petah Tikva, Hapoel Tel Aviv, Maccabi Haifa, M. Tel Aviv"
2006/07,13,25,6,"B. Jerusalem, FC Ashdod, M. Petah Tikva, Hapoel Tel Aviv, Maccabi Haifa, M. Tel Aviv"
2006/07,14,28,5,"B. Jerusalem, FC Ashdod, Hapoel Tel Aviv, M. Petah Tikva, Maccabi Haifa"
2006/07,15,31,4,"B. Jerusalem, FC Ashdod, Hapoel Tel Aviv, M. Petah Tikva"
2006/07,16,32,5,"B. Jerusalem, FC Ashdod, Hapoel Tel Aviv, M. Petah Tikva, Maccabi Haifa"
2006/07,17,32,6,"B. Jerusalem, Hapoel Tel Aviv, FC Ashdod, M. Petah Tikva, Maccabi Haifa, M. Tel Aviv"
2006/07,18,35,3,"B. Jerusalem, Hapoel Tel Aviv, FC Ashdod"
2006/07,19,38,2,"B. Jerusalem, Hapoel Tel Aviv"
2006/07,20,39,3,"B. Jerusalem, Hapoel Tel Aviv, M. Tel Aviv"
2006/07,21,42,2,"B. Jerusalem, Hapoel Tel Aviv"
2006/07,22,43,3,"B. Jerusalem, Hapoel Tel Aviv, M. Tel Aviv"
2006/07,23,44,3,"B. Jerusalem, Hapoel Tel Aviv, M. Tel Aviv"
2006/07,24,47,3,"B. Jerusalem, Hapoel Tel Aviv, M. Tel Aviv"
2006/07,25,50,3,"B. Jerusalem, Hapoel Tel Aviv, M. Tel Aviv"
2006/07,26,53,1,B. Jerusalem
2006/07,27,56,1,B. Jerusalem
2006/07,28,57,1,B. Jerusalem
2006/07,29,58,1,B. Jerusalem
2006/07,30,61,1,B. Jerusalem
2006/07,31,64,1,B. Jerusalem
2006/07,32,67,1,B. Jerusalem
2006/07,33,67,1,B. Jerusalem
2007/08,1,3,12,"B. Jerusalem, Kiryat Shmona, Bnei Sakhnin, H. Kfar Saba, FC Ashdod, M. Tel Aviv, Hapoel Tel Aviv, Maccabi Netanya, M. Petah Tikva, Maccabi Haifa, Bnei Yehuda, Maccabi Herzlya"
2007/08,2,6,12,"B. Jerusalem, Kiryat Shmona, FC Ashdod, Maccabi Netanya, Bnei Sakhnin, H. Kfar Saba, M. Petah Tikva, M. Tel Aviv, Hapoel Tel Aviv, Bnei Yehuda, Maccabi Haifa, Maccabi Herzlya"
2007/08,3,9,7,"B. Jerusalem, Kiryat Shmona, Bnei Sakhnin, H. Kfar Saba, M. Petah Tikva, FC Ashdod, Maccabi Netanya"
2007/08,4,10,8,"B. Jerusalem, M. Petah Tikva, Bnei Sakhnin, H. Kfar Saba, Maccabi Netanya, Kiryat Shmona, Bnei Yehuda, FC Ashdod"
2007/08,5,13,7,"B. Jerusalem, Maccabi Netanya, Kiryat Shmona, M. Petah Tikva, Bnei Yehuda, H. Kfar Saba, Bnei Sakhnin"
2007/08,6,16,4,"B. Jerusalem, Maccabi Netanya, Bnei Sakhnin, Kiryat Shmona"
2007/08,7,19,3,"B. Jerusalem, Maccabi Netanya, Bnei Sakhnin"
2007/08,8,20,4,"B. Jerusalem, Maccabi Netanya, M. Petah Tikva, Bnei Sakhnin"
2007/08,9,21,4,"B. Jerusalem, Bnei Sakhnin, Maccabi Netanya, M. Petah Tikva"
2007/08,10,24,3,"B. Jerusalem, M. Petah Tikva, Bnei Sakhnin"
2007/08,11,27,3,"B. Jerusalem, M. Petah Tikva, Bnei Sakhnin"
2007/08,12,30,1,B. Jerusalem
2007/08,13,33,1,B. Jerusalem
2007/08,14,34,1,B. Jerusalem
2007/08,15,34,2,"B. Jerusalem, Maccabi Netanya"
2007/08,16,37,1,B. Jerusalem
