season,round,leader_points,num_contenders,contender_teams
2006/07,7,16,7,"B. Jerusalem, Maccabi Netanya, FC Ashdod, H. Kfar Saba, Hapoel Tel Aviv, Maccabi Haifa, M. Petah Tikva"
2006/07,8,17,8,"B. Jerusalem, Hapoel Tel Aviv, Maccabi Netanya, M. Petah Tikva, FC Ashdod, Maccabi Haifa, M. Tel Aviv, H. Kfar Saba"
2006/07,9,17,8,"Hapoel Tel Aviv, B. Jerusalem, M. Petah Tikva, FC Ashdod, Maccabi Haifa, M. Tel Aviv, Maccabi Netanya, H. Kfar Saba"
2006/07,10,20,8,"B. Jerusalem, M. Petah Tikva, FC Ashdod, Hapoel Tel Aviv, Maccabi Netanya, Maccabi Haifa, M. Tel Aviv, H. Kfar Saba"
2006/07,11,23,6,"B. Jerusalem, M. Petah Tikva, FC Ashdod, M. Tel Aviv, Hapoel Tel Aviv, Maccabi Haifa"
2006/07,12,24,6,"B. Jerusalem, FC Ashdod, M. Petah Tikva, Hapoel Tel Aviv, Maccabi Haifa, M. Tel Aviv"
2006/07,13,25,6,"B. Jerusalem, FC Ashdod, M. Petah Tikva, Hapoel Tel Aviv, Maccabi Haifa, M. Tel Aviv"
2006/07,14,28,5,"B. Jerusalem, FC Ashdod, Hapoel Tel Aviv, M. Petah Tikva, Maccabi Haifa"
2006/07,16,32,5,"B. Jerusalem, FC Ashdod, Hapoel Tel Aviv, M. Petah Tikva, Maccabi Haifa"
2006/07,17,32,6,"B. Jerusalem, Hapoel Tel Aviv, FC Ashdod, M. Petah Tikva, Maccabi Haifa, M. Tel Aviv"
2006/07,18,35,3,"B. Jerusalem, Hapoel Tel Aviv, FC Ashdod"
2006/07,19,38,2,"B. Jerusalem, Hapoel Tel Aviv"
2006/07,20,39,3,"B. Jerusalem, Hapoel Tel Aviv, M. Tel Aviv"
2006/07,21,42,2,"B. Jerusalem, Hapoel Tel Aviv"
2006/07,22,43,3,"B. Jerusalem, Hapoel Tel Aviv, M. Tel Aviv"
2006/07,23,44,3,"B. Jerusalem, Hapoel Tel Aviv, M. Tel Aviv"
2006/07,24,47,3,"B. Jerusalem, Hapoel Tel Aviv, M. Tel Aviv"
2006/07,25,50,3,"B. Jerusalem, Hapoel Tel Aviv, M. Tel Aviv"
2006/07,26,53,1,B. Jerusalem
2006/07,27,56,1,B. Jerusalem
2006/07,28,57,1,B. Jerusalem
2006/07,29,58,1,B. Jerusalem
2006/07,30,61,1,B. Jerusalem
2006/07,31,64,1,B. Jerusalem
2006/07,33,67,1,B. Jerusalem
2007/08,7,19,3,"B. Jerusalem, Maccabi Netanya, Bnei Sakhnin"
2007/08,8,20,4,"B. Jerusalem, Maccabi Netanya, M. Petah Tikva, Bnei Sakhnin"
2007/08,9,21,4,"B. Jerusalem, Bnei Sakhnin, Maccabi Netanya, M. Petah Tikva"
2007/08,10,24,3,"B. Jerusalem, M. Petah Tikva, Bnei Sakhnin"
2007/08,11,27,3,"B. Jerusalem, M. Petah Tikva, Bnei Sakhnin"
2007/08,12,30,1,B. Jerusalem
2007/08,13,33,1,B. Jerusalem
2007/08,14,34,1,B. Jerusalem
2007/08,15,34,2,"B. Jerusalem, Maccabi Netanya"
2007/08,16,37,1,B. Jerusalem
2007/08,17,40,1,B. Jerusalem
2007/08,18,41,2,"B. Jerusalem, Maccabi Netanya"
2007/08,19,44,1,B. Jerusalem
2007/08,20,47,1,B. Jerusalem
2007/08,21,50,1,B. Jerusalem
2007/08,22,51,1,B. Jerusalem
2007/08,23,54,1,B. Jerusalem
2007/08,24,57,1,B. Jerusalem
2007/08,25,60,1,B. Jerusalem
2007/08,26,61,1,B. Jerusalem
2007/08,27,61,1,B. Jerusalem
2007/08,28,64,1,B. Jerusalem
2007/08,29,64,1,B. Jerusalem
2007/08,30,64,1,B. Jerusalem
2007/08,31,67,1,B. Jerusalem
2007/08,32,67,1,B. Jerusalem
2007/08,33,67,1,B. Jerusalem
2008/09,7,17,3,"Maccabi Haifa, Maccabi Netanya, M. Petah Tikva"
2008/09,8,20,3,"Maccabi Haifa, Maccabi Netanya, M. Petah Tikva"
2008/09,9,21,3,"Maccabi Netanya, Maccabi Haifa, M. Petah Tikva"
2008/09,10,21,3,"Maccabi Haifa, Maccabi Netanya, M. Petah Tikva"
2008/09,11,24,2,"Maccabi Haifa, Maccabi Netanya"
2008/09,12,27,2,"Maccabi Haifa, Maccabi Netanya"
2008/09,13,28,2,"Maccabi Haifa, Maccabi Netanya"
2008/09,14,31,2,"Maccabi Haifa, Maccabi Netanya"
2008/09,15,32,2,"Maccabi Haifa, Maccabi Netanya"
2008/09,16,32,3,"Maccabi Haifa, Maccabi Netanya, Hapoel Tel Aviv"
2008/09,17,35,3,"Maccabi Haifa, Hapoel Tel Aviv, Maccabi Netanya"
2008/09,18,36,3,"Maccabi Haifa, Maccabi Netanya, Hapoel Tel Aviv"
2008/09,19,39,3,"Maccabi Haifa, Hapoel Tel Aviv, Maccabi Netanya"
2008/09,20,39,3,"Maccabi Haifa, Maccabi Netanya, Hapoel Tel Aviv"
2008/09,21,39,4,"Maccabi Haifa, Hapoel Tel Aviv, Maccabi Netanya, B. Jerusalem"
2008/09,22,42,4,"Maccabi Haifa, Hapoel Tel Aviv, Maccabi Netanya, B. Jerusalem"
2008/09,23,45,4,"Maccabi Haifa, Hapoel Tel Aviv, Maccabi Netanya, B. Jerusalem"
2008/09,24,46,3,"Maccabi Haifa, Hapoel Tel Aviv, Maccabi Netanya"
2008/09,25,49,3,"Maccabi Haifa, Hapoel Tel Aviv, Maccabi Netanya"
2008/09,26,52,2,"Maccabi Haifa, Hapoel Tel Aviv"
2008/09,27,53,2,"Hapoel Tel Aviv, Maccabi Haifa"
2008/09,28,56,2,"Maccabi Haifa, Hapoel Tel Aviv"
2008/09,29,57,2,"Hapoel Tel Aviv, Maccabi Haifa"
2008/09,30,60,2,"Maccabi Haifa, Hapoel Tel Aviv"
2008/09,31,63,2,"Maccabi Haifa, Hapoel Tel Aviv"
2008/09,32,66,2,"Maccabi Haifa, Hapoel Tel Aviv"
2008/09,33,67,2,"Maccabi Haifa, Hapoel Tel Aviv"
2009/10,7,21,1,Maccabi Haifa
2009/10,8,24,1,Maccabi Haifa
2009/10,9,27,1,Maccabi Haifa
2009/10,10,30,1,Maccabi Haifa
2009/10,11,30,2,"Maccabi Haifa, Hapoel Tel Aviv"
2009/10,12,33,2,"Maccabi Haifa, Hapoel Tel Aviv"
2009/10,13,36,1,Maccabi Haifa
2009/10,14,39,1,Maccabi Haifa
2009/10,15,42,1,Maccabi Haifa
2009/10,16,45,1,Maccabi Haifa
2009/10,17,48,1,Maccabi Haifa
2009/10,18,51,1,Maccabi Haifa
2009/10,19,52,1,Maccabi Haifa
2009/10,20,55,1,Maccabi Haifa
2009/10,21,58,1,Maccabi Haifa
2009/10,22,61,1,Maccabi Haifa
2009/10,23,61,1,Maccabi Haifa
2009/10,24,64,1,Maccabi Haifa
2009/10,25,67,1,Maccabi Haifa
2009/10,26,70,1,Maccabi Haifa
2009/10,27,70,1,Maccabi Haifa
2009/10,28,73,1,Maccabi Haifa
2009/10,29,76,1,Maccabi Haifa
2009/10,30,77,2,"Maccabi Haifa, Hapoel Tel Aviv"
2010/11,7,17,5,"Kiryat Shmona, M. Tel Aviv, Maccabi Haifa, Hapoel Tel Aviv, Maccabi Netanya"
2010/11,8,18,7,"Maccabi Haifa, Kiryat Shmona, M. Tel Aviv, Hapoel Tel Aviv, Maccabi Netanya, M. Petah Tikva, Hapoel Acre"
2010/11,9,19,9,"M. Tel Aviv, Hapoel Tel Aviv, Kiryat Shmona, Maccabi Haifa, Hapoel Acre, Maccabi Netanya, Hapoel Haifa, FC Ashdod, M. Petah Tikva"
2010/11,10,21,8,"Kiryat Shmona, Maccabi Haifa, Hapoel Tel Aviv, M. Tel Aviv, Hapoel Acre, M. Petah Tikva, Maccabi Netanya, Hapoel Haifa"
2010/11,11,24,5,"Kiryat Shmona, Hapoel Tel Aviv, Maccabi Haifa, Hapoel Acre, M. Tel Aviv"
2010/11,12,25,6,"Kiryat Shmona, Maccabi Haifa, Hapoel Tel Aviv, M. Tel Aviv, Hapoel Acre, H. Beer Sheva"
2010/11,13,28,4,"Maccabi Haifa, Hapoel Tel Aviv, Kiryat Shmona, M. Tel Aviv"
2010/11,14,31,4,"Maccabi Haifa, Hapoel Tel Aviv, Kiryat Shmona, M. Tel Aviv"
2010/11,15,34,3,"Maccabi Haifa, Hapoel Tel Aviv, M. Tel Aviv"
2010/11,16,37,2,"Maccabi Haifa, Hapoel Tel Aviv"
2010/11,17,40,2,"Maccabi Haifa, Hapoel Tel Aviv"
2010/11,18,41,3,"Hapoel Tel Aviv, Maccabi Haifa, M. Tel Aviv"
2010/11,19,44,3,"Maccabi Haifa, Hapoel Tel Aviv, M. Tel Aviv"
2010/11,20,45,3,"Hapoel Tel Aviv, Maccabi Haifa, M. Tel Aviv"
2010/11,21,48,3,"Maccabi Haifa, Hapoel Tel Aviv, M. Tel Aviv"
2010/11,22,51,3,"Maccabi Haifa, Hapoel Tel Aviv, M. Tel Aviv"
2010/11,23,54,2,"Maccabi Haifa, Hapoel Tel Aviv"
2010/11,24,55,2,"Hapoel Tel Aviv, Maccabi Haifa"
2010/11,25,57,2,"Maccabi Haifa, Hapoel Tel Aviv"
2010/11,26,60,2,"Maccabi Haifa, Hapoel Tel Aviv"
2010/11,27,63,2,"Maccabi Haifa, Hapoel Tel Aviv"
2010/11,28,66,2,"Maccabi Haifa, Hapoel Tel Aviv"
2010/11,29,69,1,Maccabi Haifa
2010/11,30,70,2,"Maccabi Haifa, Hapoel Tel Aviv"
2011/12,7,16,10,"M. Tel Aviv, Bnei Yehuda, Maccabi Netanya, Maccabi Haifa, Hapoel Tel Aviv, Bnei Sakhnin, M. Petah Tikva, Hapoel Acre, Kiryat Shmona, FC Ashdod"
2011/12,8,16,10,"M. Tel Aviv, Hapoel Tel Aviv, Bnei Yehuda, Maccabi Netanya, Kiryat Shmona, Maccabi Haifa, Bnei Sakhnin, Hapoel Acre, FC Ashdod, M. Petah Tikva"
2011/12,9,19,8,"M. Tel Aviv, Maccabi Netanya, Kiryat Shmona, Bnei Sakhnin, Hapoel Tel Aviv, Hapoel Acre, FC Ashdod, Bnei Yehuda"
2011/12,10,20,10,"M. Tel Aviv, Kiryat Shmona, Maccabi Netanya, Hapoel Tel Aviv, Hapoel Acre, Maccabi Haifa, Bnei Sakhnin, FC Ashdod, Bnei Yehuda, Ramat haSharon"
2011/12,11,20,10,"Hapoel Tel Aviv, M. Tel Aviv, Kiryat Shmona, Hapoel Acre, FC Ashdod, Maccabi Netanya, Maccabi Haifa, Bnei Yehuda, Ramat haSharon, Bnei Sakhnin"
2011/12,12,23,9,"Kiryat Shmona, Hapoel Tel Aviv, Hapoel Acre, Maccabi Netanya, FC Ashdod, M. Tel Aviv, Maccabi Haifa, Bnei Sakhnin, Ramat haSharon"
