rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,Maccabi Haifa,30,21,7,2,55:25,30,70
2,Hapoel Tel Aviv,30,20,5,5,65:27,38,65
3,M. Tel Aviv,30,15,5,10,41:33,8,50
4,Kiryat Shmona,30,13,9,8,50:34,16,48
5,Bnei Yehuda,30,13,9,8,33:27,6,48
6,Maccabi Netanya,30,11,11,8,39:33,6,44
7,Hapoel Haifa,30,12,8,10,38:37,1,44
8,M. Petah Tikva,30,11,9,10,50:39,11,42
9,Hapoel Acre,30,10,11,9,43:38,5,41
10,B. Jerusalem,30,10,8,12,30:32,-2,38
11,H. Beer Sheva,30,9,9,12,36:41,-5,36
12,FC Ashdod,30,8,10,12,39:52,-13,34
13,H. Petah Tikva,30,9,6,15,36:51,-15,33
14,H. Ashkelon,30,7,5,18,29:56,-27,26
15,Bnei Sakhnin,30,6,7,17,19:40,-21,25
16,H. Ramat Gan,30,1,9,20,18:56,-38,12
