season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2019/20,1,1,M. Tel Aviv,1,1,0,0,2,0,2,3
2019/20,1,2,Maccabi Haifa,1,1,0,0,4,3,1,3
2019/20,1,3,Bnei Yehuda,1,1,0,0,2,1,1,3
2019/20,1,4,Hapoel Haifa,1,1,0,0,1,0,1,3
2019/20,1,5,FC Ashdod,1,0,1,0,1,1,0,1
2019/20,1,6,Hapoel Hadera,1,0,1,0,1,1,0,1
2019/20,1,7,B. Jerusalem,1,0,1,0,0,0,0,1
2019/20,1,8,H. Beer Sheva,1,0,1,0,0,0,0,1
2019/20,1,9,Hapoel Tel Aviv,1,0,1,0,0,0,0,1
2019/20,1,10,Maccabi Netanya,1,0,1,0,0,0,0,1
2019/20,1,11,Hapoel Ra'anana,1,0,0,1,3,4,-1,0
2019/20,1,12,Kiryat Shmona,1,0,0,1,1,2,-1,0
2019/20,1,13,H. Kfar Saba,1,0,0,1,0,1,-1,0
2019/20,1,14,Sektzia Ness Ziona,1,0,0,1,0,2,-2,0
2019/20,2,1,H. Beer Sheva,2,1,1,0,3,0,3,4
2019/20,2,2,Maccabi Netanya,2,1,1,0,3,0,3,4
2019/20,2,3,M. Tel Aviv,2,1,1,0,2,0,2,4
2019/20,2,4,Maccabi Haifa,2,1,1,0,4,3,1,4
2019/20,2,5,FC Ashdod,2,1,1,0,3,2,1,4
2019/20,2,6,Bnei Yehuda,2,1,1,0,2,1,1,4
2019/20,2,7,Hapoel Haifa,2,1,1,0,1,0,1,4
2019/20,2,8,H. Kfar Saba,2,1,0,1,3,2,1,3
2019/20,2,9,Hapoel Ra'anana,2,1,0,1,5,5,0,3
2019/20,2,10,B. Jerusalem,2,0,1,1,1,2,-1,1
2019/20,2,11,Hapoel Tel Aviv,2,0,1,1,1,2,-1,1
2019/20,2,12,Hapoel Hadera,2,0,1,1,1,4,-3,1
2019/20,2,13,Kiryat Shmona,2,0,0,2,2,5,-3,0
2019/20,2,14,Sektzia Ness Ziona,2,0,0,2,0,5,-5,0
2019/20,3,1,Maccabi Haifa,3,2,1,0,6,3,3,7
2019/20,3,2,Hapoel Haifa,3,2,1,0,3,0,3,7
2019/20,3,3,M. Tel Aviv,3,2,1,0,3,0,3,7
2019/20,3,4,H. Beer Sheva,3,1,2,0,5,2,3,5
2019/20,3,5,Maccabi Netanya,3,1,2,0,3,0,3,5
2019/20,3,6,FC Ashdod,3,1,2,0,5,4,1,5
2019/20,3,7,Bnei Yehuda,3,1,2,0,2,1,1,5
2019/20,3,8,Hapoel Hadera,3,1,1,1,5,4,1,4
2019/20,3,9,H. Kfar Saba,3,1,0,2,3,3,0,3
2019/20,3,10,Hapoel Ra'anana,3,1,0,2,5,9,-4,3
2019/20,3,11,Hapoel Tel Aviv,3,0,2,1,2,3,-1,2
2019/20,3,12,B. Jerusalem,3,0,1,2,1,4,-3,1
2019/20,3,13,Sektzia Ness Ziona,3,0,1,2,1,6,-5,1
2019/20,3,14,Kiryat Shmona,3,0,0,3,2,7,-5,0
2019/20,4,1,M. Tel Aviv,4,3,1,0,4,0,4,10
2019/20,4,2,H. Beer Sheva,4,2,2,0,8,2,6,8
2019/20,4,3,Bnei Yehuda,4,2,2,0,3,1,2,8
2019/20,4,4,Hapoel Hadera,4,2,1,1,7,5,2,7
2019/20,4,5,Maccabi Haifa,4,2,1,1,6,4,2,7
2019/20,4,6,Hapoel Haifa,4,2,1,1,4,2,2,7
2019/20,4,7,Maccabi Netanya,4,1,3,0,5,2,3,6
2019/20,4,8,FC Ashdod,4,1,3,0,6,5,1,6
2019/20,4,9,H. Kfar Saba,4,1,1,2,5,5,0,4
2019/20,4,10,B. Jerusalem,4,1,1,2,3,4,-1,4
2019/20,4,11,Hapoel Ra'anana,4,1,1,2,6,10,-4,4
2019/20,4,12,Hapoel Tel Aviv,4,0,2,2,2,6,-4,2
2019/20,4,13,Sektzia Ness Ziona,4,0,1,3,1,7,-6,1
2019/20,4,14,Kiryat Shmona,4,0,0,4,2,9,-7,0
2019/20,5,1,M. Tel Aviv,5,4,1,0,8,0,8,13
2019/20,5,2,H. Beer Sheva,5,3,2,0,9,2,7,11
2019/20,5,3,Maccabi Haifa,5,3,1,1,9,4,5,10
2019/20,5,4,Bnei Yehuda,5,2,3,0,4,2,2,9
2019/20,5,5,Hapoel Hadera,5,2,2,1,9,7,2,8
2019/20,5,6,Hapoel Haifa,5,2,2,1,5,3,2,8
2019/20,5,7,FC Ashdod,5,1,4,0,7,6,1,7
2019/20,5,8,Maccabi Netanya,5,1,3,1,5,5,0,6
2019/20,5,9,H. Kfar Saba,5,1,2,2,6,6,0,5
2019/20,5,10,Hapoel Ra'anana,5,1,1,3,6,11,-5,4
2019/20,5,11,B. Jerusalem,5,1,1,3,3,8,-5,4
2019/20,5,12,Hapoel Tel Aviv,5,0,3,2,3,7,-4,3
2019/20,5,13,Sektzia Ness Ziona,5,0,2,3,2,8,-6,2
2019/20,5,14,Kiryat Shmona,5,0,1,4,4,11,-7,1
2019/20,6,1,H. Beer Sheva,6,4,2,0,12,2,10,14
2019/20,6,2,M. Tel Aviv,6,4,2,0,8,0,8,14
2019/20,6,3,Maccabi Haifa,6,4,1,1,12,4,8,13
2019/20,6,4,Hapoel Hadera,6,2,3,1,9,7,2,9
2019/20,6,5,Bnei Yehuda,6,2,3,1,4,3,1,9
2019/20,6,6,H. Kfar Saba,6,2,2,2,7,6,1,8
2019/20,6,7,Hapoel Haifa,6,2,2,2,5,6,-1,8
2019/20,6,8,FC Ashdod,6,1,4,1,7,8,-1,7
2019/20,6,9,B. Jerusalem,6,2,1,3,6,8,-2,7
2019/20,6,10,Maccabi Netanya,6,1,3,2,5,8,-3,6
2019/20,6,11,Hapoel Ra'anana,6,1,2,3,8,13,-5,5
2019/20,6,12,Hapoel Tel Aviv,6,0,4,2,5,9,-4,4
2019/20,6,13,Kiryat Shmona,6,1,1,4,6,11,-5,4
2019/20,6,14,Sektzia Ness Ziona,6,0,2,4,2,11,-9,2
2019/20,7,1,H. Beer Sheva,7,5,2,0,14,3,11,17
2019/20,7,2,M. Tel Aviv,7,5,2,0,9,0,9,17
2019/20,7,3,Maccabi Haifa,7,4,2,1,13,5,8,14
2019/20,7,4,Hapoel Hadera,7,3,3,1,10,7,3,12
2019/20,7,5,B. Jerusalem,7,3,1,3,10,8,2,10
2019/20,7,6,Bnei Yehuda,7,2,4,1,5,4,1,10
2019/20,7,7,Hapoel Haifa,7,2,3,2,5,6,-1,9
2019/20,7,8,H. Kfar Saba,7,2,2,3,8,8,0,8
2019/20,7,9,FC Ashdod,7,1,4,2,7,9,-2,7
2019/20,7,10,Hapoel Tel Aviv,7,1,4,2,7,10,-3,7
2019/20,7,11,Maccabi Netanya,7,1,3,3,5,9,-4,6
2019/20,7,12,Hapoel Ra'anana,7,1,3,3,8,13,-5,6
2019/20,7,13,Kiryat Shmona,7,1,1,5,7,13,-6,4
2019/20,7,14,Sektzia Ness Ziona,7,0,2,5,2,15,-13,2
2019/20,8,1,M. Tel Aviv,8,6,2,0,11,0,11,20
2019/20,8,2,Maccabi Haifa,8,5,2,1,16,5,11,17
2019/20,8,3,H. Beer Sheva,8,5,2,1,14,5,9,17
2019/20,8,4,B. Jerusalem,8,4,1,3,12,8,4,13
2019/20,8,5,Hapoel Hadera,8,3,4,1,12,9,3,13
2019/20,8,6,Hapoel Haifa,8,3,3,2,8,6,2,12
2019/20,8,7,FC Ashdod,8,2,4,2,11,11,0,10
2019/20,8,8,Bnei Yehuda,8,2,4,2,5,6,-1,10
2019/20,8,9,H. Kfar Saba,8,2,2,4,8,11,-3,8
2019/20,8,10,Kiryat Shmona,8,2,1,5,9,14,-5,7
2019/20,8,11,Hapoel Tel Aviv,8,1,4,3,7,13,-6,7
2019/20,8,12,Hapoel Ra'anana,8,1,3,4,9,15,-6,6
2019/20,8,13,Maccabi Netanya,8,1,3,4,7,13,-6,6
2019/20,8,14,Sektzia Ness Ziona,8,0,3,5,4,17,-13,3
2019/20,9,1,M. Tel Aviv,9,7,2,0,13,0,13,23
2019/20,9,2,Maccabi Haifa,9,6,2,1,18,6,12,20
2019/20,9,3,H. Beer Sheva,9,6,2,1,16,5,11,20
2019/20,9,4,B. Jerusalem,9,5,1,3,13,8,5,16
2019/20,9,5,Hapoel Haifa,9,4,3,2,10,7,3,15
2019/20,9,6,Hapoel Hadera,9,3,5,1,12,9,3,14
2019/20,9,7,FC Ashdod,9,2,5,2,13,13,0,11
2019/20,9,8,Bnei Yehuda,9,2,5,2,5,6,-1,11
2019/20,9,9,H. Kfar Saba,9,2,2,5,8,12,-4,8
2019/20,9,10,Kiryat Shmona,9,2,1,6,10,16,-6,7
2019/20,9,11,Hapoel Tel Aviv,9,1,4,4,8,15,-7,7
2019/20,9,12,Hapoel Ra'anana,9,1,3,5,9,17,-8,6
2019/20,9,13,Maccabi Netanya,9,1,3,5,7,15,-8,6
2019/20,9,14,Sektzia Ness Ziona,9,0,4,5,6,19,-13,4
2019/20,10,1,M. Tel Aviv,10,8,2,0,16,0,16,26
2019/20,10,2,Maccabi Haifa,10,7,2,1,21,7,14,23
2019/20,10,3,H. Beer Sheva,10,6,2,2,17,7,10,20
2019/20,10,4,B. Jerusalem,10,5,1,4,14,11,3,16
2019/20,10,5,Hapoel Hadera,10,3,6,1,12,9,3,15
2019/20,10,6,Hapoel Haifa,10,4,3,3,10,10,0,15
2019/20,10,7,Bnei Yehuda,10,3,5,2,7,6,1,14
2019/20,10,8,FC Ashdod,10,2,5,3,13,15,-2,11
2019/20,10,9,Hapoel Tel Aviv,10,2,4,4,9,15,-6,10
2019/20,10,10,H. Kfar Saba,10,2,3,5,8,12,-4,9
2019/20,10,11,Maccabi Netanya,10,2,3,5,8,15,-7,9
2019/20,10,12,Kiryat Shmona,10,2,1,7,10,17,-7,7
2019/20,10,13,Sektzia Ness Ziona,10,1,4,5,8,20,-12,7
2019/20,10,14,Hapoel Ra'anana,10,1,3,6,9,18,-9,6
2019/20,11,1,M. Tel Aviv,11,9,2,0,17,0,17,29
2019/20,11,2,Maccabi Haifa,11,8,2,1,24,7,17,26
2019/20,11,3,H. Beer Sheva,11,6,2,3,18,9,9,20
2019/20,11,4,B. Jerusalem,11,6,1,4,15,11,4,19
2019/20,11,5,Bnei Yehuda,11,4,5,2,9,7,2,17
2019/20,11,6,Hapoel Hadera,11,3,6,2,12,12,0,15
2019/20,11,7,Hapoel Haifa,11,4,3,4,11,13,-2,15
2019/20,11,8,FC Ashdod,11,2,6,3,13,15,-2,12
2019/20,11,9,Maccabi Netanya,11,3,3,5,11,16,-5,12
2019/20,11,10,H. Kfar Saba,11,2,4,5,8,12,-4,10
2019/20,11,11,Hapoel Tel Aviv,11,2,4,5,9,16,-7,10
2019/20,11,12,Sektzia Ness Ziona,11,1,5,5,8,20,-12,8
2019/20,11,13,Kiryat Shmona,11,2,1,8,10,18,-8,7
2019/20,11,14,Hapoel Ra'anana,11,1,4,6,9,18,-9,7
2019/20,12,1,M. Tel Aviv,12,10,2,0,20,0,20,32
2019/20,12,2,Maccabi Haifa,12,8,3,1,27,10,17,27
2019/20,12,3,H. Beer Sheva,12,7,2,3,19,9,10,23
2019/20,12,4,B. Jerusalem,12,7,1,4,17,11,6,22
2019/20,12,5,Bnei Yehuda,12,4,6,2,10,8,2,18
2019/20,12,6,Hapoel Haifa,12,5,3,4,13,14,-1,18
2019/20,12,7,Hapoel Hadera,12,3,6,3,12,14,-2,15
2019/20,12,8,Maccabi Netanya,12,4,3,5,12,16,-4,15
2019/20,12,9,FC Ashdod,12,2,7,3,16,18,-2,13
2019/20,12,10,H. Kfar Saba,12,2,4,6,8,13,-5,10
2019/20,12,11,Hapoel Tel Aviv,12,2,4,6,9,19,-10,10
2019/20,12,12,Hapoel Ra'anana,12,1,5,6,10,19,-9,8
2019/20,12,13,Sektzia Ness Ziona,12,1,5,6,9,22,-13,8
