season,round,leader,leader_points,leader_gd,leader_gf,first_place_changed,prev_leader,change_count
2009/10,1,Bnei Yehuda,3,3,3,False,,0
2009/10,2,Bnei Yehuda,6,5,5,False,Bnei Yehuda,0
2009/10,3,Maccabi Haifa,9,5,8,True,Bnei Yehuda,1
2009/10,4,Maccabi Haifa,12,6,10,False,Maccabi Haifa,1
2009/10,5,Maccabi Haifa,15,8,12,False,Maccabi Haifa,1
2009/10,6,Maccabi Haifa,18,10,15,False,Maccabi Haifa,1
2009/10,7,Maccabi Haifa,21,11,17,False,Maccabi Haifa,1
2009/10,8,Maccabi Haifa,24,13,19,False,Maccabi Haifa,1
2009/10,9,Maccabi Haifa,27,14,20,False,Maccabi Haifa,1
2009/10,10,Maccabi Haifa,30,17,24,False,Maccabi Haifa,1
2009/10,11,Maccabi Haifa,30,16,24,False,Maccabi Haifa,1
2009/10,12,Maccabi Haifa,33,17,25,False,Maccabi Haifa,1
2009/10,13,Maccabi Haifa,36,21,29,False,Maccabi Haifa,1
2009/10,14,Maccabi Haifa,39,23,31,False,Maccabi Haifa,1
2009/10,15,Maccabi Haifa,42,24,32,False,Maccabi Haifa,1
2009/10,16,Maccabi Haifa,45,27,35,False,Maccabi Haifa,1
2009/10,17,Maccabi Haifa,48,30,38,False,Maccabi Haifa,1
2009/10,18,Maccabi Haifa,51,35,43,False,Maccabi Haifa,1
2009/10,19,Maccabi Haifa,52,35,43,False,Maccabi Haifa,1
2009/10,20,Maccabi Haifa,55,36,44,False,Maccabi Haifa,1
2009/10,21,Maccabi Haifa,58,39,48,False,Maccabi Haifa,1
2009/10,22,Maccabi Haifa,61,42,51,False,Maccabi Haifa,1
2009/10,23,Maccabi Haifa,61,41,51,False,Maccabi Haifa,1
2009/10,24,Maccabi Haifa,64,42,52,False,Maccabi Haifa,1
2009/10,25,Maccabi Haifa,67,47,57,False,Maccabi Haifa,1
2009/10,26,Maccabi Haifa,70,48,58,False,Maccabi Haifa,1
2009/10,27,Maccabi Haifa,70,47,59,False,Maccabi Haifa,1
2009/10,28,Maccabi Haifa,73,50,62,False,Maccabi Haifa,1
2009/10,29,Maccabi Haifa,76,52,64,False,Maccabi Haifa,1
2009/10,30,Maccabi Haifa,77,52,64,False,Maccabi Haifa,1
2010/11,1,Maccabi Netanya,3,3,4,False,,0
2010/11,2,Hapoel Haifa,6,2,3,True,Maccabi Netanya,1
2010/11,3,Hapoel Haifa,9,4,5,False,Hapoel Haifa,1
2010/11,4,Kiryat Shmona,10,6,11,True,Hapoel Haifa,2
2010/11,5,Kiryat Shmona,13,7,12,False,Kiryat Shmona,2
2010/11,6,Kiryat Shmona,16,10,16,False,Kiryat Shmona,2
2010/11,7,Kiryat Shmona,17,10,18,False,Kiryat Shmona,2
2010/11,8,Maccabi Haifa,18,5,13,True,Kiryat Shmona,3
2010/11,9,M. Tel Aviv,19,9,13,True,Maccabi Haifa,4
2010/11,10,Kiryat Shmona,21,10,23,True,M. Tel Aviv,5
2010/11,11,Kiryat Shmona,24,11,24,False,Kiryat Shmona,5
2010/11,12,Kiryat Shmona,25,11,26,False,Kiryat Shmona,5
2010/11,13,Maccabi Haifa,28,10,22,True,Kiryat Shmona,6
2010/11,14,Maccabi Haifa,31,11,23,False,Maccabi Haifa,6
2010/11,15,Maccabi Haifa,34,14,26,False,Maccabi Haifa,6
2010/11,16,Maccabi Haifa,37,17,29,False,Maccabi Haifa,6
2010/11,17,Maccabi Haifa,40,19,32,False,Maccabi Haifa,6
2010/11,18,Hapoel Tel Aviv,41,27,44,True,Maccabi Haifa,7
2010/11,19,Maccabi Haifa,44,20,35,True,Hapoel Tel Aviv,8
2010/11,20,Hapoel Tel Aviv,45,28,47,True,Maccabi Haifa,9
2010/11,21,Maccabi Haifa,48,21,36,True,Hapoel Tel Aviv,10
2010/11,22,Maccabi Haifa,51,22,38,False,Maccabi Haifa,10
2010/11,23,Maccabi Haifa,54,24,40,False,Maccabi Haifa,10
2010/11,24,Hapoel Tel Aviv,55,36,57,True,Maccabi Haifa,11
2010/11,25,Maccabi Haifa,57,22,44,True,Hapoel Tel Aviv,12
2010/11,26,Maccabi Haifa,60,24,46,False,Maccabi Haifa,12
2010/11,27,Maccabi Haifa,63,27,49,False,Maccabi Haifa,12
2010/11,28,Maccabi Haifa,66,29,51,False,Maccabi Haifa,12
2010/11,29,Maccabi Haifa,69,30,54,False,Maccabi Haifa,12
2010/11,30,Maccabi Haifa,70,30,55,False,Maccabi Haifa,12
2011/12,1,Hapoel Tel Aviv,3,3,4,False,,0
2011/12,2,M. Tel Aviv,6,6,7,True,Hapoel Tel Aviv,1
2011/12,3,M. Tel Aviv,9,8,9,False,M. Tel Aviv,1
2011/12,4,M. Tel Aviv,12,10,11,False,M. Tel Aviv,1
2011/12,5,Hapoel Tel Aviv,13,8,10,True,M. Tel Aviv,2
2011/12,6,M. Tel Aviv,15,11,16,True,Hapoel Tel Aviv,3
2011/12,7,M. Tel Aviv,16,11,17,False,M. Tel Aviv,3
2011/12,8,Hapoel Tel Aviv,17,12,16,True,M. Tel Aviv,4
2011/12,9,M. Tel Aviv,19,11,19,True,Hapoel Tel Aviv,5
2011/12,10,Hapoel Tel Aviv,20,16,22,True,M. Tel Aviv,6
2011/12,11,Hapoel Tel Aviv,23,17,23,False,Hapoel Tel Aviv,6
