round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
1,1,1,M. Tel Aviv,2:1,Bnei Yehuda,2008/09,2008,30/08/08,5:10 PM,2008-08-30,Saturday,שבת,5
1,1,2,Maccabi Haifa,3:1,FC Ashdod,2008/09,2008,30/08/08,7:30 PM,2008-08-30,Saturday,שבת,5
1,1,3,M. Petah Tikva,1:1,Maccabi Netanya,2008/09,2008,31/08/08,6:54 PM,2008-08-31,Sunday,יום ראשון,6
1,1,4,Bnei Sakhnin,0:0,B. Jerusalem,2008/09,2008,31/08/08,8:50 PM,2008-08-31,Sunday,יום ראשון,6
1,1,5,Kiryat Shmona,0:0,H. Petah Tikva,2008/09,2008,01/09/08,6:40 PM,2008-09-01,Monday,יום שני,0
1,1,6,Hakoah Amidar,2:2,Hapoel Tel Aviv,2008/09,2008,01/09/08,8:50 PM,2008-09-01,Monday,יום שני,0
2,2,7,Bnei Yehuda,2:2,Hakoah Amidar,2008/09,2008,13/09/08,3:30 PM,2008-09-13,Saturday,שבת,5
2,2,8,Maccabi Netanya,3:1,H. Petah Tikva,2008/09,2008,13/09/08,5:30 PM,2008-09-13,Saturday,שבת,5
2,2,9,FC Ashdod,2:0,Kiryat Shmona,2008/09,2008,13/09/08,7:30 PM,2008-09-13,Saturday,שבת,5
2,2,10,M. Petah Tikva,1:0,Bnei Sakhnin,2008/09,2008,13/09/08,7:30 PM,2008-09-13,Saturday,שבת,5
2,2,11,Hapoel Tel Aviv,0:0,Maccabi Haifa,2008/09,2008,13/09/08,7:35 PM,2008-09-13,Saturday,שבת,5
2,2,12,B. Jerusalem,0:0,M. Tel Aviv,2008/09,2008,14/09/08,8:54 PM,2008-09-14,Sunday,יום ראשון,6
3,3,13,Bnei Sakhnin,0:1,Maccabi Netanya,2008/09,2008,20/09/08,12:00 AM,2008-09-20,Saturday,שבת,5
3,3,14,M. Tel Aviv,0:0,M. Petah Tikva,2008/09,2008,20/09/08,5:15 PM,2008-09-20,Saturday,שבת,5
3,3,15,H. Petah Tikva,2:1,FC Ashdod,2008/09,2008,20/09/08,7:00 PM,2008-09-20,Saturday,שבת,5
3,3,16,Hakoah Amidar,2:4,B. Jerusalem,2008/09,2008,20/09/08,7:30 PM,2008-09-20,Saturday,שבת,5
3,3,17,Maccabi Haifa,1:0,Bnei Yehuda,2008/09,2008,21/09/08,12:00 AM,2008-09-21,Sunday,יום ראשון,6
3,3,18,Kiryat Shmona,0:0,Hapoel Tel Aviv,2008/09,2008,22/09/08,12:00 AM,2008-09-22,Monday,יום שני,0
4,4,19,Bnei Yehuda,0:1,Kiryat Shmona,2008/09,2008,27/09/08,3:00 PM,2008-09-27,Saturday,שבת,5
4,4,20,Bnei Sakhnin,2:3,M. Tel Aviv,2008/09,2008,27/09/08,7:10 PM,2008-09-27,Saturday,שבת,5
4,4,21,Maccabi Netanya,2:1,FC Ashdod,2008/09,2008,27/09/08,7:30 PM,2008-09-27,Saturday,שבת,5
