season,season_year,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2022/23,2022,Maccabi Haifa,HBS,2,0,2,H,3,0
2022/23,2022,Maccabi Haifa,MTA,2,0,2,H,3,0
2022/23,2022,Maccabi Haifa,MNE,4,1,3,H,3,0
2022/23,2022,Maccabi Haifa,HJE,2,1,1,H,3,0
2022/23,2022,Maccabi Haifa,ASH,3,1,2,H,3,0
2022/23,2022,Maccabi Haifa,BEI,2,1,1,H,3,0
2022/23,2022,Maccabi Haifa,HHA,4,1,3,H,3,0
2022/23,2022,Maccabi Haifa,BnS,3,1,2,H,3,0
2022/23,2022,Maccabi Haifa,HAH,1,0,1,H,3,0
2022/23,2022,Maccabi Haifa,HTA,5,2,3,H,3,0
2022/23,2022,Maccabi Haifa,IKS,2,0,2,H,3,0
2022/23,2022,Maccabi Haifa,MBR,0,0,0,D,1,1
2022/23,2022,Maccabi Haifa,SNZ,3,1,2,H,3,0
2022/23,2022,Hapoel Be'er Sheva,MHA,1,2,-1,A,0,3
2022/23,2022,Hapoel Be'er Sheva,MTA,2,0,2,H,3,0
2022/23,2022,Hapoel Be'er Sheva,MNE,2,2,0,D,1,1
2022/23,2022,Hapoel Be'er Sheva,HJE,0,0,0,D,1,1
2022/23,2022,Hapoel Be'er Sheva,ASH,1,2,-1,A,0,3
2022/23,2022,Hapoel Be'er Sheva,BEI,3,2,1,H,3,0
2022/23,2022,Hapoel Be'er Sheva,HHA,2,2,0,D,1,1
2022/23,2022,Hapoel Be'er Sheva,BnS,1,0,1,H,3,0
2022/23,2022,Hapoel Be'er Sheva,HAH,3,0,3,H,3,0
2022/23,2022,Hapoel Be'er Sheva,HTA,6,0,6,H,3,0
2022/23,2022,Hapoel Be'er Sheva,IKS,2,1,1,H,3,0
2022/23,2022,Hapoel Be'er Sheva,MBR,2,0,2,H,3,0
2022/23,2022,Hapoel Be'er Sheva,SNZ,1,1,0,D,1,1
2022/23,2022,Maccabi Tel Aviv,MHA,3,0,3,H,3,0
2022/23,2022,Maccabi Tel Aviv,HBS,1,0,1,H,3,0
2022/23,2022,Maccabi Tel Aviv,MNE,3,0,3,H,3,0
2022/23,2022,Maccabi Tel Aviv,HJE,1,2,-1,A,0,3
2022/23,2022,Maccabi Tel Aviv,ASH,3,0,3,H,3,0
2022/23,2022,Maccabi Tel Aviv,BEI,4,0,4,H,3,0
2022/23,2022,Maccabi Tel Aviv,HHA,1,0,1,H,3,0
2022/23,2022,Maccabi Tel Aviv,BnS,1,1,0,D,1,1
2022/23,2022,Maccabi Tel Aviv,HAH,5,0,5,H,3,0
2022/23,2022,Maccabi Tel Aviv,HTA,3,0,3,H,3,0
2022/23,2022,Maccabi Tel Aviv,IKS,3,1,2,H,3,0
2022/23,2022,Maccabi Tel Aviv,MBR,5,0,5,H,3,0
2022/23,2022,Maccabi Tel Aviv,SNZ,1,1,0,D,1,1
2022/23,2022,Maccabi Netanya,MHA,0,2,-2,A,0,3
2022/23,2022,Maccabi Netanya,HBS,1,2,-1,A,0,3
2022/23,2022,Maccabi Netanya,MTA,2,1,1,H,3,0
2022/23,2022,Maccabi Netanya,HJE,0,2,-2,A,0,3
2022/23,2022,Maccabi Netanya,ASH,0,2,-2,A,0,3
2022/23,2022,Maccabi Netanya,BEI,4,1,3,H,3,0
2022/23,2022,Maccabi Netanya,HHA,1,0,1,H,3,0
2022/23,2022,Maccabi Netanya,BnS,0,0,0,D,1,1
2022/23,2022,Maccabi Netanya,HAH,1,0,1,H,3,0
2022/23,2022,Maccabi Netanya,HTA,0,2,-2,A,0,3
2022/23,2022,Maccabi Netanya,IKS,1,0,1,H,3,0
2022/23,2022,Maccabi Netanya,MBR,2,1,1,H,3,0
2022/23,2022,Maccabi Netanya,SNZ,3,0,3,H,3,0
2022/23,2022,Hapoel Jerusalem,MHA,3,0,3,H,3,0
2022/23,2022,Hapoel Jerusalem,HBS,1,4,-3,A,0,3
2022/23,2022,Hapoel Jerusalem,MTA,0,3,-3,A,0,3
2022/23,2022,Hapoel Jerusalem,MNE,0,2,-2,A,0,3
2022/23,2022,Hapoel Jerusalem,ASH,3,0,3,H,3,0
2022/23,2022,Hapoel Jerusalem,BEI,1,1,0,D,1,1
2022/23,2022,Hapoel Jerusalem,HHA,2,2,0,D,1,1
2022/23,2022,Hapoel Jerusalem,BnS,1,2,-1,A,0,3
2022/23,2022,Hapoel Jerusalem,HAH,1,1,0,D,1,1
2022/23,2022,Hapoel Jerusalem,HTA,0,0,0,D,1,1
2022/23,2022,Hapoel Jerusalem,IKS,1,1,0,D,1,1
2022/23,2022,Hapoel Jerusalem,MBR,0,1,-1,A,0,3
2022/23,2022,Hapoel Jerusalem,SNZ,1,0,1,H,3,0
2022/23,2022,Ashdod,MHA,3,1,2,H,3,0
2022/23,2022,Ashdod,HBS,0,1,-1,A,0,3
2022/23,2022,Ashdod,MTA,0,0,0,D,1,1
2022/23,2022,Ashdod,MNE,2,3,-1,A,0,3
2022/23,2022,Ashdod,HJE,1,1,0,D,1,1
2022/23,2022,Ashdod,BEI,0,2,-2,A,0,3
2022/23,2022,Ashdod,HHA,4,0,4,H,3,0
2022/23,2022,Ashdod,BnS,1,1,0,D,1,1
2022/23,2022,Ashdod,HAH,1,1,0,D,1,1
2022/23,2022,Ashdod,HTA,1,0,1,H,3,0
