round,home,score,away,season,season_year
1,H. Jerusalem,1:2,FC Ashdod,2025/26,2025
1,Hapoel Tel Aviv,2:1,Kiryat Shmona,2025/26,2025
1,Ironi Tiberias,1:0,Hapoel Haifa,2025/26,2025
1,Maccabi Haifa,4:0,M. Bnei Reineh,2025/26,2025
1,Maccabi Netanya,2:4,H. Beer Sheva,2025/26,2025
1,Bnei Sakhnin,1:2,B. Jerusalem,2025/26,2025
1,H. Petah Tikva,0:4,M. Tel Aviv,2025/26,2025
2,Kiryat Shmona,0:0,H. Petah Tikva,2025/26,2025
2,M. Bnei Reineh,2:2,Hapoel Tel Aviv,2025/26,2025
2,Hapoel Haifa,2:1,H. Jerusalem,2025/26,2025
2,FC Ashdod,1:2,Bnei Sakhnin,2025/26,2025
2,H. Beer Sheva,7:0,Ironi Tiberias,2025/26,2025
2,M. Tel Aviv,4:0,Maccabi Netanya,2025/26,2025
2,B. Jerusalem,0:0,Maccabi Haifa,2025/26,2025
3,H. Petah Tikva,3:1,Maccabi Netanya,2025/26,2025
3,Bnei Sakhnin,0:2,Hapoel Haifa,2025/26,2025
3,Ironi Tiberias,1:4,M. Tel Aviv,2025/26,2025
3,Kiryat Shmona,3:1,M. Bnei Reineh,2025/26,2025
3,H. Jerusalem,1:5,H. Beer Sheva,2025/26,2025
3,Maccabi Haifa,5:1,FC Ashdod,2025/26,2025
3,Hapoel Tel Aviv,3:2,B. Jerusalem,2025/26,2025
4,M. Bnei Reineh,1:6,H. Petah Tikva,2025/26,2025
4,FC Ashdod,2:6,Hapoel Tel Aviv,2025/26,2025
4,B. Jerusalem,2:1,Kiryat Shmona,2025/26,2025
4,M. Tel Aviv,2:1,H. Jerusalem,2025/26,2025
4,Maccabi Netanya,5:2,Ironi Tiberias,2025/26,2025
4,H. Beer Sheva,3:1,Bnei Sakhnin,2025/26,2025
4,Hapoel Haifa,1:1,Maccabi Haifa,2025/26,2025
5,H. Jerusalem,1:2,Maccabi Netanya,2025/26,2025
5,H. Petah Tikva,0:2,Ironi Tiberias,2025/26,2025
5,Hapoel Tel Aviv,1:0,Hapoel Haifa,2025/26,2025
5,Kiryat Shmona,1:2,FC Ashdod,2025/26,2025
5,M. Bnei Reineh,1:3,B. Jerusalem,2025/26,2025
5,Bnei Sakhnin,0:0,M. Tel Aviv,2025/26,2025
5,Maccabi Haifa,0:1,H. Beer Sheva,2025/26,2025
6,Hapoel Haifa,0:0,Kiryat Shmona,2025/26,2025
6,Ironi Tiberias,1:0,H. Jerusalem,2025/26,2025
6,FC Ashdod,2:0,M. Bnei Reineh,2025/26,2025
6,B. Jerusalem,5:2,H. Petah Tikva,2025/26,2025
6,H. Beer Sheva,2:1,Hapoel Tel Aviv,2025/26,2025
6,Maccabi Netanya,1:2,Bnei Sakhnin,2025/26,2025
6,M. Tel Aviv,1:1,Maccabi Haifa,2025/26,2025
7,H. Petah Tikva,0:0,H. Jerusalem,2025/26,2025
7,Bnei Sakhnin,2:0,Ironi Tiberias,2025/26,2025
7,Kiryat Shmona,1:0,H. Beer Sheva,2025/26,2025
7,M. Bnei Reineh,1:2,Hapoel Haifa,2025/26,2025
7,Maccabi Haifa,2:3,Maccabi Netanya,2025/26,2025
7,Hapoel Tel Aviv,0:3,M. Tel Aviv,2025/26,2025
7,B. Jerusalem,0:0,FC Ashdod,2025/26,2025
8,FC Ashdod,1:1,H. Petah Tikva,2025/26,2025
8,Hapoel Haifa,2:3,B. Jerusalem,2025/26,2025
8,Ironi Tiberias,1:1,Maccabi Haifa,2025/26,2025
8,H. Jerusalem,0:0,Bnei Sakhnin,2025/26,2025
8,Maccabi Netanya,2:0,Hapoel Tel Aviv,2025/26,2025
8,H. Beer Sheva,1:0,M. Bnei Reineh,2025/26,2025
8,M. Tel Aviv,3:1,Kiryat Shmona,2025/26,2025
9,Maccabi Haifa,2:2,H. Jerusalem,2025/26,2025
9,Hapoel Tel Aviv,2:0,Ironi Tiberias,2025/26,2025
9,H. Petah Tikva,2:2,Bnei Sakhnin,2025/26,2025
9,FC Ashdod,4:1,Hapoel Haifa,2025/26,2025
9,M. Bnei Reineh,0:2,M. Tel Aviv,2025/26,2025
9,Kiryat Shmona,1:2,Maccabi Netanya,2025/26,2025
9,B. Jerusalem,0:1,H. Beer Sheva,2025/26,2025
10,H. Jerusalem,0:0,Hapoel Tel Aviv,2025/26,2025
10,Bnei Sakhnin,3:3,Maccabi Haifa,2025/26,2025
10,Maccabi Netanya,2:1,M. Bnei Reineh,2025/26,2025
10,Ironi Tiberias,2:3,Kiryat Shmona,2025/26,2025
10,H. Beer Sheva,2:2,FC Ashdod,2025/26,2025
10,Hapoel Haifa,2:2,H. Petah Tikva,2025/26,2025
10,M. Tel Aviv,2:6,B. Jerusalem,2025/26,2025
11,Hapoel Haifa,3:4,H. Beer Sheva,2025/26,2025
