season,season_year,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2013/14,2013,championship,Bnei Sakhnin,Hapoel Be'er Sheva,0,0,0,D,1,1
2013/14,2013,championship,Bnei Sakhnin,Hapoel Tel Aviv,1,3,-2,A,0,3
2013/14,2013,championship,Bnei Sakhnin,Ironi Kiryat Shmona,1,4,-3,A,0,3
2013/14,2013,championship,Bnei Sakhnin,Maccabi Haifa,0,2,-2,A,0,3
2013/14,2013,championship,Bnei Sakhnin,Maccabi Tel Aviv,2,1,1,H,3,0
2013/14,2013,championship,Hapoel Be'er Sheva,Bnei Sakhnin,2,0,2,H,3,0
2013/14,2013,championship,Hapoel Be'er Sheva,Hapoel Tel Aviv,1,2,-1,A,0,3
2013/14,2013,championship,Hapoel Be'er Sheva,Ironi Kiryat Shmona,0,2,-2,A,0,3
2013/14,2013,championship,Hapoel Be'er Sheva,Maccabi Haifa,1,1,0,D,1,1
2013/14,2013,championship,Hapoel Be'er Sheva,Maccabi Tel Aviv,1,2,-1,A,0,3
2013/14,2013,championship,Hapoel Tel Aviv,Bnei Sakhnin,3,0,3,H,3,0
2013/14,2013,championship,Hapoel Tel Aviv,Hapoel Be'er Sheva,1,2,-1,A,0,3
2013/14,2013,championship,Hapoel Tel Aviv,Ironi Kiryat Shmona,4,2,2,H,3,0
2013/14,2013,championship,Hapoel Tel Aviv,Maccabi Haifa,4,0,4,H,3,0
2013/14,2013,championship,Hapoel Tel Aviv,Maccabi Tel Aviv,3,1,2,H,3,0
2013/14,2013,championship,Ironi Kiryat Shmona,Bnei Sakhnin,2,0,2,H,3,0
2013/14,2013,championship,Ironi Kiryat Shmona,Hapoel Be'er Sheva,3,0,3,H,3,0
2013/14,2013,championship,Ironi Kiryat Shmona,Hapoel Tel Aviv,1,1,0,D,1,1
2013/14,2013,championship,Ironi Kiryat Shmona,Maccabi Haifa,1,0,1,H,3,0
2013/14,2013,championship,Ironi Kiryat Shmona,Maccabi Tel Aviv,2,2,0,D,1,1
2013/14,2013,championship,Maccabi Haifa,Bnei Sakhnin,1,2,-1,A,0,3
2013/14,2013,championship,Maccabi Haifa,Hapoel Be'er Sheva,2,1,1,H,3,0
2013/14,2013,championship,Maccabi Haifa,Hapoel Tel Aviv,1,1,0,D,1,1
2013/14,2013,championship,Maccabi Haifa,Ironi Kiryat Shmona,1,3,-2,A,0,3
2013/14,2013,championship,Maccabi Haifa,Maccabi Tel Aviv,2,2,0,D,1,1
2013/14,2013,championship,Maccabi Tel Aviv,Bnei Sakhnin,4,1,3,H,3,0
2013/14,2013,championship,Maccabi Tel Aviv,Hapoel Be'er Sheva,2,0,2,H,3,0
2013/14,2013,championship,Maccabi Tel Aviv,Hapoel Tel Aviv,0,0,0,D,1,1
2013/14,2013,championship,Maccabi Tel Aviv,Ironi Kiryat Shmona,3,1,2,H,3,0
2013/14,2013,championship,Maccabi Tel Aviv,Maccabi Haifa,1,0,1,H,3,0
