season,season_year,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2022/23,2022,relegation,Hapoel Haifa,Bnei Sakhnin,2,2,0,D,1,1
2022/23,2022,relegation,Hapoel Haifa,Hapoel Tel Aviv,1,0,1,H,3,0
2022/23,2022,relegation,Hapoel Haifa,Ironi Kiryat Shmona,1,1,0,D,1,1
2022/23,2022,relegation,Hapoel Haifa,Sektzia Ness Ziona,0,1,-1,A,0,3
2022/23,2022,relegation,Beitar Jerusalem,Hapoel Haifa,2,0,2,H,3,0
2022/23,2022,relegation,Beitar Jerusalem,Hapoel Tel Aviv,2,1,1,H,3,0
2022/23,2022,relegation,Beitar Jerusalem,Maccabi Bnei Reineh,0,1,-1,A,0,3
2022/23,2022,relegation,Beitar Jerusalem,Hapoel Hadera,2,1,1,H,3,0
2022/23,2022,relegation,Bnei Sakhnin,Beitar Jerusalem,4,3,1,H,3,0
2022/23,2022,relegation,Bnei Sakhnin,Hapoel Tel Aviv,0,1,-1,A,0,3
2022/23,2022,relegation,Bnei Sakhnin,Maccabi Bnei Reineh,2,2,0,D,1,1
2022/23,2022,relegation,Bnei Sakhnin,Hapoel Hadera,2,3,-1,A,0,3
2022/23,2022,relegation,Hapoel Tel Aviv,Maccabi Bnei Reineh,1,2,-1,A,0,3
2022/23,2022,relegation,Hapoel Tel Aviv,Ironi Kiryat Shmona,2,2,0,D,1,1
2022/23,2022,relegation,Hapoel Tel Aviv,Sektzia Ness Ziona,2,1,1,H,3,0
2022/23,2022,relegation,Maccabi Bnei Reineh,Hapoel Haifa,0,4,-4,A,0,3
2022/23,2022,relegation,Maccabi Bnei Reineh,Hapoel Hadera,1,1,0,D,1,1
2022/23,2022,relegation,Maccabi Bnei Reineh,Ironi Kiryat Shmona,1,3,-2,A,0,3
2022/23,2022,relegation,Hapoel Hadera,Hapoel Haifa,1,2,-1,A,0,3
2022/23,2022,relegation,Hapoel Hadera,Hapoel Tel Aviv,1,2,-1,A,0,3
2022/23,2022,relegation,Hapoel Hadera,Ironi Kiryat Shmona,1,1,0,D,1,1
2022/23,2022,relegation,Hapoel Hadera,Sektzia Ness Ziona,1,2,-1,A,0,3
2022/23,2022,relegation,Ironi Kiryat Shmona,Beitar Jerusalem,3,2,1,H,3,0
2022/23,2022,relegation,Ironi Kiryat Shmona,Bnei Sakhnin,2,2,0,D,1,1
2022/23,2022,relegation,Ironi Kiryat Shmona,Sektzia Ness Ziona,1,1,0,D,1,1
2022/23,2022,relegation,Sektzia Ness Ziona,Beitar Jerusalem,1,3,-2,A,0,3
2022/23,2022,relegation,Sektzia Ness Ziona,Bnei Sakhnin,1,1,0,D,1,1
2022/23,2022,relegation,Sektzia Ness Ziona,Maccabi Bnei Reineh,1,2,-1,A,0,3
