season,season_year,round,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2009/10,2009,5,relegation,H. Akko,Hapoel Haifa,1,0,1,H,3,0
2009/10,2009,5,relegation,Hapoel Petah Tikva,H. Raanana,0,0,0,D,1,1
2009/10,2009,5,relegation,M. Nazareth,Hap. Ramat Gan,0,7,-7,A,0,3
2009/10,2009,4,relegation,Hapoel Haifa,Hapoel Petah Tikva,1,2,-1,A,0,3
2009/10,2009,4,relegation,Hap. Ramat Gan,H. Akko,0,0,0,D,1,1
2009/10,2009,4,relegation,H. Raanana,M. Nazareth,2,0,2,H,3,0
2009/10,2009,3,relegation,H. Akko,M. Nazareth,3,1,2,H,3,0
2009/10,2009,3,relegation,Hapoel Haifa,H. Raanana,1,0,1,H,3,0
2009/10,2009,3,relegation,Hapoel Petah Tikva,Hap. Ramat Gan,2,1,1,H,3,0
2009/10,2009,2,relegation,Hap. Ramat Gan,Hapoel Haifa,0,1,-1,A,0,3
2009/10,2009,2,relegation,H. Raanana,H. Akko,4,0,4,H,3,0
2009/10,2009,2,relegation,M. Nazareth,Hapoel Petah Tikva,3,0,3,H,3,0
2009/10,2009,1,relegation,Hapoel Haifa,M. Nazareth,2,2,0,D,1,1
2009/10,2009,1,relegation,Hapoel Petah Tikva,H. Akko,1,2,-1,A,0,3
2009/10,2009,1,relegation,Hap. Ramat Gan,H. Raanana,0,0,0,D,1,1
2010/11,2010,35,relegation,Ashkelon,Hapoel Petah Tikva,0,3,-3,A,0,3
2010/11,2010,35,relegation,Sakhnin,Beitar Jerusalem,1,0,1,H,3,0
2010/11,2010,35,relegation,SC Ashdod,Hap. Ramat Gan,1,0,1,H,3,0
2010/11,2010,34,relegation,Beitar Jerusalem,Ashkelon,0,1,-1,A,0,3
2010/11,2010,34,relegation,Hapoel Petah Tikva,SC Ashdod,1,1,0,D,1,1
2010/11,2010,34,relegation,Hap. Ramat Gan,Sakhnin,1,2,-1,A,0,3
2010/11,2010,33,relegation,Ashkelon,Sakhnin,2,1,1,H,3,0
