Round,Home,Score,Away,Season,Season_year,Stage,HomeGoals,AwayGoals,MatchURL
1,Hapoel Beer Sheva,3:0,Hapoel Petah Tikva,2025/26,2025,Championship Round,3,0,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-petah-tikva/index/spielbericht/4865111
1,Beitar Jerusalem,3:0,Maccabi Haifa,2025/26,2025,Championship Round,3,0,https://www.transfermarkt.com/beitar-jerusalem_maccabi-haifa/index/spielbericht/4865112
1,Maccabi Tel Aviv,1:0,Hapoel Tel Aviv,2025/26,2025,Championship Round,1,0,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-tel-aviv/index/spielbericht/4865113
2,Hapoel Petah Tikva,0:1,Hapoel Tel Aviv,2025/26,2025,Championship Round,0,1,https://www.transfermarkt.com/hapoel-petah-tikva_hapoel-tel-aviv/index/spielbericht/4865108
2,Maccabi Haifa,1:3,Maccabi Tel Aviv,2025/26,2025,Championship Round,1,3,https://www.transfermarkt.com/maccabi-haifa_maccabi-tel-aviv/index/spielbericht/4865109
2,Hapoel Beer Sheva,2:2,Beitar Jerusalem,2025/26,2025,Championship Round,2,2,https://www.transfermarkt.com/hapoel-beer-sheva_beitar-jerusalem/index/spielbericht/4865110
3,Maccabi Tel Aviv,1:0,Hapoel Beer Sheva,2025/26,2025,Championship Round,1,0,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/4865105
3,Beitar Jerusalem,3:1,Hapoel Petah Tikva,2025/26,2025,Championship Round,3,1,https://www.transfermarkt.com/beitar-jerusalem_hapoel-petah-tikva/index/spielbericht/4865106
3,Hapoel Tel Aviv,4:0,Maccabi Haifa,2025/26,2025,Championship Round,4,0,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-haifa/index/spielbericht/4865107
4,Hapoel Petah Tikva,1:2,Maccabi Haifa,2025/26,2025,Championship Round,1,2,https://www.transfermarkt.com/hapoel-petah-tikva_maccabi-haifa/index/spielbericht/4865114
4,Beitar Jerusalem,4:2,Maccabi Tel Aviv,2025/26,2025,Championship Round,4,2,https://www.transfermarkt.com/beitar-jerusalem_maccabi-tel-aviv/index/spielbericht/4865116
4,Hapoel Beer Sheva,2:0,Hapoel Tel Aviv,2025/26,2025,Championship Round,2,0,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-tel-aviv/index/spielbericht/4865115
5,Maccabi Tel Aviv,4:0,Hapoel Petah Tikva,2025/26,2025,Championship Round,4,0,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-petah-tikva/index/spielbericht/4865102
5,Hapoel Tel Aviv,0:1,Beitar Jerusalem,2025/26,2025,Championship Round,0,1,https://www.transfermarkt.com/hapoel-tel-aviv_beitar-jerusalem/index/spielbericht/4865103
5,Maccabi Haifa,0:1,Hapoel Beer Sheva,2025/26,2025,Championship Round,0,1,https://www.transfermarkt.com/maccabi-haifa_hapoel-beer-sheva/index/spielbericht/4865104
6,Hapoel Tel Aviv,1:1,Maccabi Tel Aviv,2025/26,2025,Championship Round,1,1,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-tel-aviv/index/spielbericht/4865098
6,Maccabi Haifa,3:0,Beitar Jerusalem,2025/26,2025,Championship Round,3,0,https://www.transfermarkt.com/maccabi-haifa_beitar-jerusalem/index/spielbericht/4865097
6,Hapoel Petah Tikva,2:4,Hapoel Beer Sheva,2025/26,2025,Championship Round,2,4,https://www.transfermarkt.com/hapoel-petah-tikva_hapoel-beer-sheva/index/spielbericht/4865096
7,Hapoel Tel Aviv,1:0,Hapoel Petah Tikva,2025/26,2025,Championship Round,1,0,https://www.transfermarkt.com/hapoel-tel-aviv_hapoel-petah-tikva/index/spielbericht/4865093
7,Beitar Jerusalem,1:1,Hapoel Beer Sheva,2025/26,2025,Championship Round,1,1,https://www.transfermarkt.com/beitar-jerusalem_hapoel-beer-sheva/index/spielbericht/4865094
7,Maccabi Tel Aviv,3:0,Maccabi Haifa,2025/26,2025,Championship Round,3,0,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/4865095
8,Hapoel Tel Aviv,0:2,Hapoel Beer Sheva,2025/26,2025,Championship Round,0,2,https://www.transfermarkt.com/hapoel-tel-aviv_hapoel-beer-sheva/index/spielbericht/4865100
8,Maccabi Haifa,1:1,Hapoel Petah Tikva,2025/26,2025,Championship Round,1,1,https://www.transfermarkt.com/maccabi-haifa_hapoel-petah-tikva/index/spielbericht/4865099
8,Maccabi Tel Aviv,1:2,Beitar Jerusalem,2025/26,2025,Championship Round,1,2,https://www.transfermarkt.com/maccabi-tel-aviv_beitar-jerusalem/index/spielbericht/4865101
9,Hapoel Petah Tikva,0:0,Beitar Jerusalem,2025/26,2025,Championship Round,0,0,https://www.transfermarkt.com/hapoel-petah-tikva_beitar-jerusalem/index/spielbericht/4865117
9,Hapoel Beer Sheva,4:2,Maccabi Tel Aviv,2025/26,2025,Championship Round,4,2,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/4865118
9,Maccabi Haifa,4:1,Hapoel Tel Aviv,2025/26,2025,Championship Round,4,1,https://www.transfermarkt.com/maccabi-haifa_hapoel-tel-aviv/index/spielbericht/4865119
10,Hapoel Petah Tikva,2:2,Maccabi Tel Aviv,2025/26,2025,Championship Round,2,2,https://www.transfermarkt.com/hapoel-petah-tikva_maccabi-tel-aviv/index/spielbericht/4865120
10,Beitar Jerusalem,1:1,Hapoel Tel Aviv,2025/26,2025,Championship Round,1,1,https://www.transfermarkt.com/beitar-jerusalem_hapoel-tel-aviv/index/spielbericht/4865121
10,Hapoel Beer Sheva,2:5,Maccabi Haifa,2025/26,2025,Championship Round,2,5,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-haifa/index/spielbericht/4865122
