Round,Home,Score,Away,Season,Season_year,Stage,HomeGoals,AwayGoals,MatchURL
1,Maccabi Netanya,2:1,FC Ashdod,2025/26,2025,Relegation Round,2,1,https://www.transfermarkt.com/maccabi-netanya_fc-ashdod/index/spielbericht/4865138
1,Hapoel Haifa,2:3,Maccabi Bnei Reineh,2025/26,2025,Relegation Round,2,3,https://www.transfermarkt.com/hapoel-haifa_maccabi-bnei-reineh/index/spielbericht/4865139
1,Ihud Bnei Sakhnin,0:0,Ironi Tiberias,2025/26,2025,Relegation Round,0,0,https://www.transfermarkt.com/ihud-bnei-sakhnin_ironi-tiberias/index/spielbericht/4865140
1,Ironi Kiryat Shmona,3:1,Hapoel Jerusalem,2025/26,2025,Relegation Round,3,1,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-jerusalem/index/spielbericht/4865141
2,FC Ashdod,1:2,Maccabi Bnei Reineh,2025/26,2025,Relegation Round,1,2,https://www.transfermarkt.com/fc-ashdod_maccabi-bnei-reineh/index/spielbericht/4865142
2,Maccabi Netanya,3:0,Ihud Bnei Sakhnin,2025/26,2025,Relegation Round,3,0,https://www.transfermarkt.com/maccabi-netanya_ihud-bnei-sakhnin/index/spielbericht/4865143
2,Ironi Tiberias,2:0,Ironi Kiryat Shmona,2025/26,2025,Relegation Round,2,0,https://www.transfermarkt.com/ironi-tiberias_ironi-kiryat-shmona/index/spielbericht/4865145
2,Hapoel Jerusalem,0:0,Hapoel Haifa,2025/26,2025,Relegation Round,0,0,https://www.transfermarkt.com/hapoel-jerusalem_hapoel-haifa/index/spielbericht/4865144
3,Ihud Bnei Sakhnin,1:1,FC Ashdod,2025/26,2025,Relegation Round,1,1,https://www.transfermarkt.com/ihud-bnei-sakhnin_fc-ashdod/index/spielbericht/4865158
3,Ironi Kiryat Shmona,1:0,Maccabi Netanya,2025/26,2025,Relegation Round,1,0,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-netanya/index/spielbericht/4865161
3,Hapoel Haifa,1:1,Ironi Tiberias,2025/26,2025,Relegation Round,1,1,https://www.transfermarkt.com/hapoel-haifa_ironi-tiberias/index/spielbericht/4865159
3,Maccabi Bnei Reineh,0:1,Hapoel Jerusalem,2025/26,2025,Relegation Round,0,1,https://www.transfermarkt.com/maccabi-bnei-reineh_hapoel-jerusalem/index/spielbericht/4865160
4,Ironi Kiryat Shmona,2:0,Hapoel Haifa,2025/26,2025,Relegation Round,2,0,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-haifa/index/spielbericht/4865154
4,FC Ashdod,0:3,Ironi Tiberias,2025/26,2025,Relegation Round,0,3,https://www.transfermarkt.com/fc-ashdod_ironi-tiberias/index/spielbericht/4865155
4,Maccabi Netanya,1:0,Hapoel Jerusalem,2025/26,2025,Relegation Round,1,0,https://www.transfermarkt.com/maccabi-netanya_hapoel-jerusalem/index/spielbericht/4865157
4,Ihud Bnei Sakhnin,0:2,Maccabi Bnei Reineh,2025/26,2025,Relegation Round,0,2,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-bnei-reineh/index/spielbericht/4865156
5,Maccabi Bnei Reineh,1:1,Ironi Kiryat Shmona,2025/26,2025,Relegation Round,1,1,https://www.transfermarkt.com/maccabi-bnei-reineh_ironi-kiryat-shmona/index/spielbericht/4865146
5,Hapoel Jerusalem,1:0,Ihud Bnei Sakhnin,2025/26,2025,Relegation Round,1,0,https://www.transfermarkt.com/hapoel-jerusalem_ihud-bnei-sakhnin/index/spielbericht/4865148
5,Ironi Tiberias,4:3,Maccabi Netanya,2025/26,2025,Relegation Round,4,3,https://www.transfermarkt.com/ironi-tiberias_maccabi-netanya/index/spielbericht/4865149
5,Hapoel Haifa,1:0,FC Ashdod,2025/26,2025,Relegation Round,1,0,https://www.transfermarkt.com/hapoel-haifa_fc-ashdod/index/spielbericht/4865147
6,Ironi Tiberias,1:0,Maccabi Bnei Reineh,2025/26,2025,Relegation Round,1,0,https://www.transfermarkt.com/ironi-tiberias_maccabi-bnei-reineh/index/spielbericht/4865152
6,FC Ashdod,0:1,Hapoel Jerusalem,2025/26,2025,Relegation Round,0,1,https://www.transfermarkt.com/fc-ashdod_hapoel-jerusalem/index/spielbericht/4865153
6,Maccabi Netanya,1:1,Hapoel Haifa,2025/26,2025,Relegation Round,1,1,https://www.transfermarkt.com/maccabi-netanya_hapoel-haifa/index/spielbericht/4865151
6,Ihud Bnei Sakhnin,0:4,Ironi Kiryat Shmona,2025/26,2025,Relegation Round,0,4,https://www.transfermarkt.com/ihud-bnei-sakhnin_ironi-kiryat-shmona/index/spielbericht/4865150
7,Ironi Kiryat Shmona,2:3,FC Ashdod,2025/26,2025,Relegation Round,2,3,https://www.transfermarkt.com/ironi-kiryat-shmona_fc-ashdod/index/spielbericht/4865134
7,Hapoel Jerusalem,0:2,Ironi Tiberias,2025/26,2025,Relegation Round,0,2,https://www.transfermarkt.com/hapoel-jerusalem_ironi-tiberias/index/spielbericht/4865137
7,Hapoel Haifa,3:0,Ihud Bnei Sakhnin,2025/26,2025,Relegation Round,3,0,https://www.transfermarkt.com/hapoel-haifa_ihud-bnei-sakhnin/index/spielbericht/4865136
7,Maccabi Bnei Reineh,1:4,Maccabi Netanya,2025/26,2025,Relegation Round,1,4,https://www.transfermarkt.com/maccabi-bnei-reineh_maccabi-netanya/index/spielbericht/4865135
