season,total_matches,big_margin_matches,big_margin_pct,top_vs_bottom_count,top_vs_bottom_pct,same_tier_count,same_tier_pct,competitiveness_score,season_year
2006/07,198,23,11.62,1,14.29,2,28.57,12.95,2006
2007/08,198,26,13.13,4,57.14,2,28.57,35.14,2007
2008/09,198,17,8.59,0,0.0,0,0.0,4.29,2008
2009/10,240,38,15.83,0,0.0,1,50.0,7.92,2009
2010/11,240,37,15.42,2,50.0,0,0.0,32.71,2010
2011/12,240,34,14.17,1,25.0,2,50.0,19.58,2011
2012/13,182,27,14.84,0,0.0,0,0.0,7.42,2012
2013/14,182,21,11.54,0,0.0,3,60.0,5.77,2013
2014/15,182,23,12.64,2,33.33,2,33.33,22.99,2014
2015/16,182,22,12.09,0,0.0,0,0.0,6.04,2015
2016/17,182,22,12.09,1,33.33,0,0.0,22.71,2016
2017/18,182,22,12.09,1,33.33,1,33.33,22.71,2017
2018/19,182,25,13.74,1,33.33,0,0.0,23.53,2018
2019/20,182,35,19.23,0,0.0,1,33.33,9.62,2019
2020/21,182,22,12.09,2,40.0,0,0.0,26.04,2020
2021/22,182,22,12.09,0,0.0,1,100.0,6.04,2021
2022/23,182,30,16.48,3,42.86,0,0.0,29.67,2022
2023/24,182,30,16.48,3,60.0,0,0.0,38.24,2023
2024/25,182,30,16.48,1,33.33,1,33.33,24.91,2024
2025/26,74,13,17.57,2,20.0,3,30.0,18.78,2025
