season,Gini,interpretation,num_teams,max_points,min_points,point_gap
2006/07,0.16869918699186992,Competitive,12,67,19,48
2007/08,0.1278998778998779,Very Competitive,12,67,30,37
2008/09,0.16823308270676707,Competitive,12,67,27,40
2009/10,0.19786866359446997,Competitive,16,77,20,57
2010/11,0.18540396341463405,Competitive,16,70,12,58
2011/12,0.13562404287901986,Very Competitive,16,66,27,39
2012/13,0.15120967741935476,Competitive,14,59,24,35
2013/14,0.20485714285714285,Moderate,14,66,20,46
2014/15,0.15500289184499705,Competitive,14,56,22,34
2015/16,0.20510613884107864,Moderate,14,64,11,53
2016/17,0.19208296815658787,Competitive,14,59,18,41
2017/18,0.2311092101511263,Moderate,14,57,14,43
2018/19,0.15861561119293088,Competitive,14,66,21,45
2019/20,0.20887877063175875,Moderate,14,64,16,48
2020/21,0.16039349871685205,Competitive,14,59,22,37
2021/22,0.19825365015745788,Competitive,14,59,20,39
2022/23,0.19941690962099123,Competitive,14,62,17,45
2023/24,0.18904188181296622,Competitive,14,62,19,43
2024/25,0.1951810664385516,Competitive,14,60,20,40
2025/26,0.23469387755102034,Moderate,14,28,1,27
