season,round,home,away,score,goal_diff,home_position,away_position,home_tier,away_tier,match_type,home_goals,away_goals,winner_category
2006/07,6,M. Tel Aviv,Bnei Yehuda,4:0,4,11,8,Bottom,Middle,Bottom vs Middle,4,0,Bottom won (upset!)
2006/07,7,Hakoah Amidar,H. Petah Tikva,0:3,3,9,12,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2006/07,18,Maccabi Haifa,Maccabi Herzlya,0:4,4,5,11,Middle,Bottom,Bottom vs Middle,0,4,Bottom won (upset!)
2006/07,22,FC Ashdod,Hakoah Amidar,3:0,3,5,11,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2006/07,25,Bnei Yehuda,Maccabi Herzlya,1:4,3,9,11,Middle,Bottom,Bottom vs Middle,1,4,Bottom won (upset!)
2006/07,27,Maccabi Herzlya,Hakoah Amidar,5:0,5,10,11,Middle,Bottom,Bottom vs Middle,5,0,Middle won (expected)
2006/07,27,FC Ashdod,H. Petah Tikva,4:1,3,7,12,Middle,Bottom,Bottom vs Middle,4,1,Middle won (expected)
2006/07,29,Maccabi Haifa,H. Petah Tikva,6:1,5,5,12,Middle,Bottom,Bottom vs Middle,6,1,Middle won (expected)
2007/08,4,M. Tel Aviv,Maccabi Haifa,0:3,3,10,11,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2007/08,19,Bnei Yehuda,M. Tel Aviv,0:4,4,12,9,Bottom,Middle,Bottom vs Middle,0,4,Middle won (expected)
2007/08,23,M. Petah Tikva,FC Ashdod,0:3,3,6,11,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2007/08,32,Maccabi Haifa,Maccabi Herzlya,3:0,3,5,12,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2008/09,14,B. Jerusalem,Hakoah Amidar,3:0,3,7,12,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2009/10,4,M. Petah Tikva,H. Beer Sheva,3:0,3,13,9,Bottom,Middle,Bottom vs Middle,3,0,Bottom won (upset!)
2009/10,5,Maccabi Netanya,Hapoel Tel Aviv,0:3,3,14,8,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2009/10,6,Hapoel Raanana,M. Tel Aviv,0:3,3,15,6,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2009/10,9,M. Ahi Nazareth,H. Beer Sheva,1:4,3,11,7,Bottom,Middle,Bottom vs Middle,1,4,Middle won (expected)
2009/10,13,Bnei Sakhnin,Maccabi Netanya,0:3,3,13,8,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2009/10,25,Hapoel Acre,B. Jerusalem,0:3,3,14,6,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2009/10,26,Maccabi Netanya,M. Ahi Nazareth,5:0,5,9,15,Middle,Bottom,Bottom vs Middle,5,0,Middle won (expected)
2009/10,28,B. Jerusalem,M. Ahi Nazareth,5:0,5,5,15,Middle,Bottom,Bottom vs Middle,5,0,Middle won (expected)
2010/11,3,M. Tel Aviv,Bnei Sakhnin,4:0,4,8,14,Middle,Bottom,Bottom vs Middle,4,0,Middle won (expected)
2010/11,4,B. Jerusalem,H. Beer Sheva,5:1,4,16,7,Bottom,Middle,Bottom vs Middle,5,1,Bottom won (upset!)
2010/11,6,H. Petah Tikva,M. Petah Tikva,1:4,3,15,8,Bottom,Middle,Bottom vs Middle,1,4,Middle won (expected)
2010/11,14,Hapoel Acre,B. Jerusalem,3:0,3,7,12,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2010/11,15,M. Petah Tikva,Bnei Yehuda,3:0,3,6,11,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2010/11,17,Hapoel Acre,H. Petah Tikva,3:0,3,6,14,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2010/11,23,Maccabi Netanya,H. Ashkelon,3:0,3,7,14,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2010/11,23,M. Petah Tikva,H. Ramat Gan,4:1,3,6,16,Middle,Bottom,Bottom vs Middle,4,1,Middle won (expected)
