round,Maccabi Haifa,M. Tel Aviv,Hakoah Amidar,Hapoel Tel Aviv,M. Petah Tikva,Maccabi Netanya,Bnei Sakhnin,H. Petah Tikva,Kiryat Shmona,Bnei Yehuda,FC Ashdod,B. Jerusalem
1,1,2,3,3,5,5,7,7,7,10,11,12
2,2,3,6,7,3,1,9,10,11,8,5,12
3,2,3,9,6,3,1,12,5,10,11,7,8
4,2,3,10,5,4,1,12,7,6,11,9,8
5,2,3,10,7,4,1,11,6,5,12,8,9
6,1,4,10,7,3,2,12,5,6,11,8,9
7,1,5,11,4,3,2,10,6,7,12,9,8
8,1,7,12,4,3,2,11,5,6,10,8,9
9,2,6,10,4,3,1,11,7,8,11,5,9
10,1,8,11,4,3,2,10,5,9,12,7,6
11,1,8,12,3,4,2,11,7,9,10,5,6
12,1,8,12,3,4,2,11,5,10,9,6,7
13,1,9,12,3,5,2,11,4,10,8,6,7
14,1,8,12,3,6,2,11,7,10,9,4,5
15,1,9,12,3,6,2,10,8,11,7,4,5
16,1,9,12,3,4,2,11,8,10,7,6,5
17,1,8,12,2,5,3,11,9,10,6,7,4
18,1,8,12,3,6,2,10,9,11,5,7,4
19,1,7,12,2,5,3,10,9,11,4,8,6
20,1,8,12,3,5,2,10,9,11,6,7,4
21,1,9,12,2,6,3,11,8,10,5,7,4
22,1,9,12,2,6,3,11,8,10,5,7,4
23,1,8,12,2,7,3,10,9,11,5,6,4
24,1,8,12,2,7,3,10,9,11,5,6,4
25,1,8,12,2,7,3,10,9,11,5,6,4
26,1,7,11,2,6,4,10,9,12,5,8,3
27,2,6,11,1,7,4,10,9,12,5,8,3
28,1,6,11,2,7,4,10,9,12,5,8,3
29,2,6,11,1,7,4,10,9,12,5,8,3
30,1,7,11,2,6,4,9,10,12,5,8,3
31,1,6,12,2,7,4,10,9,11,5,8,3
32,1,6,12,2,8,4,10,9,11,5,7,3
33,1,6,11,2,7,4,9,10,12,5,8,3
