round,Maccabi Netanya,H. Ashkelon,Kiryat Shmona,FC Ashdod,Maccabi Haifa,H. Beer Sheva,Hapoel Haifa,Bnei Yehuda,H. Ramat Gan,Hapoel Acre,Hapoel Tel Aviv,M. Tel Aviv,M. Petah Tikva,H. Petah Tikva,Bnei Sakhnin,B. Jerusalem
1,1,2,3,4,5,5,5,8,8,10,11,11,11,14,15,16
2,3,10,4,5,2,8,1,6,12,11,7,8,15,13,14,16
3,2,10,3,8,4,7,1,9,13,12,6,5,11,14,15,16
4,5,6,1,10,2,12,4,11,8,14,9,3,7,15,16,13
5,5,6,1,12,3,9,4,13,11,10,7,2,8,15,16,14
6,4,8,1,12,2,10,7,9,13,11,5,3,6,15,16,14
7,5,7,1,12,3,10,7,11,14,9,4,2,6,15,16,13
8,5,11,2,10,1,12,8,9,14,7,4,3,6,15,16,13
9,6,12,3,8,4,11,7,10,15,5,2,1,8,13,16,14
10,7,12,1,9,2,11,8,10,15,5,3,4,6,14,16,13
11,7,12,1,10,3,9,8,11,15,4,2,5,6,14,16,13
12,10,13,1,8,2,6,11,9,16,5,3,4,7,14,15,12
13,11,13,3,9,1,6,8,10,16,7,2,4,5,14,15,12
14,9,13,3,10,1,8,7,11,16,5,2,4,6,14,15,12
15,10,14,4,8,1,9,7,12,16,5,2,3,6,13,15,11
16,10,13,4,7,1,8,9,12,16,6,2,3,5,14,15,11
17,10,13,4,8,1,9,7,12,16,5,2,3,6,14,15,11
18,10,13,4,7,2,8,9,11,16,6,1,3,5,14,15,12
19,10,13,4,7,1,9,8,12,16,5,2,3,6,14,15,11
20,11,13,4,7,2,9,8,10,16,6,1,3,5,15,14,12
21,9,13,4,10,1,8,7,11,16,5,2,3,6,14,15,12
22,7,14,4,11,1,9,8,10,16,5,2,3,6,13,15,12
23,7,14,4,11,1,10,8,9,16,6,2,3,5,13,15,12
24,8,14,4,11,2,10,9,7,16,6,1,3,5,13,15,12
25,9,15,4,11,1,10,7,6,16,8,2,3,5,13,14,12
26,9,15,4,12,1,10,8,6,16,7,2,3,5,13,14,11
27,7,15,4,12,1,10,9,8,16,6,2,3,5,13,14,11
28,8,14,4,11,1,10,9,5,16,7,2,3,6,13,15,12
29,6,15,4,11,1,12,8,5,16,9,2,3,7,13,14,10
30,6,14,4,12,1,11,7,5,16,9,2,3,8,13,15,10
