round,Maccabi Haifa,H Rishon leZion,M. Tel Aviv,FC Ashdod,Hapoel Acre,Kiryat Shmona,B. Jerusalem,Hapoel Tel Aviv,Hapoel Haifa,H. Beer Sheva,Bnei Yehuda,Ramat haSharon,Maccabi Netanya,M. Petah Tikva,Bnei Sakhnin,H. Petah Tikva
1,1,2,3,4,4,6,7,8,9,9,11,11,13,13,15,16
2,3,2,1,9,5,7,4,10,14,13,12,15,6,8,11,16
3,8,3,1,5,2,11,9,6,14,13,10,15,12,4,7,16
4,3,8,1,6,7,10,4,2,14,15,12,13,9,5,11,16
5,7,9,1,11,4,12,5,2,14,15,8,13,10,3,6,16
6,4,10,1,12,7,11,9,2,14,15,5,13,6,3,8,16
7,4,12,1,10,8,9,11,5,15,14,2,13,3,7,6,16
8,6,12,1,9,8,5,11,2,15,14,3,13,4,10,7,16
9,9,13,1,7,6,3,12,5,14,15,8,10,2,11,4,16
10,6,13,1,8,5,2,12,4,14,15,9,10,3,11,7,16
11,7,13,2,5,4,3,11,1,14,15,8,9,6,12,10,16
12,7,13,6,5,3,1,12,2,14,15,10,9,4,11,8,16
13,4,13,7,3,6,1,12,2,14,15,10,8,5,11,9,16
14,5,13,9,3,8,1,12,2,14,15,11,4,7,10,6,16
15,8,15,9,2,4,1,13,3,12,14,10,5,6,11,7,16
16,5,15,8,2,7,1,14,3,13,12,10,6,9,11,4,16
17,7,15,8,2,6,1,13,3,12,14,9,5,10,11,4,16
18,6,15,5,2,10,1,13,4,14,12,7,9,8,11,3,16
19,8,15,5,2,10,1,14,3,13,12,9,7,6,11,4,16
20,10,15,5,2,9,1,13,3,14,12,7,6,8,11,4,16
21,10,15,4,2,9,1,12,3,13,14,7,6,8,11,5,16
22,8,15,5,2,7,1,11,3,14,13,6,9,10,12,4,16
23,7,15,5,2,8,1,12,3,14,13,6,10,9,11,4,16
24,8,15,7,2,6,1,12,3,13,14,5,10,9,11,4,16
25,6,15,9,2,8,1,12,3,14,13,5,7,10,11,4,16
26,6,15,9,2,7,1,13,3,12,14,5,10,8,11,4,16
27,5,15,7,2,9,1,14,3,11,13,6,10,8,12,4,16
28,4,15,6,2,9,1,14,3,11,12,8,10,7,13,5,16
29,6,15,5,4,9,1,12,2,11,14,8,10,7,13,3,16
30,6,15,7,4,9,1,11,2,12,13,8,10,5,14,3,16
