round,Bnei Sakhnin,H. Beer Sheva,Hapoel Tel Aviv,M. Petah Tikva,Kiryat Shmona,Maccabi Haifa,Maccabi Netanya,Hapoel Hadera,Hapoel Haifa,H. Nof HaGalil,H. Jerusalem,FC Ashdod,M. Tel Aviv,B. Jerusalem
1,1,2,3,4,4,6,6,6,6,6,6,12,13,14
2,6,2,1,8,11,5,11,8,3,3,13,14,10,7
3,5,4,2,9,13,7,11,10,3,1,12,14,8,5
4,7,2,5,11,9,4,14,6,1,3,13,12,10,8
5,9,1,5,8,12,6,11,3,2,4,14,13,7,9
6,8,1,4,10,12,5,7,3,2,6,14,13,9,11
7,11,1,2,6,7,3,9,5,4,10,14,13,12,8
8,6,1,4,9,11,3,10,5,2,7,14,13,8,11
9,6,1,4,10,14,2,11,5,3,7,12,13,9,8
10,4,1,5,12,14,2,9,7,3,10,13,11,6,8
11,3,1,5,13,12,2,11,7,4,9,14,8,6,10
12,3,1,8,13,9,2,12,5,6,10,14,7,4,11
13,3,1,7,14,9,2,10,6,5,11,13,8,4,12
14,3,1,5,14,6,2,10,8,7,12,11,9,4,13
15,5,1,4,14,7,2,8,9,6,13,12,10,3,11
16,6,1,3,14,7,2,8,10,5,13,12,9,4,11
17,5,2,3,14,6,1,9,10,8,13,12,7,4,11
18,6,2,4,14,5,1,7,10,8,13,12,9,3,11
19,10,2,3,14,9,1,8,7,5,13,12,6,4,11
20,7,2,4,14,10,1,8,6,5,12,13,9,3,11
21,6,2,4,14,10,1,8,5,7,12,13,9,3,11
22,7,2,4,14,9,1,6,5,8,12,13,10,3,11
23,5,2,6,14,9,1,7,4,8,13,12,10,3,11
24,5,2,7,14,9,1,4,6,8,13,12,10,3,11
25,5,2,6,12,9,1,4,7,8,14,13,10,3,11
26,4,2,6,13,8,1,5,7,9,14,11,10,3,12
