season,stage,segment_label,team,prev_rank,new_rank
2015/16,regular,Regular: after round 2 vs after round 1,B. Jerusalem,8,10
2015/16,regular,Regular: after round 2 vs after round 1,Bnei Sakhnin,10,13
2015/16,regular,Regular: after round 2 vs after round 1,Bnei Yehuda,1,6
2015/16,regular,Regular: after round 2 vs after round 1,H. Beer Sheva,2,7
2015/16,regular,Regular: after round 2 vs after round 1,H. Kfar Saba,6,4
2015/16,regular,Regular: after round 2 vs after round 1,Hapoel Acre,11,8
2015/16,regular,Regular: after round 2 vs after round 1,Hapoel Haifa,4,9
2015/16,regular,Regular: after round 2 vs after round 1,Hapoel Raanana,7,3
2015/16,regular,Regular: after round 2 vs after round 1,Hapoel Tel Aviv,9,12
2015/16,regular,Regular: after round 2 vs after round 1,Kiryat Shmona,13,5
2015/16,regular,Regular: after round 2 vs after round 1,M. Petah Tikva,5,1
2015/16,regular,Regular: after round 2 vs after round 1,M. Tel Aviv,3,2
2015/16,regular,Regular: after round 2 vs after round 1,Maccabi Netanya,12,11
2015/16,regular,Regular: after round 3 vs after round 2,B. Jerusalem,10,9
2015/16,regular,Regular: after round 3 vs after round 2,Bnei Yehuda,6,10
2015/16,regular,Regular: after round 3 vs after round 2,H. Beer Sheva,7,3
2015/16,regular,Regular: after round 3 vs after round 2,H. Kfar Saba,4,7
2015/16,regular,Regular: after round 3 vs after round 2,Hapoel Acre,8,4
2015/16,regular,Regular: after round 3 vs after round 2,Hapoel Haifa,9,8
2015/16,regular,Regular: after round 3 vs after round 2,Hapoel Raanana,3,6
2015/16,regular,Regular: after round 4 vs after round 3,B. Jerusalem,9,12
2015/16,regular,Regular: after round 4 vs after round 3,Bnei Sakhnin,13,9
2015/16,regular,Regular: after round 4 vs after round 3,Bnei Yehuda,10,5
2015/16,regular,Regular: after round 4 vs after round 3,H. Beer Sheva,3,2
2015/16,regular,Regular: after round 4 vs after round 3,H. Kfar Saba,7,10
2015/16,regular,Regular: after round 4 vs after round 3,Hapoel Acre,4,6
2015/16,regular,Regular: after round 4 vs after round 3,Hapoel Haifa,8,11
2015/16,regular,Regular: after round 4 vs after round 3,Hapoel Raanana,6,3
2015/16,regular,Regular: after round 4 vs after round 3,Hapoel Tel Aviv,12,8
2015/16,regular,Regular: after round 4 vs after round 3,Kiryat Shmona,5,7
2015/16,regular,Regular: after round 4 vs after round 3,M. Tel Aviv,2,4
2015/16,regular,Regular: after round 4 vs after round 3,Maccabi Netanya,11,13
2015/16,regular,Regular: after round 5 vs after round 4,B. Jerusalem,12,10
2015/16,regular,Regular: after round 5 vs after round 4,Bnei Sakhnin,9,6
2015/16,regular,Regular: after round 5 vs after round 4,Bnei Yehuda,5,11
2015/16,regular,Regular: after round 5 vs after round 4,H. Beer Sheva,2,7
2015/16,regular,Regular: after round 5 vs after round 4,H. Kfar Saba,10,12
