season,total_relegation_zone_changes,unique_teams_ever_in_zone,avg_changes_per_round
2006/07,8,4,0.25
2007/08,10,7,0.3125
2008/09,13,6,0.40625
2009/10,12,7,0.35294117647058826
2010/11,11,6,0.3235294117647059
2011/12,5,6,0.1388888888888889
2012/13,12,7,0.375
2013/14,12,4,0.375
2014/15,17,7,0.53125
2015/16,13,8,0.40625
2016/17,8,6,0.25
2017/18,6,5,0.1875
2018/19,12,9,0.375
2019/20,10,5,0.3125
2020/21,13,6,0.40625
2021/22,15,8,0.46875
2022/23,21,6,0.65625
2023/24,11,6,0.34375
2024/25,2,4,0.3333333333333333
