season,season_year,day_of_week_en,matches,day_of_week_he,total_matches,share_pct
2006/07,2006,Monday,11,יום שני,198,5.555555555555555
2006/07,2006,Wednesday,1,יום רביעי,198,0.5050505050505051
2006/07,2006,Thursday,1,יום חמישי,198,0.5050505050505051
2006/07,2006,Friday,2,יום שישי,198,1.0101010101010102
2006/07,2006,Saturday,152,שבת,198,76.76767676767676
2006/07,2006,Sunday,31,יום ראשון,198,15.656565656565657
2007/08,2007,Monday,7,יום שני,198,3.535353535353535
2007/08,2007,Tuesday,2,יום שלישי,198,1.0101010101010102
2007/08,2007,Friday,1,יום שישי,198,0.5050505050505051
2007/08,2007,Saturday,159,שבת,198,80.3030303030303
2007/08,2007,Sunday,29,יום ראשון,198,14.646464646464647
2008/09,2008,Monday,28,יום שני,198,14.14141414141414
2008/09,2008,Friday,1,יום שישי,198,0.5050505050505051
2008/09,2008,Saturday,158,שבת,198,79.7979797979798
2008/09,2008,Sunday,11,יום ראשון,198,5.555555555555555
2009/10,2009,Monday,22,יום שני,240,9.166666666666666
2009/10,2009,Tuesday,1,יום שלישי,240,0.4166666666666667
2009/10,2009,Saturday,194,שבת,240,80.83333333333333
2009/10,2009,Sunday,23,יום ראשון,240,9.583333333333334
2010/11,2010,Monday,26,יום שני,240,10.833333333333334
2010/11,2010,Wednesday,1,יום רביעי,240,0.4166666666666667
2010/11,2010,Saturday,182,שבת,240,75.83333333333333
2010/11,2010,Sunday,31,יום ראשון,240,12.916666666666668
2011/12,2011,Monday,27,יום שני,240,11.25
2011/12,2011,Tuesday,3,יום שלישי,240,1.25
2011/12,2011,Wednesday,15,יום רביעי,240,6.25
2011/12,2011,Saturday,160,שבת,240,66.66666666666666
2011/12,2011,Sunday,35,יום ראשון,240,14.583333333333334
2012/13,2012,Monday,24,יום שני,182,13.186813186813188
2012/13,2012,Tuesday,1,יום שלישי,182,0.5494505494505495
2012/13,2012,Wednesday,1,יום רביעי,182,0.5494505494505495
2012/13,2012,Thursday,1,יום חמישי,182,0.5494505494505495
2012/13,2012,Saturday,127,שבת,182,69.78021978021978
2012/13,2012,Sunday,28,יום ראשון,182,15.384615384615385
2013/14,2013,Monday,25,יום שני,182,13.736263736263737
2013/14,2013,Tuesday,2,יום שלישי,182,1.098901098901099
2013/14,2013,Saturday,129,שבת,182,70.87912087912088
2013/14,2013,Sunday,26,יום ראשון,182,14.285714285714285
2014/15,2014,Monday,26,יום שני,182,14.285714285714285
2014/15,2014,Tuesday,6,יום שלישי,182,3.296703296703297
2014/15,2014,Wednesday,5,יום רביעי,182,2.7472527472527473
2014/15,2014,Thursday,4,יום חמישי,182,2.197802197802198
2014/15,2014,Saturday,116,שבת,182,63.73626373626373
2014/15,2014,Sunday,25,יום ראשון,182,13.736263736263737
2015/16,2015,Monday,25,יום שני,182,13.736263736263737
2015/16,2015,Saturday,130,שבת,182,71.42857142857143
2015/16,2015,Sunday,27,יום ראשון,182,14.835164835164836
2016/17,2016,Monday,25,יום שני,182,13.736263736263737
2016/17,2016,Tuesday,3,יום שלישי,182,1.6483516483516485
2016/17,2016,Wednesday,4,יום רביעי,182,2.197802197802198
2016/17,2016,Thursday,1,יום חמישי,182,0.5494505494505495
2016/17,2016,Saturday,103,שבת,182,56.59340659340659
2016/17,2016,Sunday,46,יום ראשון,182,25.274725274725274
2017/18,2017,Monday,29,יום שני,182,15.934065934065933
2017/18,2017,Tuesday,3,יום שלישי,182,1.6483516483516485
2017/18,2017,Wednesday,1,יום רביעי,182,0.5494505494505495
2017/18,2017,Saturday,96,שבת,182,52.74725274725275
2017/18,2017,Sunday,53,יום ראשון,182,29.120879120879124
2018/19,2018,Monday,29,יום שני,182,15.934065934065933
2018/19,2018,Tuesday,7,יום שלישי,182,3.8461538461538463
2018/19,2018,Wednesday,6,יום רביעי,182,3.296703296703297
2018/19,2018,Thursday,1,יום חמישי,182,0.5494505494505495
2018/19,2018,Saturday,98,שבת,182,53.84615384615385
2018/19,2018,Sunday,41,יום ראשון,182,22.52747252747253
2019/20,2019,Monday,24,יום שני,182,13.186813186813188
2019/20,2019,Tuesday,10,יום שלישי,182,5.4945054945054945
2019/20,2019,Wednesday,14,יום רביעי,182,7.6923076923076925
2019/20,2019,Saturday,89,שבת,182,48.9010989010989
2019/20,2019,Sunday,45,יום ראשון,182,24.725274725274726
2020/21,2020,Monday,26,יום שני,182,14.285714285714285
2020/21,2020,Tuesday,14,יום שלישי,182,7.6923076923076925
2020/21,2020,Wednesday,23,יום רביעי,182,12.637362637362637
2020/21,2020,Thursday,15,יום חמישי,182,8.241758241758241
2020/21,2020,Saturday,68,שבת,182,37.362637362637365
2020/21,2020,Sunday,36,יום ראשון,182,19.78021978021978
2021/22,2021,Monday,22,יום שני,182,12.087912087912088
2021/22,2021,Tuesday,7,יום שלישי,182,3.8461538461538463
2021/22,2021,Wednesday,6,יום רביעי,182,3.296703296703297
2021/22,2021,Thursday,1,יום חמישי,182,0.5494505494505495
2021/22,2021,Saturday,94,שבת,182,51.64835164835166
2021/22,2021,Sunday,52,יום ראשון,182,28.57142857142857
2022/23,2022,Monday,27,יום שני,182,14.835164835164836
2022/23,2022,Tuesday,4,יום שלישי,182,2.197802197802198
2022/23,2022,Wednesday,7,יום רביעי,182,3.8461538461538463
2022/23,2022,Saturday,110,שבת,182,60.43956043956044
2022/23,2022,Sunday,34,יום ראשון,182,18.681318681318682
2023/24,2023,Monday,16,יום שני,182,8.791208791208792
2023/24,2023,Tuesday,19,יום שלישי,182,10.43956043956044
2023/24,2023,Wednesday,24,יום רביעי,182,13.186813186813188
2023/24,2023,Thursday,1,יום חמישי,182,0.5494505494505495
2023/24,2023,Saturday,84,שבת,182,46.15384615384615
2023/24,2023,Sunday,38,יום ראשון,182,20.87912087912088
2024/25,2024,Monday,25,יום שני,182,13.736263736263737
2024/25,2024,Tuesday,7,יום שלישי,182,3.8461538461538463
2024/25,2024,Wednesday,7,יום רביעי,182,3.8461538461538463
2024/25,2024,Thursday,3,יום חמישי,182,1.6483516483516485
2024/25,2024,Friday,3,יום שישי,182,1.6483516483516485
2024/25,2024,Saturday,105,שבת,182,57.692307692307686
2024/25,2024,Sunday,32,יום ראשון,182,17.582417582417584
2025/26,2025,Monday,7,יום שני,74,9.45945945945946
2025/26,2025,Tuesday,1,יום שלישי,74,1.3513513513513513
2025/26,2025,Saturday,53,שבת,74,71.62162162162163
2025/26,2025,Sunday,13,יום ראשון,74,17.56756756756757
