season,season_year,day_of_week_en,matches,day_of_week_he,total_matches,share_pct,matches_pct_change,share_pct_change,matches_rolling_mean_3
2006/07,2006,Monday,11,יום שני,198,5.555555555555555,,,11.0
2007/08,2007,Monday,7,יום שני,198,3.535353535353535,-36.36363636363637,-36.36363636363637,9.0
2008/09,2008,Monday,28,יום שני,198,14.14141414141414,300.0,300.0,15.333333333333334
2009/10,2009,Monday,22,יום שני,240,9.166666666666666,-21.42857142857143,-35.17857142857142,19.0
2010/11,2010,Monday,26,יום שני,240,10.833333333333334,18.181818181818187,18.181818181818187,25.333333333333332
2011/12,2011,Monday,27,יום שני,240,11.25,3.8461538461538547,3.8461538461538325,25.0
2012/13,2012,Monday,24,יום שני,182,13.186813186813188,-11.111111111111116,17.216117216117222,25.666666666666668
2013/14,2013,Monday,25,יום שני,182,13.736263736263737,4.166666666666674,4.166666666666674,25.333333333333332
2014/15,2014,Monday,26,יום שני,182,14.285714285714285,4.0000000000000036,3.9999999999999813,25.0
2015/16,2015,Monday,25,יום שני,182,13.736263736263737,-3.8461538461538436,-3.8461538461538325,25.333333333333332
2016/17,2016,Monday,25,יום שני,182,13.736263736263737,0.0,0.0,25.333333333333332
2017/18,2017,Monday,29,יום שני,182,15.934065934065933,15.999999999999993,15.99999999999997,26.333333333333332
2018/19,2018,Monday,29,יום שני,182,15.934065934065933,0.0,0.0,27.666666666666668
2019/20,2019,Monday,24,יום שני,182,13.186813186813188,-17.24137931034483,-17.24137931034482,27.333333333333332
2020/21,2020,Monday,26,יום שני,182,14.285714285714285,8.333333333333325,8.333333333333325,26.333333333333332
2021/22,2021,Monday,22,יום שני,182,12.087912087912088,-15.384615384615385,-15.384615384615385,24.0
2022/23,2022,Monday,27,יום שני,182,14.835164835164836,22.72727272727273,22.72727272727273,25.0
2023/24,2023,Monday,16,יום שני,182,8.791208791208792,-40.74074074074075,-40.74074074074073,21.666666666666668
2024/25,2024,Monday,25,יום שני,182,13.736263736263737,56.25,56.25,22.666666666666668
2025/26,2025,Monday,7,יום שני,74,9.45945945945946,-72.0,-31.13513513513514,16.0
2007/08,2007,Tuesday,2,יום שלישי,198,1.0101010101010102,,,2.0
2009/10,2009,Tuesday,1,יום שלישי,240,0.4166666666666667,-50.0,-58.75,1.5
2011/12,2011,Tuesday,3,יום שלישי,240,1.25,200.0,200.0,2.0
2012/13,2012,Tuesday,1,יום שלישי,182,0.5494505494505495,-66.66666666666667,-56.043956043956044,1.6666666666666667
2013/14,2013,Tuesday,2,יום שלישי,182,1.098901098901099,100.0,100.0,2.0
2014/15,2014,Tuesday,6,יום שלישי,182,3.296703296703297,200.0,200.0,3.0
2016/17,2016,Tuesday,3,יום שלישי,182,1.6483516483516485,-50.0,-50.0,3.6666666666666665
2017/18,2017,Tuesday,3,יום שלישי,182,1.6483516483516485,0.0,0.0,4.0
2018/19,2018,Tuesday,7,יום שלישי,182,3.8461538461538463,133.33333333333334,133.33333333333331,4.333333333333333
