season,season_year,weekday_bucket,matches,total_matches,share_pct
2006/07,2006,weekday,44,198,22.22222222222222
2006/07,2006,weekend,154,198,77.77777777777779
2007/08,2007,weekday,38,198,19.19191919191919
2007/08,2007,weekend,160,198,80.8080808080808
2008/09,2008,weekday,39,198,19.696969696969695
2008/09,2008,weekend,159,198,80.3030303030303
2009/10,2009,weekday,46,240,19.166666666666668
2009/10,2009,weekend,194,240,80.83333333333333
2010/11,2010,weekday,58,240,24.166666666666668
2010/11,2010,weekend,182,240,75.83333333333333
2011/12,2011,weekday,80,240,33.33333333333333
2011/12,2011,weekend,160,240,66.66666666666666
2012/13,2012,weekday,55,182,30.21978021978022
2012/13,2012,weekend,127,182,69.78021978021978
2013/14,2013,weekday,53,182,29.120879120879124
2013/14,2013,weekend,129,182,70.87912087912088
2014/15,2014,weekday,66,182,36.26373626373626
2014/15,2014,weekend,116,182,63.73626373626373
2015/16,2015,weekday,52,182,28.57142857142857
2015/16,2015,weekend,130,182,71.42857142857143
2016/17,2016,weekday,79,182,43.40659340659341
2016/17,2016,weekend,103,182,56.59340659340659
2017/18,2017,weekday,86,182,47.25274725274725
2017/18,2017,weekend,96,182,52.74725274725275
2018/19,2018,weekday,84,182,46.15384615384615
2018/19,2018,weekend,98,182,53.84615384615385
2019/20,2019,weekday,93,182,51.098901098901095
2019/20,2019,weekend,89,182,48.9010989010989
2020/21,2020,weekday,114,182,62.637362637362635
2020/21,2020,weekend,68,182,37.362637362637365
2021/22,2021,weekday,88,182,48.35164835164835
2021/22,2021,weekend,94,182,51.64835164835166
2022/23,2022,weekday,72,182,39.56043956043956
2022/23,2022,weekend,110,182,60.43956043956044
2023/24,2023,weekday,98,182,53.84615384615385
2023/24,2023,weekend,84,182,46.15384615384615
2024/25,2024,weekday,74,182,40.65934065934066
2024/25,2024,weekend,108,182,59.34065934065934
2025/26,2025,weekday,21,74,28.37837837837838
2025/26,2025,weekend,53,74,71.62162162162163
