season,season_year,week_start,weekly_matches,active_weekdays
2006/07,2006,2006-08-21,5,2
2006/07,2006,2006-08-28,1,1
2006/07,2006,2006-09-04,6,2
2006/07,2006,2006-09-11,5,2
2006/07,2006,2006-09-18,1,1
2006/07,2006,2006-09-25,4,1
2006/07,2006,2006-10-09,6,2
2006/07,2006,2006-10-16,4,2
2006/07,2006,2006-10-23,8,3
2006/07,2006,2006-10-30,5,2
2006/07,2006,2006-11-06,1,1
2006/07,2006,2006-11-13,6,3
2006/07,2006,2006-11-20,5,2
2006/07,2006,2006-11-27,6,3
2006/07,2006,2006-12-04,7,3
2006/07,2006,2006-12-11,6,2
2006/07,2006,2006-12-18,2,2
2006/07,2006,2006-12-25,6,2
2006/07,2006,2007-01-01,6,2
2006/07,2006,2007-01-08,6,2
2006/07,2006,2007-01-15,6,2
2006/07,2006,2007-01-22,6,2
2006/07,2006,2007-01-29,6,2
2006/07,2006,2007-02-05,6,2
2006/07,2006,2007-02-12,6,2
2006/07,2006,2007-02-19,4,2
2006/07,2006,2007-02-26,8,3
2006/07,2006,2007-03-05,6,2
2006/07,2006,2007-03-12,6,2
2006/07,2006,2007-03-26,6,2
2006/07,2006,2007-04-02,5,2
2006/07,2006,2007-04-09,6,2
2006/07,2006,2007-04-16,1,1
2006/07,2006,2007-04-23,6,2
2006/07,2006,2007-04-30,6,2
2006/07,2006,2007-05-07,6,2
2006/07,2006,2007-05-14,6,2
2006/07,2006,2007-05-21,6,2
2007/08,2007,2007-08-13,4,2
2007/08,2007,2007-08-20,8,3
2007/08,2007,2007-09-10,5,2
2007/08,2007,2007-09-17,1,1
2007/08,2007,2007-09-24,6,2
2007/08,2007,2007-10-01,5,2
2007/08,2007,2007-10-08,1,1
2007/08,2007,2007-10-15,6,2
2007/08,2007,2007-10-22,5,2
2007/08,2007,2007-10-29,7,3
2007/08,2007,2007-11-05,6,2
2007/08,2007,2007-11-19,6,2
2007/08,2007,2007-11-26,5,2
2007/08,2007,2007-12-03,7,3
2007/08,2007,2007-12-10,6,2
2007/08,2007,2007-12-31,6,2
2007/08,2007,2008-01-07,6,2
2007/08,2007,2008-01-14,6,2
2007/08,2007,2008-01-21,6,2
2007/08,2007,2008-01-28,6,2
2007/08,2007,2008-02-04,5,1
2007/08,2007,2008-02-11,6,2
2007/08,2007,2008-02-18,7,3
2007/08,2007,2008-02-25,6,2
2007/08,2007,2008-03-03,6,2
2007/08,2007,2008-03-10,6,2
2007/08,2007,2008-03-17,6,2
2007/08,2007,2008-03-24,6,2
2007/08,2007,2008-03-31,6,2
2007/08,2007,2008-04-07,5,1
2007/08,2007,2008-04-28,5,1
2007/08,2007,2008-05-05,7,3
2007/08,2007,2008-05-12,6,2
2007/08,2007,2008-05-19,7,2
2007/08,2007,2008-05-26,6,3
2008/09,2008,2008-08-25,4,2
2008/09,2008,2008-09-01,2,1
2008/09,2008,2008-09-08,6,2
