season,team,stadium,capacity,total_spectators,average_attendance
2017/18,Maccabi Haifa,Unknown,30780,219239,16865
2017/18,Hapoel Beer Sheva,Unknown,16126,187657,14435
2017/18,Beitar Jerusalem,Unknown,33500,140495,12772
2017/18,Maccabi Tel Aviv,Unknown,29150,130689,10053
2017/18,Maccabi Netanya,Unknown,13610,89698,6900
2017/18,Hapoel Haifa,Unknown,30820,89505,6885
2017/18,Bnei Yehuda Tel Aviv,Unknown,6020,48450,3727
2017/18,Maccabi Petah Tikva,Unknown,11500,33970,2613
2017/18,Hapoel Ashkelon,Unknown,10000,33770,2598
2017/18,FC Ashdod,Unknown,8200,26500,2038
2017/18,Hapoel Acre,Unknown,5000,22400,1723
2017/18,Hapoel Raanana,Unknown,5800,21926,1687
2017/18,Ihud Bnei Sakhnin,Unknown,8500,17950,1381
2017/18,Ironi Kiryat Shmona,Unknown,13800,17230,1325
