round,home,score,away,season,season_year
1,Maccabi Netanya,1:4,Maccabi Haifa,2011/12,2011
2,Hapoel Acre,2:0,Bnei Yehuda,2011/12,2011
3,Hapoel Haifa,0:1,Kiryat Shmona,2011/12,2011
4,H Rishon leZion,4:2,Bnei Sakhnin,2011/12,2011
5,H. Petah Tikva,1:3,M. Tel Aviv,2011/12,2011
6,Hapoel Tel Aviv,4:1,M. Petah Tikva,2011/12,2011
7,H. Beer Sheva,0:1,B. Jerusalem,2011/12,2011
8,FC Ashdod,2:0,Ramat haSharon,2011/12,2011
9,Maccabi Haifa,2:2,H. Petah Tikva,2011/12,2011
10,B. Jerusalem,3:1,Hapoel Acre,2011/12,2011
11,Kiryat Shmona,1:3,Maccabi Netanya,2011/12,2011
12,Ramat haSharon,1:2,H Rishon leZion,2011/12,2011
13,Bnei Sakhnin,4:3,H. Beer Sheva,2011/12,2011
14,M. Petah Tikva,2:1,Hapoel Haifa,2011/12,2011
15,Bnei Yehuda,1:1,Hapoel Tel Aviv,2011/12,2011
16,M. Tel Aviv,4:0,FC Ashdod,2011/12,2011
17,H Rishon leZion,0:2,M. Tel Aviv,2011/12,2011
18,FC Ashdod,1:0,Maccabi Haifa,2011/12,2011
19,Hapoel Haifa,0:2,Bnei Yehuda,2011/12,2011
20,Maccabi Netanya,0:1,M. Petah Tikva,2011/12,2011
21,H. Petah Tikva,1:1,Kiryat Shmona,2011/12,2011
22,Bnei Sakhnin,3:0,Ramat haSharon,2011/12,2011
23,Hapoel Tel Aviv,1:0,B. Jerusalem,2011/12,2011
24,Hapoel Acre,2:0,H. Beer Sheva,2011/12,2011
25,M. Petah Tikva,1:1,H. Petah Tikva,2011/12,2011
26,Bnei Yehuda,1:2,Maccabi Netanya,2011/12,2011
27,Kiryat Shmona,0:0,FC Ashdod,2011/12,2011
28,H. Beer Sheva,1:3,Ramat haSharon,2011/12,2011
29,B. Jerusalem,1:0,Hapoel Haifa,2011/12,2011
30,Hapoel Acre,0:2,Hapoel Tel Aviv,2011/12,2011
31,Maccabi Haifa,3:1,H Rishon leZion,2011/12,2011
32,M. Tel Aviv,2:0,Bnei Sakhnin,2011/12,2011
33,Ramat haSharon,3:1,M. Tel Aviv,2011/12,2011
34,Hapoel Haifa,2:4,Hapoel Acre,2011/12,2011
35,H. Petah Tikva,0:1,Bnei Yehuda,2011/12,2011
36,FC Ashdod,1:3,M. Petah Tikva,2011/12,2011
37,H Rishon leZion,1:1,Kiryat Shmona,2011/12,2011
38,Hapoel Tel Aviv,2:0,H. Beer Sheva,2011/12,2011
39,Maccabi Netanya,1:1,B. Jerusalem,2011/12,2011
40,Bnei Sakhnin,2:0,Maccabi Haifa,2011/12,2011
41,Hapoel Tel Aviv,0:0,Hapoel Haifa,2011/12,2011
42,Hapoel Acre,1:2,Maccabi Netanya,2011/12,2011
43,B. Jerusalem,1:2,H. Petah Tikva,2011/12,2011
44,Kiryat Shmona,0:0,Bnei Sakhnin,2011/12,2011
45,Maccabi Haifa,5:0,Ramat haSharon,2011/12,2011
46,H. Beer Sheva,1:4,M. Tel Aviv,2011/12,2011
47,M. Petah Tikva,2:2,H Rishon leZion,2011/12,2011
48,Bnei Yehuda,1:0,FC Ashdod,2011/12,2011
49,Hapoel Haifa,0:2,H. Beer Sheva,2011/12,2011
50,H. Petah Tikva,0:0,Hapoel Acre,2011/12,2011
51,FC Ashdod,3:0,B. Jerusalem,2011/12,2011
52,H Rishon leZion,0:1,Bnei Yehuda,2011/12,2011
53,Ramat haSharon,0:1,Kiryat Shmona,2011/12,2011
54,Bnei Sakhnin,3:0,M. Petah Tikva,2011/12,2011
55,Maccabi Netanya,2:1,Hapoel Tel Aviv,2011/12,2011
56,M. Tel Aviv,1:1,Maccabi Haifa,2011/12,2011
57,Bnei Yehuda,1:1,Bnei Sakhnin,2011/12,2011
58,H. Beer Sheva,1:1,Maccabi Haifa,2011/12,2011
59,Hapoel Haifa,1:1,Maccabi Netanya,2011/12,2011
60,Hapoel Tel Aviv,5:0,H. Petah Tikva,2011/12,2011
61,Hapoel Acre,2:2,FC Ashdod,2011/12,2011
62,M. Petah Tikva,2:3,Ramat haSharon,2011/12,2011
63,Kiryat Shmona,2:1,M. Tel Aviv,2011/12,2011
64,B. Jerusalem,1:1,H Rishon leZion,2011/12,2011
65,Maccabi Netanya,2:1,H. Beer Sheva,2011/12,2011
66,H. Petah Tikva,0:1,Hapoel Haifa,2011/12,2011
67,H Rishon leZion,0:3,Hapoel Acre,2011/12,2011
68,Ramat haSharon,2:1,Bnei Yehuda,2011/12,2011
69,Maccabi Haifa,0:3,Kiryat Shmona,2011/12,2011
70,FC Ashdod,2:0,Hapoel Tel Aviv,2011/12,2011
71,M. Tel Aviv,1:0,M. Petah Tikva,2011/12,2011
72,Bnei Sakhnin,3:0,B. Jerusalem,2011/12,2011
73,Hapoel Tel Aviv,6:0,H Rishon leZion,2011/12,2011
74,Maccabi Netanya,1:1,H. Petah Tikva,2011/12,2011
75,Hapoel Haifa,2:2,FC Ashdod,2011/12,2011
76,Hapoel Acre,2:1,Bnei Sakhnin,2011/12,2011
77,H. Beer Sheva,0:3,Kiryat Shmona,2011/12,2011
78,M. Petah Tikva,1:4,Maccabi Haifa,2011/12,2011
79,B. Jerusalem,0:1,Ramat haSharon,2011/12,2011
80,Bnei Yehuda,0:0,M. Tel Aviv,2011/12,2011
81,FC Ashdod,2:1,Maccabi Netanya,2011/12,2011
82,H Rishon leZion,1:1,Hapoel Haifa,2011/12,2011
83,Ramat haSharon,1:1,Hapoel Acre,2011/12,2011
84,Kiryat Shmona,1:1,M. Petah Tikva,2011/12,2011
85,H. Petah Tikva,2:0,H. Beer Sheva,2011/12,2011
86,Maccabi Haifa,1:1,Bnei Yehuda,2011/12,2011
87,Bnei Sakhnin,0:1,Hapoel Tel Aviv,2011/12,2011
88,M. Tel Aviv,0:1,B. Jerusalem,2011/12,2011
89,Bnei Yehuda,0:1,Kiryat Shmona,2011/12,2011
90,Hapoel Acre,3:0,M. Tel Aviv,2011/12,2011
91,H. Petah Tikva,0:1,FC Ashdod,2011/12,2011
92,Maccabi Netanya,6:2,H Rishon leZion,2011/12,2011
93,Hapoel Haifa,1:2,Bnei Sakhnin,2011/12,2011
94,H. Beer Sheva,0:0,M. Petah Tikva,2011/12,2011
95,Hapoel Tel Aviv,0:0,Ramat haSharon,2011/12,2011
96,B. Jerusalem,1:4,Maccabi Haifa,2011/12,2011
97,Kiryat Shmona,1:0,B. Jerusalem,2011/12,2011
98,FC Ashdod,2:0,H. Beer Sheva,2011/12,2011
99,H Rishon leZion,0:0,H. Petah Tikva,2011/12,2011
100,Bnei Sakhnin,1:1,Maccabi Netanya,2011/12,2011
101,Ramat haSharon,2:0,Hapoel Haifa,2011/12,2011
102,Maccabi Haifa,1:0,Hapoel Acre,2011/12,2011
103,M. Tel Aviv,1:3,Hapoel Tel Aviv,2011/12,2011
104,M. Petah Tikva,1:0,Bnei Yehuda,2011/12,2011
105,Hapoel Acre,1:2,Kiryat Shmona,2011/12,2011
106,FC Ashdod,2:1,H Rishon leZion,2011/12,2011
107,H. Petah Tikva,1:2,Bnei Sakhnin,2011/12,2011
108,Maccabi Netanya,0:2,Ramat haSharon,2011/12,2011
109,H. Beer Sheva,3:1,Bnei Yehuda,2011/12,2011
110,B. Jerusalem,0:0,M. Petah Tikva,2011/12,2011
111,Hapoel Haifa,2:0,M. Tel Aviv,2011/12,2011
112,Hapoel Tel Aviv,3:0,Maccabi Haifa,2011/12,2011
113,H Rishon leZion,0:1,H. Beer Sheva,2011/12,2011
114,Bnei Sakhnin,1:2,FC Ashdod,2011/12,2011
115,Ramat haSharon,0:0,H. Petah Tikva,2011/12,2011
116,M. Petah Tikva,0:4,Hapoel Acre,2011/12,2011
117,M. Tel Aviv,1:1,Maccabi Netanya,2011/12,2011
118,Maccabi Haifa,1:3,Hapoel Haifa,2011/12,2011
119,Bnei Yehuda,3:0,B. Jerusalem,2011/12,2011
120,Kiryat Shmona,1:0,Hapoel Tel Aviv,2011/12,2011
121,Bnei Yehuda,4:1,Hapoel Acre,2011/12,2011
122,B. Jerusalem,0:1,H. Beer Sheva,2011/12,2011
123,Kiryat Shmona,1:0,Hapoel Haifa,2011/12,2011
124,Ramat haSharon,1:1,FC Ashdod,2011/12,2011
125,Bnei Sakhnin,1:0,H Rishon leZion,2011/12,2011
126,M. Tel Aviv,1:0,H. Petah Tikva,2011/12,2011
127,M. Petah Tikva,1:0,Hapoel Tel Aviv,2011/12,2011
128,Maccabi Haifa,2:1,Maccabi Netanya,2011/12,2011
129,H. Petah Tikva,3:1,Maccabi Haifa,2011/12,2011
130,Hapoel Haifa,1:1,M. Petah Tikva,2011/12,2011
131,H Rishon leZion,1:1,Ramat haSharon,2011/12,2011
132,H. Beer Sheva,0:2,Bnei Sakhnin,2011/12,2011
133,Maccabi Netanya,0:1,Kiryat Shmona,2011/12,2011
134,Hapoel Tel Aviv,1:1,Bnei Yehuda,2011/12,2011
135,Hapoel Acre,1:1,B. Jerusalem,2011/12,2011
136,FC Ashdod,2:1,M. Tel Aviv,2011/12,2011
137,Bnei Yehuda,1:0,Hapoel Haifa,2011/12,2011
138,H. Beer Sheva,2:1,Hapoel Acre,2011/12,2011
139,M. Petah Tikva,0:1,Maccabi Netanya,2011/12,2011
140,Kiryat Shmona,2:0,H. Petah Tikva,2011/12,2011
141,Ramat haSharon,0:1,Bnei Sakhnin,2011/12,2011
142,M. Tel Aviv,3:1,H Rishon leZion,2011/12,2011
143,Maccabi Haifa,1:1,FC Ashdod,2011/12,2011
144,B. Jerusalem,1:1,Hapoel Tel Aviv,2011/12,2011
145,Bnei Sakhnin,1:3,M. Tel Aviv,2011/12,2011
146,Maccabi Netanya,1:0,Bnei Yehuda,2011/12,2011
147,H. Petah Tikva,1:0,M. Petah Tikva,2011/12,2011
148,H Rishon leZion,4:2,Maccabi Haifa,2011/12,2011
149,Ramat haSharon,3:3,H. Beer Sheva,2011/12,2011
150,Hapoel Tel Aviv,2:1,Hapoel Acre,2011/12,2011
151,Hapoel Haifa,3:0,B. Jerusalem,2011/12,2011
152,FC Ashdod,0:0,Kiryat Shmona,2011/12,2011
153,Kiryat Shmona,2:0,H Rishon leZion,2011/12,2011
154,B. Jerusalem,2:1,Maccabi Netanya,2011/12,2011
155,Hapoel Acre,1:0,Hapoel Haifa,2011/12,2011
156,Bnei Yehuda,5:1,H. Petah Tikva,2011/12,2011
157,M. Petah Tikva,2:3,FC Ashdod,2011/12,2011
158,H. Beer Sheva,1:1,Hapoel Tel Aviv,2011/12,2011
159,M. Tel Aviv,0:1,Ramat haSharon,2011/12,2011
160,Maccabi Haifa,0:0,Bnei Sakhnin,2011/12,2011
161,Maccabi Netanya,1:1,Hapoel Acre,2011/12,2011
162,FC Ashdod,0:0,Bnei Yehuda,2011/12,2011
163,H Rishon leZion,2:2,M. Petah Tikva,2011/12,2011
164,Bnei Sakhnin,2:3,Kiryat Shmona,2011/12,2011
165,M. Tel Aviv,4:0,H. Beer Sheva,2011/12,2011
166,Ramat haSharon,0:0,Maccabi Haifa,2011/12,2011
167,H. Petah Tikva,0:1,B. Jerusalem,2011/12,2011
168,Hapoel Haifa,3:0,Hapoel Tel Aviv,2011/12,2011
169,Hapoel Tel Aviv,7:3,Maccabi Netanya,2011/12,2011
170,Kiryat Shmona,4:0,Ramat haSharon,2011/12,2011
171,H. Beer Sheva,2:0,Hapoel Haifa,2011/12,2011
172,Hapoel Acre,3:1,H. Petah Tikva,2011/12,2011
173,M. Petah Tikva,1:3,Bnei Sakhnin,2011/12,2011
174,B. Jerusalem,1:0,FC Ashdod,2011/12,2011
175,Bnei Yehuda,1:0,H Rishon leZion,2011/12,2011
176,Maccabi Haifa,2:1,M. Tel Aviv,2011/12,2011
177,Maccabi Netanya,1:1,Hapoel Haifa,2011/12,2011
