season,season_year,rank,player,player_url,position,nationality,age,club,club_url,matches,assists,goals
2021/22,2021,1,Omer Atzili,https://www.transfermarkt.com/omer-atzili/profil/spieler/294568,Right Winger,Israel; Romania,28,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064/saison_id/2021,24,9,
2021/22,2021,2,Dan Biton,https://www.transfermarkt.com/dan-biton/profil/spieler/399361,Right Winger,Israel,26,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2021,21,7,
2021/22,2021,3,Gabi Kanichowsky,https://www.transfermarkt.com/gabi-kanichowsky/profil/spieler/398258,Attacking Midfield,Israel,24,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2021,25,7,
2021/22,2021,4,Alon Turgeman,https://www.transfermarkt.com/alon-turgeman/profil/spieler/177249,Centre-Forward,Israel,30,Hapoel Haifa,https://www.transfermarkt.com/hapoel-haifa/startseite/verein/810/saison_id/2021,19,6,
2021/22,2021,5,Guy Badash,https://www.transfermarkt.com/guy-badash/profil/spieler/413712,Right Winger,Israel; Portugal,27,Hapoel Jerusalem,https://www.transfermarkt.com/hapoel-jerusalem/startseite/verein/43119/saison_id/2021,19,6,
2021/22,2021,6,Liran Sardal,https://www.transfermarkt.com/liran-sardal/profil/spieler/289982,Defensive Midfield,Israel,27,Hapoel Haifa,https://www.transfermarkt.com/hapoel-haifa/startseite/verein/810/saison_id/2021,22,6,
2021/22,2021,7,Ramzi Safuri,https://www.transfermarkt.com/ramzi-safuri/profil/spieler/204116,Central Midfield,Israel,26,Hapoel Beer Sheva,https://www.transfermarkt.com/hapoel-beer-sheva/startseite/verein/2976/saison_id/2021,23,6,
2021/22,2021,8,Dan Einbinder,https://www.transfermarkt.com/dan-einbinder/profil/spieler/113406,Central Midfield,Israel,33,Hapoel Tel Aviv,https://www.transfermarkt.com/hapoel-tel-aviv/startseite/verein/1017/saison_id/2021,24,6,
2021/22,2021,9,Tjaronn Chery,https://www.transfermarkt.com/tjaronn-chery/profil/spieler/76326,Attacking Midfield,Suriname; Netherlands,33,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064/saison_id/2021,25,6,
2021/22,2021,10,Dolev Haziza,https://www.transfermarkt.com/dolev-haziza/profil/spieler/367633,Left Winger,Israel; France,26,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064/saison_id/2021,23,5,
2021/22,2021,11,Hamode Kanaan,https://www.transfermarkt.com/hamode-kanaan/profil/spieler/467149,Attacking Midfield,Israel,22,FC Ashdod,https://www.transfermarkt.com/fc-ashdod/startseite/verein/6105/saison_id/2021,18,4,
2021/22,2021,12,Mohammed Abu Fani,https://www.transfermarkt.com/mohammed-abu-fani/profil/spieler/414243,Central Midfield,Israel,23,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064/saison_id/2021,19,4,
2021/22,2021,13,Brandley Kuwas,https://www.transfermarkt.com/brandley-kuwas/profil/spieler/232219,Right Winger,Curacao; Netherlands,29,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2021,20,4,
2021/22,2021,14,Marwan Kabha,https://www.transfermarkt.com/marwan-kabha/profil/spieler/147520,Defensive Midfield,Israel,31,Ihud Bnei Sakhnin,https://www.transfermarkt.com/ihud-bnei-sachnin/startseite/verein/4769/saison_id/2021,22,4,
2021/22,2021,15,Shlomi Azulay,https://www.transfermarkt.com/shlomi-azulay/profil/spieler/136997,Centre-Forward,Israel,32,Hapoel Tel Aviv,https://www.transfermarkt.com/hapoel-tel-aviv/startseite/verein/1017/saison_id/2021,23,4,
2021/22,2021,16,Kenny Saief,https://www.transfermarkt.com/kenny-saief/profil/spieler/209019,Left Midfield,United States; Israel,28,FC Ashdod,https://www.transfermarkt.com/fc-ashdod/startseite/verein/6105/saison_id/2021,23,4,
2021/22,2021,17,Beram Kayal,https://www.transfermarkt.com/beram-kayal/profil/spieler/44741,Central Midfield,Israel,33,Ihud Bnei Sakhnin,https://www.transfermarkt.com/ihud-bnei-sachnin/startseite/verein/4769/saison_id/2021,24,4,
2021/22,2021,18,Guy Melamed,https://www.transfermarkt.com/guy-melamed/profil/spieler/142532,Centre-Forward,Israel; Lithuania,29,Ihud Bnei Sakhnin,https://www.transfermarkt.com/ihud-bnei-sachnin/startseite/verein/4769/saison_id/2021,24,4,
2021/22,2021,19,Mahmoud Jaber,https://www.transfermarkt.com/mahmoud-jaber/profil/spieler/467151,Defensive Midfield,Israel,22,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064/saison_id/2021,14,3,
2021/22,2021,20,Godsway Donyoh,https://www.transfermarkt.com/godsway-donyoh/profil/spieler/257366,Centre-Forward,Ghana,27,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064/saison_id/2021,18,3,
2021/22,2021,21,Kevaughn Frater,https://www.transfermarkt.com/kevaughn-frater/profil/spieler/408050,Centre-Forward,Jamaica,27,Hapoel Nof HaGalil,https://www.transfermarkt.com/hapoel-nof-hagalil/startseite/verein/7000/saison_id/2021,18,3,
2021/22,2021,22,Or Dadia,https://www.transfermarkt.com/or-dadia/profil/spieler/509301,Right-Back,Israel; Portugal,24,Hapoel Beer Sheva,https://www.transfermarkt.com/hapoel-beer-sheva/startseite/verein/2976/saison_id/2021,18,3,
2021/22,2021,23,Eyal Golasa,https://www.transfermarkt.com/eyal-golasa/profil/spieler/111965,Central Midfield,Israel; Portugal,30,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2021,19,3,
2021/22,2021,24,Parfait Guiagon,https://www.transfermarkt.com/parfait-guiagon/profil/spieler/624913,Left Winger,Cote d'Ivoire,21,Maccabi Netanya,https://www.transfermarkt.com/maccabi-netanya/startseite/verein/5223/saison_id/2021,19,3,
2021/22,2021,25,Ofir Davidzada,https://www.transfermarkt.com/ofir-davidzada/profil/spieler/140570,Left-Back,Israel,30,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2021,20,3,
2021/22,2021,26,Dor Malul,https://www.transfermarkt.com/dor-malul/profil/spieler/112737,Right-Back,Israel; France,32,Hapoel Haifa,https://www.transfermarkt.com/hapoel-haifa/startseite/verein/810/saison_id/2021,21,3,
2021/22,2021,27,Ben Bitton,https://www.transfermarkt.com/ben-bitton/profil/spieler/292828,Right-Back,Israel; France,31,Hapoel Tel Aviv,https://www.transfermarkt.com/hapoel-tel-aviv/startseite/verein/1017/saison_id/2021,21,3,
2021/22,2021,28,Gustavo Marmentini,https://www.transfermarkt.com/gustavo-marmentini/profil/spieler/337981,Right Winger,Brazil,28,for 2 clubs,,21,3,
