season,season_year,rank,player,player_url,position,nationality,age,club,club_url,matches,goals,assists
2006/07,2006,1,Yaniv Azran,https://www.transfermarkt.com/yaniv-azran/profil/spieler/58325,Centre-Forward,Israel; Poland,24,FC Ashdod,https://www.transfermarkt.com/fc-ashdod/startseite/verein/6105/saison_id/2006,28,15,
2006/07,2006,2,Lior Asulin,https://www.transfermarkt.com/lior-asulin/profil/spieler/56965,Centre-Forward,Israel,26,Bnei Yehuda Tel Aviv,https://www.transfermarkt.com/bnei-yehuda-tel-aviv/startseite/verein/9095/saison_id/2006,30,13,
2006/07,2006,3,Shay Holtsman,https://www.transfermarkt.com/shay-holtsman/profil/spieler/81312,Centre-Forward,Israel,33,FC Ashdod,https://www.transfermarkt.com/fc-ashdod/startseite/verein/6105/saison_id/2006,30,12,
2006/07,2006,4,Omer Buksenbaum,https://www.transfermarkt.com/omer-buksenbaum/profil/spieler/112699,Central Midfield,Israel,24,Maccabi Herzliya,https://www.transfermarkt.com/maccabi-herzliya/startseite/verein/8907/saison_id/2006,30,12,
2006/07,2006,5,Idan Shriki,https://www.transfermarkt.com/idan-shriki/profil/spieler/112005,Centre-Forward,Israel,25,FC Ashdod,https://www.transfermarkt.com/fc-ashdod/startseite/verein/6105/saison_id/2006,32,11,
2006/07,2006,6,Samuel Yeboah,https://www.transfermarkt.com/samuel-yeboah/profil/spieler/85091,Centre-Forward,Ghana,20,Hapoel Kfar Saba,https://www.transfermarkt.com/hapoel-kfar-saba/startseite/verein/7532/saison_id/2006,31,11,
2006/07,2006,7,Elyaniv Barda,https://www.transfermarkt.com/elyaniv-barda/profil/spieler/24458,Centre-Forward,Israel,25,Hapoel Tel Aviv,https://www.transfermarkt.com/hapoel-tel-aviv/startseite/verein/1017/saison_id/2006,29,10,
2006/07,2006,8,Awudu Okocha,https://www.transfermarkt.com/awudu-okocha/profil/spieler/28291,Centre-Forward,Ghana,22,Maccabi Netanya,https://www.transfermarkt.com/maccabi-netanya/startseite/verein/5223/saison_id/2006,31,10,
2006/07,2006,9,Ibe Ogbonna,https://www.transfermarkt.com/ibe-ogbonna/profil/spieler/53198,Centre-Forward,Nigeria,24,Hapoel Tel Aviv,https://www.transfermarkt.com/hapoel-tel-aviv/startseite/verein/1017/saison_id/2006,26,10,
2006/07,2006,10,Toto Tamuz,https://www.transfermarkt.com/toto-tamuz/profil/spieler/43989,Centre-Forward,Israel; Nigeria,19,Beitar Jerusalem,https://www.transfermarkt.com/beitar-jerusalem/startseite/verein/3793/saison_id/2006,28,10,
2006/07,2006,11,Avi Nimni,https://www.transfermarkt.com/avi-nimni/profil/spieler/58335,Attacking Midfield,Israel,35,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2006,28,10,
2006/07,2006,12,Shlomi Arbeitman,https://www.transfermarkt.com/shlomi-arbeitman/profil/spieler/43982,Centre-Forward,Israel,22,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064/saison_id/2006,28,9,
2006/07,2006,13,Salim Tuama,https://www.transfermarkt.com/salim-tuama/profil/spieler/34675,Left Winger,Israel,27,Hapoel Tel Aviv,https://www.transfermarkt.com/hapoel-tel-aviv/startseite/verein/1017/saison_id/2006,29,8,
2006/07,2006,14,Omer Golan,https://www.transfermarkt.com/omer-golan/profil/spieler/24079,Centre-Forward,Israel,24,Maccabi Petah Tikva,https://www.transfermarkt.com/maccabi-petah-tikva/startseite/verein/3785/saison_id/2006,26,8,
2006/07,2006,15,Yaniv Katan,https://www.transfermarkt.com/yaniv-katan/profil/spieler/24475,Attacking Midfield,Israel,26,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064/saison_id/2006,27,7,
2006/07,2006,16,Itay Shechter,https://www.transfermarkt.com/itay-shechter/profil/spieler/44760,Centre-Forward,Israel; Romania,20,Maccabi Netanya,https://www.transfermarkt.com/maccabi-netanya/startseite/verein/5223/saison_id/2006,30,7,
2006/07,2006,17,José Duarte,https://www.transfermarkt.com/jose-duarte/profil/spieler/131835,Centre-Forward,Brazil,26,Hapoel Kfar Saba,https://www.transfermarkt.com/hapoel-kfar-saba/startseite/verein/7532/saison_id/2006,27,7,
2006/07,2006,18,Barak Itzhaki,https://www.transfermarkt.com/barak-itzhaki/profil/spieler/50811,Centre-Forward,Israel,22,Beitar Jerusalem,https://www.transfermarkt.com/beitar-jerusalem/startseite/verein/3793/saison_id/2006,15,7,
2006/07,2006,19,Miljan Mrdakovic,https://www.transfermarkt.com/miljan-mrdakovic/profil/spieler/13748,Centre-Forward,Serbia,25,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2006,29,6,
2006/07,2006,20,Roberto Colautti,https://www.transfermarkt.com/roberto-colautti/profil/spieler/24463,Centre-Forward,Israel; Argentina,25,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064/saison_id/2006,32,6,
2006/07,2006,21,Papy Kimoto,https://www.transfermarkt.com/papy-kimoto/profil/spieler/13470,Right Winger,DR Congo; Belgium,30,for 2 clubs,,30,6,
2006/07,2006,22,Yannick Kamanan,https://www.transfermarkt.com/yannick-kamanan/profil/spieler/5628,Centre-Forward,France; Cote d'Ivoire,25,Maccabi Herzliya,https://www.transfermarkt.com/maccabi-herzliya/startseite/verein/8907/saison_id/2006,17,6,
2006/07,2006,23,Dedi Ben Dayan,https://www.transfermarkt.com/dedi-ben-dayan/profil/spieler/38837,Left-Back,Israel,28,Maccabi Netanya,https://www.transfermarkt.com/maccabi-netanya/startseite/verein/5223/saison_id/2006,32,5,
2006/07,2006,24,Milovan Mirosevic,https://www.transfermarkt.com/milovan-mirosevic/profil/spieler/30686,Attacking Midfield,Chile; Croatia,26,Beitar Jerusalem,https://www.transfermarkt.com/beitar-jerusalem/startseite/verein/3793/saison_id/2006,31,5,
2006/07,2006,25,Rubil Sarsour,https://www.transfermarkt.com/rubil-sarsour/profil/spieler/34673,Striker,Israel,23,Maccabi Petah Tikva,https://www.transfermarkt.com/maccabi-petah-tikva/startseite/verein/3785/saison_id/2006,30,5,
2006/07,2006,26,Maor Buzaglo,https://www.transfermarkt.com/maor-buzaglo/profil/spieler/56657,Right Winger,Israel; Portugal,19,Hapoel Petah Tikva,https://www.transfermarkt.com/hapoel-petah-tikva/startseite/verein/262/saison_id/2006,25,5,
2006/07,2006,27,Walid Badir,https://www.transfermarkt.com/walid-badir/profil/spieler/24456,Defensive Midfield,Israel,33,Hapoel Tel Aviv,https://www.transfermarkt.com/hapoel-tel-aviv/startseite/verein/1017/saison_id/2006,32,5,
2006/07,2006,28,Yossi Shivhon,https://www.transfermarkt.com/yossi-shivhon/profil/spieler/43988,Central Midfield,Israel,25,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2006,32,5,
2006/07,2006,29,Ofir Haim,https://www.transfermarkt.com/ofir-haim/profil/spieler/25474,Centre-Forward,Israel,32,Maccabi Netanya,https://www.transfermarkt.com/maccabi-netanya/startseite/verein/5223/saison_id/2006,26,5,
2006/07,2006,30,Yossi Abukasis,https://www.transfermarkt.com/yossi-abukasis/profil/spieler/133672,Defensive Midfield,Israel,36,Hapoel Tel Aviv,https://www.transfermarkt.com/hapoel-tel-aviv/startseite/verein/1017/saison_id/2006,21,5,
2006/07,2006,31,Abedi Said Makasi,https://www.transfermarkt.com/abedi-said-makasi/profil/spieler/18125,Centre-Forward,Rwanda,24,Hapoel Petah Tikva,https://www.transfermarkt.com/hapoel-petah-tikva/startseite/verein/262/saison_id/2006,19,5,
2006/07,2006,32,Dudi Liberman,https://www.transfermarkt.com/dudi-liberman/profil/spieler/725658,Midfielder,Israel,30,Hakoah Amidar Ramat Gan,https://www.transfermarkt.com/hakoah-amidar-ramat-gan/startseite/verein/21535/saison_id/2006,25,5,
2006/07,2006,33,Michael Zandberg,https://www.transfermarkt.com/michael-zandberg/profil/spieler/24488,Left Midfield,Israel,27,Beitar Jerusalem,https://www.transfermarkt.com/beitar-jerusalem/startseite/verein/3793/saison_id/2006,32,4,
2006/07,2006,34,Maharan Radi,https://www.transfermarkt.com/maharan-radi/profil/spieler/112680,Central Midfield,Israel,24,Maccabi Herzliya,https://www.transfermarkt.com/maccabi-herzliya/startseite/verein/8907/saison_id/2006,33,4,
2006/07,2006,35,Yaniv Luzon,https://www.transfermarkt.com/yaniv-luzon/profil/spieler/79993,Left Winger,Israel,25,Hapoel Petah Tikva,https://www.transfermarkt.com/hapoel-petah-tikva/startseite/verein/262/saison_id/2006,32,4,
2006/07,2006,36,Yossi Rosen,https://www.transfermarkt.com/yossi-rosen/profil/spieler/113490,Central Midfield,Israel; United States,27,Hakoah Amidar Ramat Gan,https://www.transfermarkt.com/hakoah-amidar-ramat-gan/startseite/verein/21535/saison_id/2006,29,4,
2006/07,2006,37,Alain Masudi,https://www.transfermarkt.com/alain-masudi/profil/spieler/3063,Attacking Midfield,DR Congo; France,29,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064/saison_id/2006,26,4,
2006/07,2006,38,Gil Vermouth,https://www.transfermarkt.com/gil-vermouth/profil/spieler/44894,Right Midfield,Israel; Poland,21,Hapoel Tel Aviv,https://www.transfermarkt.com/hapoel-tel-aviv/startseite/verein/1017/saison_id/2006,31,4,
2006/07,2006,39,Dovani Roso,https://www.transfermarkt.com/dovani-roso/profil/spieler/15326,Attacking Midfield,Croatia; Israel,34,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2006,30,4,
2006/07,2006,40,Dayo Davies,https://www.transfermarkt.com/dayo-davies/profil/spieler/694429,Defensive Midfield,Nigeria,22,Maccabi Herzliya,https://www.transfermarkt.com/maccabi-herzliya/startseite/verein/8907/saison_id/2006,30,4,
2006/07,2006,41,Moshe Biton,https://www.transfermarkt.com/moshe-biton/profil/spieler/24208,Centre-Forward,Israel,24,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2006,28,4,
