season,season_year,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2009/10,2009,championship,Beitar Jerusalem,Bnei Yehuda,0,2,-2,A,0,3
2009/10,2009,championship,Beitar Jerusalem,Hapoel Tel Aviv,1,2,-1,A,0,3
2009/10,2009,championship,Bnei Yehuda,Maccabi Haifa,1,1,0,D,1,1
2009/10,2009,championship,Bnei Yehuda,Maccabi Tel Aviv,0,0,0,D,1,1
2009/10,2009,championship,F.C. Ashdod,Beitar Jerusalem,1,2,-1,A,0,3
2009/10,2009,championship,F.C. Ashdod,Bnei Yehuda,2,3,-1,A,0,3
2009/10,2009,championship,Hapoel Tel Aviv,Bnei Yehuda,1,0,1,H,3,0
2009/10,2009,championship,Hapoel Tel Aviv,F.C. Ashdod,4,0,4,H,3,0
2009/10,2009,championship,Hapoel Tel Aviv,Maccabi Tel Aviv,0,0,0,D,1,1
2009/10,2009,championship,Maccabi Haifa,Beitar Jerusalem,2,1,1,H,3,0
2009/10,2009,championship,Maccabi Haifa,F.C. Ashdod,3,1,2,H,3,0
2009/10,2009,championship,Maccabi Haifa,Hapoel Tel Aviv,0,1,-1,A,0,3
2009/10,2009,championship,Maccabi Tel Aviv,Beitar Jerusalem,3,0,3,H,3,0
2009/10,2009,championship,Maccabi Tel Aviv,F.C. Ashdod,2,0,2,H,3,0
2009/10,2009,championship,Maccabi Tel Aviv,Maccabi Haifa,0,2,-2,A,0,3
