season,season_year,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2019/20,2019,relegation,F.C. Ashdod,HAH,3,1,2,H,3,0
2019/20,2019,relegation,F.C. Ashdod,HKS,2,3,-1,A,0,3
2019/20,2019,relegation,F.C. Ashdod,HRA,3,2,1,H,3,0
2019/20,2019,relegation,F.C. Ashdod,NES,2,0,2,H,3,0
2019/20,2019,relegation,Bnei Yehuda,ASH,0,0,0,D,1,1
2019/20,2019,relegation,Bnei Yehuda,HAH,5,0,5,H,3,0
2019/20,2019,relegation,Bnei Yehuda,HKS,0,0,0,D,1,1
2019/20,2019,relegation,Bnei Yehuda,IKS,2,0,2,H,3,0
2019/20,2019,relegation,Hapoel Hadera,HKS,0,0,0,D,1,1
2019/20,2019,relegation,Hapoel Hadera,HRA,2,2,0,D,1,1
2019/20,2019,relegation,Hapoel Hadera,MNE,1,2,-1,A,0,3
2019/20,2019,relegation,Hapoel Hadera,NES,2,2,0,D,1,1
2019/20,2019,relegation,Hapoel Kfar Saba,HRA,2,0,2,H,3,0
2019/20,2019,relegation,Hapoel Kfar Saba,IKS,0,0,0,D,1,1
2019/20,2019,relegation,Hapoel Kfar Saba,NES,0,1,-1,A,0,3
2019/20,2019,relegation,Hapoel Ra'anana,BnY,0,4,-4,A,0,3
2019/20,2019,relegation,Hapoel Ra'anana,IKS,0,1,-1,A,0,3
2019/20,2019,relegation,Hapoel Ra'anana,MNE,2,4,-2,A,0,3
2019/20,2019,relegation,Ironi Kiryat Shmona,ASH,3,0,3,H,3,0
2019/20,2019,relegation,Ironi Kiryat Shmona,HAH,0,3,-3,A,0,3
2019/20,2019,relegation,Ironi Kiryat Shmona,NES,1,0,1,H,3,0
2019/20,2019,relegation,Maccabi Netanya,ASH,2,5,-3,A,0,3
2019/20,2019,relegation,Maccabi Netanya,BnY,1,3,-2,A,0,3
2019/20,2019,relegation,Maccabi Netanya,HKS,0,1,-1,A,0,3
2019/20,2019,relegation,Maccabi Netanya,IKS,3,1,2,H,3,0
2019/20,2019,relegation,Sektzia Ness Ziona,BnY,0,0,0,D,1,1
2019/20,2019,relegation,Sektzia Ness Ziona,HRA,2,1,1,H,3,0
2019/20,2019,relegation,Sektzia Ness Ziona,MNE,1,0,1,H,3,0
