season,stage,round,team,points,position,goal_diff
2016/17,relegation_playoff,27,Kiryat Shmona,35,1,1
2016/17,relegation_playoff,27,FC Ashdod,29,2,-11
2016/17,relegation_playoff,27,Hapoel Haifa,28,3,-10
2016/17,relegation_playoff,27,Bnei Yehuda,28,4,-10
2016/17,relegation_playoff,27,Hapoel Raanana,28,5,-17
2016/17,relegation_playoff,27,H. Kfar Saba,22,6,-17
2016/17,relegation_playoff,27,H. Ashkelon,21,7,-21
2016/17,relegation_playoff,27,Hapoel Tel Aviv,20,8,-7
2016/17,relegation_playoff,28,Kiryat Shmona,35,1,-1
2016/17,relegation_playoff,28,Hapoel Haifa,31,2,-8
2016/17,relegation_playoff,28,Hapoel Raanana,31,3,-15
2016/17,relegation_playoff,28,FC Ashdod,30,4,-11
2016/17,relegation_playoff,28,Bnei Yehuda,28,5,-12
2016/17,relegation_playoff,28,Hapoel Tel Aviv,23,6,-5
2016/17,relegation_playoff,28,H. Kfar Saba,22,7,-19
2016/17,relegation_playoff,28,H. Ashkelon,22,8,-21
2016/17,relegation_playoff,29,Kiryat Shmona,36,1,-1
2016/17,relegation_playoff,29,Hapoel Haifa,32,2,-8
2016/17,relegation_playoff,29,Bnei Yehuda,31,3,-11
2016/17,relegation_playoff,29,FC Ashdod,31,4,-11
2016/17,relegation_playoff,29,Hapoel Raanana,31,5,-17
2016/17,relegation_playoff,29,H. Ashkelon,25,6,-19
2016/17,relegation_playoff,29,Hapoel Tel Aviv,24,7,-5
2016/17,relegation_playoff,29,H. Kfar Saba,22,8,-20
2016/17,relegation_playoff,30,Kiryat Shmona,36,1,-2
2016/17,relegation_playoff,30,Hapoel Raanana,34,2,-16
2016/17,relegation_playoff,30,Hapoel Haifa,33,3,-8
2016/17,relegation_playoff,30,FC Ashdod,32,4,-11
2016/17,relegation_playoff,30,Bnei Yehuda,31,5,-12
2016/17,relegation_playoff,30,H. Ashkelon,28,6,-18
2016/17,relegation_playoff,30,Hapoel Tel Aviv,27,7,-3
2016/17,relegation_playoff,30,H. Kfar Saba,22,8,-22
2016/17,relegation_playoff,31,Kiryat Shmona,39,1,0
2016/17,relegation_playoff,31,Hapoel Haifa,36,2,-6
2016/17,relegation_playoff,31,FC Ashdod,35,3,-9
2016/17,relegation_playoff,31,Hapoel Raanana,34,4,-18
2016/17,relegation_playoff,31,Bnei Yehuda,31,5,-14
2016/17,relegation_playoff,31,H. Ashkelon,28,6,-19
2016/17,relegation_playoff,31,Hapoel Tel Aviv,27,7,-5
2016/17,relegation_playoff,31,H. Kfar Saba,25,8,-21
2016/17,relegation_playoff,32,Kiryat Shmona,39,1,-3
2016/17,relegation_playoff,32,Hapoel Haifa,37,2,-6
2016/17,relegation_playoff,32,FC Ashdod,36,3,-9
2016/17,relegation_playoff,32,Hapoel Raanana,35,4,-18
2016/17,relegation_playoff,32,Bnei Yehuda,32,5,-14
2016/17,relegation_playoff,32,H. Ashkelon,29,6,-19
2016/17,relegation_playoff,32,Hapoel Tel Aviv,28,7,-5
2016/17,relegation_playoff,32,H. Kfar Saba,28,8,-18
2016/17,relegation_playoff,33,Kiryat Shmona,39,1,-4
2016/17,relegation_playoff,33,Hapoel Haifa,37,2,-7
2016/17,relegation_playoff,33,FC Ashdod,36,3,-10
2016/17,relegation_playoff,33,Hapoel Raanana,36,4,-18
2016/17,relegation_playoff,33,Bnei Yehuda,35,5,-13
2016/17,relegation_playoff,33,H. Ashkelon,32,6,-18
2016/17,relegation_playoff,33,H. Kfar Saba,31,7,-17
2016/17,relegation_playoff,33,Hapoel Tel Aviv,29,8,-5
