Team,Year,Predicted_Attendance,Trend
Beitar Jerusalem,2026,14718,rising
Bnei Yehuda Tel Aviv,2026,3580,rising
FC Ashdod,2026,1990,declining
Hakoah Amidar Ramat Gan,2026,0,declining
Hapoel Acre,2026,3700,rising
Hapoel Ashkelon,2026,4119,rising
Hapoel Beer Sheva,2026,13905,rising
Hapoel Hadera,2026,2724,rising
Hapoel Haifa,2026,5334,rising
Hapoel Jerusalem,2026,3594,declining
Hapoel Kfar Saba,2026,1226,declining
Hapoel Petah Tikva,2026,5948,rising
Hapoel Raanana,2026,2863,rising
Hapoel Ramat Gan,2026,3842,rising
Hapoel Ramat haSharon,2026,2285,rising
Hapoel Tel Aviv,2026,11827,rising
Ihud Bnei Sakhnin,2026,2219,declining
Ironi Kiryat Shmona,2026,1764,declining
Ironi Tiberias,2026,3779,rising
Maccabi Bnei Reineh,2026,3050,rising
Maccabi Haifa,2026,26492,rising
Maccabi Herzliya,2026,26000,rising
Maccabi Netanya,2026,6801,rising
Maccabi Petah Tikva,2026,3625,rising
Maccabi Tel Aviv,2026,21310,rising
Sekzia Ness Ziona,2026,3266,rising
Beitar Jerusalem,2027,15136,rising
Bnei Yehuda Tel Aviv,2027,3613,rising
FC Ashdod,2027,1957,declining
Hakoah Amidar Ramat Gan,2027,0,declining
Hapoel Acre,2027,3818,rising
Hapoel Ashkelon,2027,4270,rising
Hapoel Beer Sheva,2027,14377,rising
Hapoel Hadera,2027,2768,rising
Hapoel Haifa,2027,5365,rising
Hapoel Jerusalem,2027,3526,declining
Hapoel Kfar Saba,2027,1145,declining
Hapoel Petah Tikva,2027,6162,rising
Hapoel Raanana,2027,2953,rising
Hapoel Ramat Gan,2027,3979,rising
Hapoel Ramat haSharon,2027,2360,rising
Hapoel Tel Aviv,2027,12073,rising
Ihud Bnei Sakhnin,2027,2198,declining
Ironi Kiryat Shmona,2027,1759,declining
Ironi Tiberias,2027,4847,rising
Maccabi Bnei Reineh,2027,3385,rising
Maccabi Haifa,2027,27560,rising
Maccabi Herzliya,2027,27250,rising
Maccabi Netanya,2027,7009,rising
Maccabi Petah Tikva,2027,3709,rising
Maccabi Tel Aviv,2027,22166,rising
Sekzia Ness Ziona,2027,3359,rising
Beitar Jerusalem,2028,15554,rising
Bnei Yehuda Tel Aviv,2028,3646,rising
FC Ashdod,2028,1923,declining
Hakoah Amidar Ramat Gan,2028,0,declining
Hapoel Acre,2028,3936,rising
Hapoel Ashkelon,2028,4422,rising
Hapoel Beer Sheva,2028,14849,rising
Hapoel Hadera,2028,2812,rising
Hapoel Haifa,2028,5396,rising
Hapoel Jerusalem,2028,3457,declining
Hapoel Kfar Saba,2028,1065,declining
Hapoel Petah Tikva,2028,6376,rising
Hapoel Raanana,2028,3044,rising
Hapoel Ramat Gan,2028,4115,rising
Hapoel Ramat haSharon,2028,2436,rising
Hapoel Tel Aviv,2028,12320,rising
Ihud Bnei Sakhnin,2028,2178,declining
Ironi Kiryat Shmona,2028,1753,declining
Ironi Tiberias,2028,5915,rising
Maccabi Bnei Reineh,2028,3721,rising
Maccabi Haifa,2028,28628,rising
Maccabi Herzliya,2028,28500,rising
Maccabi Netanya,2028,7216,rising
Maccabi Petah Tikva,2028,3793,rising
Maccabi Tel Aviv,2028,23022,rising
Sekzia Ness Ziona,2028,3452,rising
