Team,First_Year,Last_Year,First_Attendance,Last_Attendance,Change_Absolute,Change_Percent,Avg_Attendance,Trend,Trend_Type
Maccabi Tel Aviv,2006,2025,1250,23803,22553,1804.24,12319.0,📈 עלייה,growth
Maccabi Haifa,2006,2025,3850,26207,22357,580.7,15278.0,📈 עלייה,growth
Hapoel Tel Aviv,2006,2025,5333,18023,12690,237.95,9105.0,📈 עלייה,growth
Hapoel Beer Sheva,2009,2025,4533,13587,9054,199.74,9658.0,📈 עלייה,growth
Maccabi Netanya,2006,2025,3083,7427,4344,140.9,4650.0,📈 עלייה,growth
Hapoel Petah Tikva,2006,2025,2050,4881,2831,138.1,3217.0,📈 עלייה,growth
Hapoel Acre,2009,2017,737,1723,986,133.79,2118.0,📈 עלייה,growth
Maccabi Herzliya,2006,2007,1000,2250,1250,125.0,1625.0,📈 עלייה,growth
Hapoel Raanana,2009,2019,1167,2573,1406,120.48,1877.0,📈 עלייה,growth
Beitar Jerusalem,2006,2025,10000,21791,11791,117.91,10324.0,📈 עלייה,growth
Hapoel Haifa,2009,2025,4167,8872,4705,112.91,5053.0,📈 עלייה,growth
Maccabi Petah Tikva,2006,2024,2000,3456,1456,72.8,2656.0,📈 עלייה,growth
Ironi Tiberias,2024,2025,1643,2711,1068,65.0,2177.0,📈 עלייה,growth
Maccabi Bnei Reineh,2022,2025,1909,3015,1106,57.94,2210.0,📈 עלייה,growth
Hapoel Ashkelon,2010,2017,1667,2598,931,55.85,2350.0,📈 עלייה,growth
Hapoel Ramat Gan,2009,2012,1623,1981,358,22.06,1701.0,📈 עלייה,growth
Hapoel Ramat haSharon,2011,2013,1057,1208,151,14.29,1228.0,📈 עלייה,growth
Sekzia Ness Ziona,2019,2022,2615,2894,279,10.67,2754.0,📈 עלייה,growth
FC Ashdod,2006,2025,2500,2346,-154,-6.16,2344.0,📉 ירידה,decline
Ironi Kiryat Shmona,2007,2025,2167,1843,-324,-14.95,1819.0,📉 ירידה,decline
Hapoel Jerusalem,2021,2025,3508,2752,-756,-21.55,3800.0,📉 ירידה,decline
Ihud Bnei Sakhnin,2007,2025,3438,2331,-1107,-32.2,2427.0,📉 ירידה,decline
Hapoel Hadera,2018,2024,3296,2234,-1062,-32.22,2503.0,📉 ירידה,decline
Bnei Yehuda Tel Aviv,2006,2020,3063,1350,-1713,-55.93,3148.0,📉 ירידה,decline
Hapoel Kfar Saba,2006,2020,2250,300,-1950,-86.67,2204.0,📉 ירידה,decline
Hakoah Amidar Ramat Gan,2006,2008,1250,0,-1250,-100.0,625.0,📉 ירידה,decline
